爆煙|ばくえん|fumes from an explosion
湿気|しっけ|Dampness
愚直|ぐちょく|Simple honesty / Tactless frankness
軽侮|けいぶ|Contempt / Scorn
愛おしい|いとおしい|1. lovely, dear, beloved, darling, dearest2. pitiable, pathetic, piteous, poor
救命いかだ|きゅうめいいかだ|1. life raft, lifeboat2. 救生筏
対立|たいりつ|Conflict / Opposition
米印|べい しるし|Asterisk / star (stupid conversation on that bizarre website)
娘とあれば、どんなことでもします|むすめとあればどんなことでもします|I'll do anything for my daughter
彼はテストの結果に満更でもないようだ|かれはの けっかに まんざらでもないようだ|It seems that his test results were not altogether disappointing
推し測る|おし はかる|To guess / To conjecture / to surmise
信号弾|しんごう だん|pyrotechnic signal; signal flare
慈悲殺|じひさつ|mercy killing (euthanasia performed to end someone's suffering, but without cons
その芸術祭は市が主催しています。|その げいじゅつさいは しが しゅさいしています|The art festival is sponsored by the city.
粒|つぶ|Grain / Drop
法曹界|ほうそうかい|Legal circles
受難|じゅなん|Suffering / Agony
移譲|いじょう|Transfer / Assignment
一意専心|いちいせんしん|Single mindedly / Wholeheartedly
冷気|れいき|Chill
痕跡|こんせき|Trace / Impression / Imprint
皮下脂肪|ひかしぼう|Belly fat (I think!)
行き着く|きいきつく|To end up at / To arrive at
捲る|めくる|To roll up (sleeves) / To turn up (jeans at bottom maybe?) / also verb suffic fo
肛門|こうもん|Anus
同梱する|どう こりする|To include something in a package (the readme.txt)
この芝居の後援はテレビ局です|この しばいの こうえんは てれびきょくです|A TV station is sponsoring this play
道徳的に正当化される|どうとくてきに せいとう かされる|morally justified
鉱脈|こうみゃく|1. vein (of ore), reef, streak, lode2. 礦脈
設計する|せっけいする|To plan&nbsp;&nbsp;/ design
牽制|けんせい|Check / Restraint / Constraint (of Apples price fixing ways)　Also 偽りの行動により偽る
暑さでばてないように気をつけてください|あつさでばてないように きをつけてください|Please be careful of heat exhaustion
人倫|じんりん|Human relations / humanity
利器|りき|convenience; (2) sharp-edged tool
心の傷|こころの きず|emotional scars, mental trauma
制止する|せいしする|To restrain someone, hold them back
政局|せいきょく|Political situation
乾季|かんき|Dry season
血迷う|ちまよう|To lose ones mind / to lose control of oneself
算術|さんじゅつ|Another word for &quot;arithmetic&quot; (like arithmetic function)
並み外れ|なみ はずれ|out of the common, far above the average, extraordinary, abnormal, unreasonable
缶詰|かんづめ|Can (like canned food, but not drink cans!)
時代の流れにあえて抗おうとしたが、徒労に終わった。|じだいの ながれにあえて あらがおうとしたが とろうに おわった|I dared to resist the flow of the times, but it was all in vain.
彼の手口を見抜く|かれの てぐちを みぬく|See through his game
手出し|てだし|Meddling / Interfering
巨匠|きょしょう|Master / Masterhand / Maestro
書評|しょひょう|Book review
されど|されど|be that as it may; even so; though that be so
弄ぶ|もてあそぶ|(1) to play with (a toy, one's hair, etc.); to fiddle with; (2) to toy with (one
文鎮|ぶんちん|a Paperweight
広報活動|こうほうかつどう|Public relations
陰湿|いんしつ|Malicious / Spiteful / devious / underhanded
使徒|しと|Apostle / Disciple
労災|ろうさい|Work related injury / on the job accident
煽り立てる|あおり たてる|to flap strongly, to stir up fiercely
べた負け|べた まけ|complete defeat, losing all matches
空高い|そら たかい|High in the sky
掻き毟る|きかきむしる|To scratch off / to tear off / to pluck
絶叫|ぜっきょう|Exclamation / Scream / Shout
絵の具|のえのぐ|Paint
臣民|しんみん|subject; national
絶賛する|ぜっさんする|Praise / Acclaim / Plaudit / Rave
根っから|ねっから|By nature / From the very beginning / Through and through / At heart
独奏者|どくそうしゃ|Soloist (music)
話が進むにつれ彼の弁舌はますますさえた。|はなしが すすむにつれ かれの べんぜつはますますさえた|His speech had more and more power as it went along
美食家|びしょくか|Gourmet / Epicure
風船|ふうせん|Balloon
満たす|みたす|いっぱいにする
抵抗|ていこう|Resistance / Opposition (not 反発)
奉仕|ほうし|Service / Church work / Attendance
暴露|ばくろ|Disclosure / Exposure / Revelation
猟犬|りょうけん|Hound / Hunting dog
デザートは栗のパイです|は くりのです|There is chestnut pie for dessert
縄張り|なわばり|Ones territory / Kingdom
周囲|しゅうい|Circuit / Circumference / Perimeter
寸法|すんぽう|Measurement / Size / dimension
次号では離婚について特集します|じごうでは りこんについて とくしゅうします|The next issue will feature articles on divorce
財源確保|ざいげんかくほ|Securing financial resources
骨の髄まで|ほねの ずいまで|To the core (lit: to the marrow) / to the bone
彼はこの会の発起人です|かれはこの かいの ほっきにんです|He is the founder of this association
監督|かんとく|Movie Director
たまげる|たまげる|Another word for 驚く、ビックリ
離脱する|りだつする|To drop out / secede / defect (not 脱落)
対処|たいしょ|To cope with / deal with
職場での男女不平等はよく見られるね。|しょくばでの だんじょ ふびょうどうはよく みられるね|You can often find gender inequality in the workplace.
口の中でチーズが蕩ける|くちの なかでが とろける|Cheese melts in ones mouth
白話|はくわ|Colloquial Chinese
租借地|そしゃくち|Leased territory
彼は社会から疎外されている|かれは しゃかいから そがいされている|He has been alienated by society
牽制運動をする|けんせい うんどうをする|to make a diversion―make a feint
氷河|ひょうが|Glacier
供給する|きょうきゅうする|To Supply
蛋白質|たんぱくしつ|Protein
身の毛がよだつ|のみのけがよだつ|to have ones hair stand on end
自明|じめい|Self evident
この写真はピントがぼけていますね|この しゃしんはがぼけていますね|The photograph was out of focus
稀有|けう|Rare / Uncommon
肩透かし|かたすかし|Dodging / Parrying (questions)
天蓋|てんがい|canopy; dome
筆頭|ひっとう|The first on the list
言うまでの事だが|いうまでの ことだが|Needless to say ...
脇役|わきやく|Supporting role (actor) / Minor role
突風|とっぷう|Sudden gust
借家|しゃくや|Rented house
新内閣の組閣が発表された|しんないかくの そかくが はっぴょうされた|The formation of a new cabinet was announced
ばてる|ばてる|Exhausted / To tire out
二重敬語|にじゅうけいご|Redundant Keigo (ie improper use of the -rareru honorific form together with an 
甘党|あまとう|Someone who really likes sweet foods
絶食する|ぜっしょくする|To fast / fasting
ほな|ほな|Well then..
磐石|ばんじゃく|Huge rock / Firmness / Solidity
連盟|れんめい|League / Alliance (the FIFA league etc)
過半数|かはんすう|The majority
由来|ゆらい|Origin / Source (place / language etc)
爆ぜる|はぜる|To burst open / To pop / To split
適用|てきよう|application (say, how some rule applies)
猛将|もうしょう|Brave General / Courageous Warrior
慰める|なぐさめる|To console / comfort
金融庁|きんゆうちょう|Financial Services Agency; FSA
亡命|ぼうめい|政治的な理由で外国へ逃げる事
