肯定|こうてい|Affirmation
企業買収|きぎょうばいしゅう|Corporate Acquisition (buyout)
差し込む|しさしこむ|To thrust in / To flow in / To shine in
発進|はっしん|Departure / takeoff
便箋|びんせん|letter paper
随分|ずいぶん|Kanji for ずいぶん
解き放つ|きときはなつ|To release
親分|おやぶん|Godfather
手加減|てかげん|Going easy on someone / Make an allowance for / Take situational peculiarities i
鋸|のこ|A saw (to cut things with)
悟り|さとり|Comprehension / Understanding / Buddhist enlightenment
日刊|にっかん|Published daily
春雨がしとしと降っています|はるさめがしとしと ふっています|Spring ran gently falls
身のため|みのため|one's best interests, one's own good
嫌というほど|いやというほど|1. (more than) enough, too much2. bitterly, extremely, keenly
絵画|かいが|Painting / Picture (え)
上場株|じょうじょうかぶ|listed stock
隕石|いんせき|Meteor
方角|ほうがく|Direction (not 方位)
頭突き|ずつき|Headbutt
給食|きゅうしょく|School lunch / providing a meal
麓|ふもと|foot of the mountain
手下|てした|Subordinate / Underling
ガラクタ||Junk / Rubbish / Trash / Garbage (Dynes scrapheap in ff7)
電話なりメールなりで、彼に連絡してください。|でんわなりなりで かれに れんらくしてください|Please get in touch with him by phone or email or whatever
生え抜き|えはえぬき|Native-born / Trueborn
面と向かう|めんと むかう|To meet face-to-face
社屋|しゃおく|company office building
いびき|いびき|Snoring
五分|ふん|Fifty fifty / tie / half / 50%
活かす|いかす|To make use of / to leverage (ones linguistic skills!) / To capitalize on
吹かす|ふかす|To smoke (a cigarette) / To rev (an engine!) / To accelerate
～かたがた　Grammar|かたがた|Means ついでに、　兼ねて, という別の目的も持って、あることをする
毎時|まいじ|Every hour / Hourly
ぎょっと|ぎょっと|Shock
戴冠|たいかん|coronation; crowning
先行予約|せんこうよやく|Preorder
台風がその半島を通過したの。|たいふうがその はんとうを つうかしたの|The typhoon passed over the peninsula.
とのことだ (Grammar)|とのことだ|It is said that / Apparently
威圧|いあつ|Coercion
資金調達|しきんちょうたつ|Fundraising
落ち着き払う|ちきおちつきはらう|To keep cool / calm
くり抜く|くり ぬく|To gouge out (a shape, hole?) / To bore / To drill &nbsp;
匂わせる|におわせる|To hint at / to intimate / to give off a scent / to smell of
彼はチャンスを見す見す逃してしまった|かれはを すみすみす のがしてしまった|He let the opportunity pass him by
見て見ぬ振り|みて みぬ ふり|pretending not to see something, turning a blind eye to, burying one's head in t
戸外|こがい|Outdoors / Open Air
性器|せいき|Genitals
下心|したごころ|Secret intention / ulterior motive (or just 友人関係？）
汲み取る|みくみとる|To scoop out / To pump out / To understand / To surmise
滑走路|かっそうろ|Runway (for a plane)
疫病が発生した。|やくびょうが はっせいした|An epidemic has broken out
衝動的|しょうどうてき|Impulsive
祟り|たたり|A curse (not 呪い)
宴　・　宴会|うたげ えんかい|Banquet / Dinner / Feast / Reception
お辞儀|お じぎ|Bowing / To bow
追放|ついほう|Exile / Banishment / Expulsion
布|ぬの|Cloth
移行期|いこうき|Transition / Cutover period
内部告発|ないぶこくはつ|Whistleblowing (Snowdon case)
代弁|だいべん|Act for another / speak for another / pay by proxy
相手取る|あいてどる|To take on an opponent
彼は初めての海外旅行でまごまごしていた|かれは はじめての かいがいりょこうでまごまごしていた|He was reluctant to travel abroad for the first time
反感を買う|はんかんを かう|to antagonize; to provoke antipathy
数分ならまだしも、30分も待ってません|すう ふんならまだしも  ふんも まってません|I'm alright waiting a few minutes, but 30 minutes is unacceptable
借金を踏み倒す|しゃっきんを ふみ たおす|to default on one's debt
幻想|げんそう|Illusions
擁立|ようりつ|Backing / Support (for an electoral candidate)
詳説|しょうせつ|detailed explanation
夜桜|よざくら|Cherry blossoms at night
口紅|くちべに|Lipstick
恋愛願望|れんあい がんぼう|Desire for love
単身赴任|たんしんふにん|Leave for ones new post [job] alone
待てど暮らせど彼女から返事が来なかった。|まてど くらせど かのじょから へんじが こなかった|Though I waited for so long, no reply came from her.
流浪|るろう|Vagrancy / Wandering / Nomadism
徐に|おもむろに|Slowly / Gently
略奪|りゃくだつ|To pillage / plunder
反響|はんきょう|Echo / Reverberate
私は夕暮れの渚が好きです|わたしは ゆうぐれの なぎさが すきです|I like the beach in the evening
貴公|きこう|You (primary used by males when addressing their male equals or inferiors)
物足りない|ものたりない|Unsatisfied / Unsatisfactory
発する|はっする|To emit / To give forth / To fire (a gun)
騒がす|さわがす|To annoy / To cause trouble
カエルとヒキガエルの区別が出来ない。|との くべつが できない|I can't distinguish a frog from a toad.
面識|めんしき|Acquitance
繰り広げる|りくりひろげる|To unfold / To open
取得物の生成年代は特定不能|しゅとく ぶつの せいせい ねんだいは とくてい ふのう|Impossible to determine when acquired thing was produced
彼は塀に梯子を掛けた。|かれは へいに はしごを かけた|He placed the ladder against the fence
食い止める|いくいとめる|To resist / hold back / prevent
惚ける|とぼける|Pretend ignorance
得意客|とくいきゃく|frequent customer, good customer, client
しばしば|しばしば|Often / Frequently
胴長短足|どうながたんそく|Having a long torso and short legs
食生活はホルモンの分泌に影響する|しょくせいかつはの ぶんぴつに えいきょうする|Eating habits influence the secretion of hormones
不可解|ふかかい|Incomprehensible / Baffling / Inexplicable
骨片|こっぺん|bone fragment, spicule
みっともない|みっともない|Disgraceful / Shameful
伸縮（性）|しんしゅく せい|Stretch / Elasticity / Retractile
腐敗する|ふはいする|To decay / To rot / decompose / become putrid
彼女は悩ましい目つきで僕を見た。|かのじょは なやましい めつきで ぼくを みた|She looked at me seductively
志|こころざし|Will / Intention / Motive
叩き|はたき|A Duster
炊き出し|きたきだし|Emergency rice feeding (helping the poor I guess?)
夫妻|ふさい|Husband and wife / Mr and Mrs
日当たり|ひあたり|Exposure to the sun
名字|みょうじ|Surname / family name
発動|はつどう|Invoke (law), put into operation
謝金|しゃきん|Apology money？
薄膜|はくまく|物の表面を覆う薄い皮。thin film
贈呈|ぞうてい|To present (a thank you letter to the man)
今月は光熱費が高かった|こんげつは こうねつひが たかかった|The utility bills were high this month
宣伝する|せんでんする|To advertise
検察庁|けんさつちょう|Public prosecutors office
島内に火山灰が大量に堆積した|とうないに かざんばいが たいりょうに たいせきした|There are large volcanic ash deposits on the island
この町には紡績工場があります|この まちには ぼうせきこうじょうがあります|There is a cotton mill in this town
半濁音|はんだくおん|The p-sound / semivoiced sound
酢漬け|すづけ|pickling, pickles
酸性|さんせい|Acidity
敬う|うやまう|To show respect / honour
都庁|とちょう|Tokyo Metropolitan City Hall
