専修|せんしゅう|Specialization
悪名高い|あくめい たかい|Notorious / Infamous
耐震構造|たいしんこうぞう|Earthquake resistant construction
銘々|めいめい|Each / Severally
ちぎれる|ちぎれる|be torn off, come off (NOT &quot;to tear off&quot;, transitive/intransitive)
よからぬ|よからぬ|Bad / Wrong
激痛|げきつう|Intense sharp violent pain
如才ない|じょさいない|tactful; shrewd; cautious; clever; smart; adroit
こんがらがる|こんがらがる|to become entangled; to become complicated; to get mixed up; to screw up; to get
北西|ほくせい|Northwest
しくじる|しくじる|To blunder / To fail / To fall through
迂闊（な）|うかつな|Careless / Thoughtless
探し当てる|しさがしあてる|To find out / To detect / To discover
彼女はよそ行きの顔をしていた|かのじょはよそ いきの かおをしていた|She was looking her best
徒歩|とほ|歩いて行くこと
この辞書の改訂には６年かかった。|この じしょの かいていには ねんかかった|The revision of this dictionary took six years
地熱発電|じねつはつでん|Geothermal power generation
ひょっこり|ひょっこり|By chance / Unexpectedly
鯨飲馬食|げいいんばしょく|drinking like a fish and eat like a horse, eating mountains of food and drink oc
等級|とうきゅう|1. grade, class, degree, rank, rating, order, points2. magnitude
寸断|すんだん|To [ cut / break / tear ] to pieces
私は天然痘に免疫になっている。|わたしは てんねんとうに めんえきになっている|I am immune to smallpox
肴|さかな|1. appetizer or snack served with drinks2. performance to liven up a bar, conver
金塊|きんかい|gold bar / gold nugget
従軍|じゅうぐん|軍隊に所属または従属して戦地へ行くこと
巨漢|きょかん|Giant
腐肉食|ふにくしょく|scavenging
規定|きてい|Regulation / Provision
この建物は規準に達していない|この たてものは きじゅんに たっしていない|This building doesnt meet the construction standards
音響|おんきょう|Sound
労働の搾取を許すべきではない|ろうどうの さくしゅを ゆるすべきではない|The exploitation of labour should not be permitted
ばっくれる|ばっくれる|to feign ignorance; (2) (col) to evade one's responsibilities
馴鹿|となかい|reindeer
ぬるぬる|ぬるぬる|slimy (4 doubler, NOT ねばねば)
現役|げんえき|Active duty / Active service
髑髏|どくろ|Skull
待望|たいぼう|Long-awaited / Expectant waiting
しゃぶる|しゃぶる|To suck / To chew
両脇|りょう わき|Both sides
突っ込む|っつっこむ|To plunge into / to go into deeply / to thrust something into something
故国|ここく|Ones native land
圧政的な政府はしばしば政敵を投獄する。|あっせい てきな せいふはしばしば せいてきを とうごくする|Tyrannical governments frequently put their political opponents in prison
節榑立つ|ふしくれだつ|(1) to be knotty (of a tree, etc.); to be gnarled; (2) to be rough and bony (han
総合|そうごう|synthesis, integration
路線図|ろせんず|Route map (buses and trains etc)
社の弁護士に暫定合意の内容を吟味してもらおう。|しゃの べんごしに ざんてい ごういの ないようを ぎんみしてもらおう|We'll have our firm's attorneys look through the provisional agreement
降り立つ|おり たつ|To go down and stand (in front of zidane, the mage number 2!)
訴状|そじょう|Legal complaint / brief (according to the complaint ...)
剛の者|のこうのもの|very strong person; brave warrior; veteran
封殺|ふうさつ|suppression (e.g. of free speech)
処す|しょす|1. to manage, to deal with, to cope with2. to sentence, to condemn, to punish
～ともなく|ともなく|Without really planning to / without paying much attention to (Grammer point)
あのビルの屋上からの展望はすばらしかった。|あのの おくじょうからの てんぼうはすばらしかった|The view from the top of that building was magnificent
数種|すうしゅ|Several varieties / poly-
専務が来月で定年退職します|せんむが らいげつで ていねんたいしょくします|The executive director will retire next month
完膚|かんぷ|Unwounded skin
経営費|けいえいひ|Operating expenses
裸眼|らがん|Naked eye
腕立て|うでたて|Pushups
思い当たる|いおもいあたる|To come to mind / To recall / To think of
のっけ|のっけ|The very beginning
上方修正|じょうほうしゅうせい|Upward adjustment / Upward revision (of economic forecast!)
息を切らす|いきを きらす|To be out of breath
悉く|ことごとく|Altogether / Entirely
風化|ふうか|Weathering (I think this means things like erosion)
(群衆を)ざわざわ騒がす|ぐんしゅうをざわざわ さわがす|to cause a crowd to make a lot of noise
題名|だいめい|Title
