斑点|はんてん|Speck / Spot
湛える|たたえる|To fill (to the brim)
まごつく|まごつく|Be flustered
節操|せっそう|Constancy / Integrity / Honour / Chastity / Fidelity
商店街は平日ひっそりしている。|しょうてんがいは へいじつひっそりしている|Shops are quiet on weekdays
手腕|しゅわん|ability; capability; skill
七三分け|しちさんわけ|side parting, hair parted to one side
学派|がくは|A school of thought
苦戦|くせん|Hard fight / Close game
世界の国々から元首が集まった|せかいの くにぐにから げんしゅが あつまった|The heads of countries all over the world gathered
子どもたちは原っぱで遊んでいます|こどもたちは はらっぱで あそんでいます|Children are playing in the field
状況プレイ|じょうきょう|Lets Play / Recorded playthrough of video game
濁る|にごる|Become turbid (cloudy, dirty?)
怒り出す|おこり だす|To fly into a rage / To lose ones temper
元凶|げんきょう|Ringleader / Main culprit / Main cause
紙鑢|かみやすり|sandpaper; emery paper
固有|こゆう|Peculiar to / Characteristic
あしらう|あしらう|To handle / To deal with / To arrange
ひっそり|ひっそり|Quiet / Still / Silent / Deserted
振り仰ぐ|ふり あおぐ|To look up
今日は最高の洗濯日和です|きょうは さいこうの せんたく ひよりです|It is perfect weather for washing today
検察官|けんさつかん|Prosecutor
彼は貪るように水を飲んだ|かれは むさぼるように みずを のんだ|He drank the water greedily
控訴審|こうそしん|Appeal trial
老け込む|けふけこむ|To age / To become old
崇敬|すうけい|reverence
父に一喝されてそれを止めた。|ちちに いっかつされてそれを とめた|I gave it up after my father had given me a good scolding.
破片|はへん|Fragment / Splinter / Broken Piece
そんなぞんざいな口のききかたはよくないよ。|そんなぞんざいな くちのききかたはよくないよ|That kind of sloppy way of talking is no good.
手取り足取り|りてとりあしとり|(exp,adv) attentively; with great attention to detail (e.g. when teaching); pati
誰もが意気あがらず、ともすれば不平が出そうになった|だれもが いきあがらずともすれば ふへいが でそうになった|Everyone seemed rather out of sorts and inclined to croak
媚びる|こびる|To flatter / To curry favour with / To fawn on
剣幕|けんまく|Threatening attitude
開示|かいじ|Release (data)
誰でも大なり小なり自惚れはある。|だれでも だいなり しょうなり うぬぼれはある|Everyone is more or less conceited
命拾い|いのちびろい|Narrow escape from death
室長|しつちょう|section chief; laboratory manager; office head; room monitor
地に足が付く|ちに あしが つく|to keep one's feet on the ground; to be down to earth
空気感染|くうきかんせん|airborne infection
殺意|さつい|Murderous intent
大匙|だい さじ|Tablespoon
贈答|ぞうとう|Exchange of presents (its miyage gift giving)
陽動|ようどう|Diversion (action meant to attract attention away from the real objective) / fei
脱色|だっしょく|decolorisation, bleaching
平泳|ひらおよぎ|Breast stroke
私語|しご|Private talk
擲弾|てきだん|Grenade
人間一人の知恵などたかが知れている。|にんげん にんの ちえなどたかが しれている|One person's wisdom doesn't amount to much.
雨が降ろうと降るまいと試合は行われる|あめが くだろうと ふるまいと しあいは おこなわれる|There will be a game regardless of the weather (雨が降っても降らなくても)
港湾|こうわん|harbour
羊毛|ようもう|Wool / Fleece (just shaven?)
保健|ほけん|Hygiene / Preservation of health
資格|しかく|Qualification / Capacity
並木|なみき|Roadside row of trees
理論|りろん|Theory
こなす|こなす|To break to pieces / To handle easily
中腹に|ちゅうふくに|Halfway (up a mountain etc)
属性|ぞくせい|Attribute / Context
結論付ける|けつろん つける|To conclude / To sum up
商品の仕入れが遅れている|しょうひんの しいれが おくれている|The stocking up of products is behind schedule
瀬戸物のお茶碗を買いました|せともののお ちゃわんを かいました|I bought some ceramic bowls
ひざまずく|ひざまずく|To kneel (before someone)
世襲|せしゅう|Heritage / Heredity
既定の点|きていの てん|a fixed point
徒党|ととう|conspirators; faction; cabal; clique
夜な夜な|よな よな|every evening, night after night
粘り強い|ねばり づよい|1. tenacious, persevering, persistent, stubborn, steadfast2. sticky
精細|せいさい|fine, minute, detailed, meticulous, precise
抜群|ばつぐん|Outstanding / unrivaled / distinguished (think orange days, unrivally cute!)
愛しい|いとしい|Lovely / Dear / Beloved / Darling
このギターは音色があっている。|このは ねいろがあっている|The guitar is in tune
彼は来月中国へ視察旅行に出かけます。|かれは らいげつ ちゅうごくへ しさつ りょこうに でかけます|He is leaving for China on an inspection tour next month
死闘|しとう|life or death struggle; mortal combat; struggle to the death
血の気|のちのけ|hot-blooded, ruddy complexion
寄越す|よこす|to send (鉄仮面！); to forward
改定（する）|かいていする|To revise / change
転落する|てんらくする|To tumble / fall (ie, down some stairs)
ならず者|ならず もの|Ruffian / Hooligan
詰る|つまる|"to be packed," "to be clogged," or "to be at a loss (for words/ideas)."Nuance:T
冒涜|ぼうとく|Blasphemy / Curse / Sacrilege
腹を割りって話をする|はらを わりって はなしをする|To have a heart to heart talk
ゆず湯|ゆず ゆ|yuzu bath, hot citron bath
ベタ惚れ|ぼれ|(falling) deeply in love
国連|こくれん|United Nations
彼に協力を依頼しました。|かれに きょうりょくを いらいしました|I requested his cooperation.
花壇|かだん|Flower bed
即決|そっけつ|Prompt decision / Summary judgement
拡声器|かくせいき|megaphone, bullhorn, loudhailer
彼女は雛菊を摘むのをやめた。|かのじょは ひなぎくを つまむのをやめた|She stopped picking daisies
充填|じゅうてん|Fill (up) / Plug / Replenish / Filling (in tooth)
悪意|あくい|Malice / Harm
苦しい|くるしい|Hard / Tough
講義|こうぎ|Lecture
いろいろ工夫して仕事をやりとげたさ。|いろいろ くふうして しごとをやりとげたさ|I made various adjustments and carried out the work.
損傷|そんしょう|Damage (to my apartment, Nobu Japanese)
奥まる|おくまる|To lie deep in / To extend far back
政府は真相究明に乗り出した|せいふは しんそうきゅうめいに りのりだした|The government started an investigation into the truth
美青年|びせいねん|handsome young man; Adonis
万国旗|ばんこくき|flags of all nations
静物|せいぶつ|1. still object, object at rest2. still life (painting, drawing)
賛同する|さんどうする|To approve
歳末|さいまつ|Year end
をおいてほかにない　Grammar|をおいてほかにない|以外には, other than X
川の水があふれんばかりになっている。|かわの みずがあふれんばかりになっている|The river is about to flood.
旋律|せんりつ|Melody / Tune
手榴弾|てりゅうだん|Hand grenade
取り越し苦労をするな。|りしとりこしぐろうをするな|Don't cross your bridges until you come to them
遮る|さえぎる|To intercept / To obstruct / To interrupt　（Stopping Tifa going into Reactor)
上空|じょうくう|The skies / Upper air
４０手前|てまえ|This side of forty
弔う|とむらう|To mourn for / to hold a memorial service for
占星学|せんせいがく|Astrology
刹那|せつな|Moment / Instant / Juncture
社畜|しゃちく|corporate drone; corporate slave
保有する|ほゆうする|To hold / possess (someones data?）
射止める|いとめる|To make something ones own / To shoot dead
密接|みっせつ|Related / Connected / Close / Intimate
装着|そうちゃく|Equipping (parachutes!) / installing / mounting
択一|たくいつ|Multiple choice
下賜|かし|grant; bestowal; giving something to someone of low social standing (by a person
