名探偵|めいたんてい|Great detective (Conan!)
生き埋め|きいきうめ|burying alive;
改善|かいぜん|Improvement
渦|うず|Swirl
歪める|ゆがめる|To bend / To curve / To warp / To distort
一掃|いっそう|Clean sweep
なまじの学問は、ひけらかすと人に軽蔑される。|なまじの がくもんはひけらかすと ひとに けいべつされる|People disdain those who shows off (their scant knowledge) but are uneducated
一人前になる|いちにんまえになる|to come of age
菓子パン|かし|baked sweet goods (e.g. anpan, melon bread, etc.), sweet pastry, sweet bread
善は急げ|ぜんは いそげ|move with haste (when you have no doubts)
同伴|どうはん|Accompany / Going with
葬る|ほうむる|To bury / To entomb / lay away
火花|ひばな|A spark
探し回る|しさがしまわる|To hunt around / To search about for
とかく|とかく|Often
雪上車|せつじょうしゃ|snowcat (vehicle); snowmobile
自衛隊がイラクに派遣されたわ。|じえいたいがに はけんされたわ|The Self Defense Forces were sent to Iraq.
副審|ふくしん|Sub referee (in practice a linesman)
外車|がいしゃ|Imported car
突き止める|きつきとめる|To determine (culprit or underlying cause) / To pin down / To make sure / To fin
看護師|かんごし|Registered nurse / Hospital nurse
覇道|はどう|Military rule / domination rune?
祈祷|きとう|Prayer
片っ端から切り倒した|っかたっぱしから りきりたおした|He cut them down one after another
直径|ちょっけい|Diameter
今年の応募作品は水準が高かったね。|ことしの おうぼさくひんは すいじゅんが たかかったね|The standard of entries this year was high
執着|しゅうちゃく|Fixation / Obsession / Cling / Stick to
人質|ひとじち|Hostage
性衝動|せいしょうどう|Sex drive
上官|じょうかん|Superior officer
帰港|きこう|Returning to port
激動|げきどう|Turmoil / Violent shaking / Volatile
お告げ|お つげ|Oracle / Devine message
本音|ほんね|Real intention / Motive
はしたない|はしたない|Immodest / Low / 下品な
難攻不落|なんこうふらく|Impregnable (aspia wall)
浮かべる|うかべる|Set afloat
杞憂|きゆう|Absurd fear / needless anxiety
商品名|しょうひんめい|Trade (brand) name
早退する|そうたいする|To leave school early
今に|いまに|Before long, someday
仲良し|なかよし|Good friend / Chum
嘲笑う|あざわらう|To ridicule / sneer / scoff
無償|むしょう|No compensation / free of charge
みすぼらしい|みすぼらしい|Shabby / Seedy
彼は人生を旅に準えて話をした|かれは じんせいを たびに なぞらえて はなしをした|He talked about how life was like a journey
老成|ろうせい|Mature
男出入り|おとこでいり|woman with a turbulent love life, woman always having man trouble
債務不履行|さいむふりこう|default on a debt
容器|ようき|Case / Holder / Vessel
早寝|はやね|going to bed early
ぺらぺら|ぺらぺら|floppy, flimsy (NOT being awesome at speaking)
煙たい|けむたい|Smoky / Feeling awkward
家の中をどたどた走り回ってはいけません|いえの なかをどたどた りはしりまわってはいけません|Dont run noisily inside the house
課長にここに認印を押してください|かちょうにここに みとめいんを おしてください|Section manager, please put your seal here
妊婦|にんぷ|Pregnant woman
和人|わじん|Japanese person
栓抜き|せんぬき|bottle opener
その地域の紛争のため石油の補給が一時とだえた。|その ちいきの ふんそうのため せきゆの ほきゅうが いちじとだえた|Because of fighting in the region, the oil supply was temporarily cut off
瓦|かわら|Roof tile
あの双子は見分けがつかない|あの ふたごは みわけがつかない|I cannot tell the difference between the twins
咀嚼|そしゃく|Chewing / Breaking into bite sized pieces / digestion
身に余る栄光。|みに あまる えいこう|The honor you are giving me is more than I deserve
梯子段|はしごだん|step, stair, staircase
近付ける|ちかづける|Bring close
楕円|だえん|Ellipse (the shape like a stretched circle)
先刻|せんこく|Already / While ago
切りがない|きりがない|Endless (innumerable)
大衆|たいしゅう|The masses / The populace
慰謝料|いしゃりょう|Consolation money&nbsp;
円運動|えんうんどう|Circular motion
勲章|くんしょう|decoration; order; medal
否定|ひてい|Denial / Negation
工夫を凝らす|くふうを こらす|Come up with ideas
普遍的|ふへんてき|Universal / Omnipresent / Ubiquitous
連語|れんご|Compound word
彼は気ままな生活を送っている|かれは きままな せいかつを おくっている|He lives a selfish lifestyle
人の大脳は非常に発達している|ひとの だいのうは ひじょうに はったつしている|The large human brain is highly developed
悲嘆|ひたん|Grief / Sorrow / Anguish
すべすべ|すべすべ|Smooth (hiragana doubler)
寒風|かんぷう|Cold wind
父はいかなる事態になっても常に沈着だった。|ちちはいかなる じたいになっても つねに ちんちゃくだった|My father was always calm no matter what situation he found himself in.
彼はまだ動きがぎこちない|かれはまだ うごきがぎこちない|His movements are still awkward
永眠|えいみん|eternal sleep; death
主として|しゅとして|Chiefly / Mainly
密入国|みつにゅうこく|Illegal entry
岩が風化して奇異な形になる。|いわが ふうかして きいな かたちになる|The rocks are weathered into fantastic forms.
崇高|すうこう|lofty; sublime; noble; (n) (2) the sublime (aesthetics)
路傍の人|ろぼうの ひと|utter stranger, mere passerby, outsider
