戸別に|こべつに|Door to door
揉む|もむ|rub, massage
習慣|しゅうかん|Custom
一人語散る|にん ご ちる|To talk to oneself / to mutter
差し当たり会場だけは確保しました|しさしあたり かいじょうだけは かくほしました|For the time being, just the meeting location has been booked
健康|けんこう|Health / Condition
貫通|かんつう|Pierce / Penetrate (Aeris with a sword!)
今彼はちょっぴり不安になっている|いまかれはちょっぴり ふあんになっている|At the moment hes a bit uptight
幼体|ようたい|immature form (of an organism); young animal
直感|ちょっかん|Hunch / Sixth sense
しきたり|しきたり|Tradition / Convention
対峙|たいじ|Confronting / Holding your own with
みんなでわいわい騒いだ|みんなでわいわい さわいだ|We all made a lot of noise excitedly
顔が火照る|かおが ほてる|Face feels hot / burns
猛烈な|もうれつな|Fierce / Intense (extremely super duper, bit silly, use it for miki)
聴解|ちょうかい|Listening Comprehension
赤ちゃんをベッドに寝かせた。|あかちゃんをに ねかせた|I laid the baby down on the bed.
お浸し|お したし|Food - boiled greens in flavoured soy sauce (vegetable side dish)
助力|じょりょく|Assistance / Support
縺れる|もつれる|Become tangled
先途|せんど|Crisis in a battle / death
勿体ない|もったいない|(1) (uk) impious; profane; sacrilegious; (2) (uk) too good; more than one deserv
房中術|ぼうちゅうじゅつ|ability in the bedroom, art of lovemaking
暑さは峠を越したね。|あつさは とうげを こしたね|The worst of the heat has passed.
工業|こうぎょう|Industry (not 産業)
配管|はいかん|Plumbing / Piping
目掛ける|めがける|To aim at
打ち据える|ちうちすえる|To hit very hard / To place firmly
ぐったり|ぐったり|Completely exhausted / Dead tired
～そうもない　Grammar|そうもない|Something it doesnt seem can be done / 可能性は低い
注釈|ちゅうしゃく|Annotation / comments / remark (also annotate rust variable type)
摂食障害|せっしょくしょうがい|Eating Disorder
悪党|あくとう|Villain
生ずる|しょうずる|arise, bring about
支局|しきょく|Branch office (again)
気をもむ|きをもむ|To worry / To fret / To get anxious
比喩的な感覚においても、いっぱいにする|ひゆてきな かんかくにおいてもいっぱいにする|For&nbsp;湛える, "make full, also in a metaphorical sense"
体験記|たいけん き|Memoir
横道|よこみち|Side street
彼は親日家だ|かれは しんにちかだ|He is a Japanophile
アクション映画にはらはらした|あくしょんえいがにはらはらした|The action movie made me feel excited / in suspense?
有り合わせで夕食を済ませました|りありあわせで ゆうしょくを すませました|We made do with what we could find for supper
区画|くかく|Division / Section (iknow word)
この紙飛行機は左右の釣り合いがとれていないな。|この かみひこうきは さゆうの りつりあいがとれていないな|The right-left balance on this paper airplane isn't right.
きつつき|きつつき|Woodpecker
珍事|ちんじ|Strange occurrence / unusual occurrence
札|さつ|Label / Tag
累々|るいるい|In heaps
煩わしい|わずらわしい|い verb with new Kanji: troublesome / annoying
不条理|ふじょうり|Absurdity / Irrationality / Inconsistency
王は人民から税を厳しく取り立てた。|おうは じんみんから ぜいを きびしく りとりたてた|The king exacted taxes from his people
等号|とうごう|Equal sign
シック||chic
どっと|どっと|Burst (out laughing)
斜体|しゃたい|Italic (font style)
侵食|しんしょく|Encroachment / Erosion (Jenova cells taking over Hojo)
この本は新聞に掲載された随筆をまとめたものだ|この ほんは しんぶんに けいさいされた ずいひつをまとめたものだ|This book is a collection of essays published in the newspaper
詰め込む|めつめこむ|To cram (for study! cramming, also to pack into something)
領導|りょう どう|leadership, guidance
素粒子加速器|そりゅうしかそくき|particle accelerator
終焉|しゅうえん|Demise (of a ramen game apparently)
肌触り|はだざわり|The touch of / Feel of / Texture
会社の信用は脆くも崩れ去った|かいしゃの しんようは もろくも くずれ さった|The company simply lost all credibility
さざれ石|さざれ いし|1. pebbles, gravel2. boulder formed from gravel and sediment
文芸部|ぶんげいぶ|literary club (e.g. at school), literary section (e.g. newspaper)
取り直す|りとりなおす|To regrip / To rewrestle
探偵|たんてい|Detective / Investigator
刑期|けいき|Prison term
止血|しけつ|stopping of bleeding; stanching; hemostasis; haemostasis
数名|すう めい|Several People
車に荷物を積んでください。|くるまに にもつを つんでください|Please load the luggage into the car.
浮浪者|ふろうしゃ|Loafer / Vagabond
毒牙|どくが|1. poison fang2. sinister ways, crooked means, clutches, wily ways, dirty trick
羽毛|うもう|鳥の羽の軟らかいもの（Feather / Plummage)
量子力学|りょうしりきがく|Quantum Mechanics
頭部|とうぶ|Head / Cranium
満州国|まんしゅうこく|Manchukuo -- prewar Japanese puppet state
非常識|ひじょうしき|Lack of common sense
強いて|しいて|By force
飼育場|しいく じょう|Breeding ground / Farm
柩車|きゅうしゃ|hearse
書き殴る|かき なぐる|To scribble (write quickly) / To dash off
