宮城県|みやぎ けん|Miyagi-ken
分業|ぶんぎょう|Specialisation / Division of labour
捲し立てる|しまくしたてる|To talk on and on
彼女はとても伸びやかに歌う|かのじょはとても のびやかに うたう|She sings in a relaxed manner
良薬は口に苦し|りょうやくは くちに にがし|the most helpful advice may be difficult to listen to, good medicine tastes bitt
測量士|そくりょうし|registered surveyor
開発|かいはつ|Development (developing something)
いっそ何もかも話してみたらどうですか？|いっそ なにもかも はなしてみたらどうですか|Wouldn't it be better to talk about everything?
熾烈|しれつ|Fierce / Violent / Severe
彼の作品は悉くヒットする|かれの さくひんは ことごとくする|All his works have been popular
公使|こうし|Minister
流域|りゅういき|River Basin
彼から度々メールが来ます。|かれから たびたびが きます|I often get email from him.
河川の盆地には普通肥沃な農地がある。|かせんの ぼんちには ふつう ひよくな のうちがある|The basin of a river usually has rich farmland
実況|じっきょう|Broadcasting / reporting live / play by play coverage
この漬物は村の特産です|この つけものは むらの とくさんです|These pickles are locally produced in this village
満は損を招く|まんは そんを まねく|1. every flow has its ebb2. arrogance leads to downfall
祖先|そせん|Ancestors
べらべら|べらべら|Non stop talking / Speaking indiscreetly
任意同行|にんいどうこう|Going along voluntarily to be questioned by law officers
袂|たもと|Sleeve (esp kimono) / vicinity (eg of bridge) / foot of a mountain
残りいくばく|のこりいくばく|How much is left?
愛玩犬|あいがんけん|pet dog, non-sporting dog
散髪|さんぱつ|(having a) haircut, hair-cutting, hair-dressing
備え付ける|えそなえつける|To provide / To furnish / To equip / To install
友好的|ゆうこうてき|Friendly / Amicable
孤城|こじょう|Solitary castle / isolated castle
洗浄|せんじょう|Washing / Cleaning / Laundering
小論|しょう ろん|Short article / Ones own article
鉄柵|てっさく|Iron fence or railing
近世|きんせい|Modern ages
拙者|せっしゃ|(hum) (arch) (male) I (primarily used by samurai); me
王室|おうしつ|Royal family
珍品|ちんぴん|Rare article / Curio
動じる|どうじる|To be agitated
蹲る|うずくまる|To crouch / To squat / To cower
沸騰|ふっとう|Boiling / Seething
守り切る|もり きる|To hold onto something (eg a lead in a race, lead in a game, a secret)
完遂|かんすい|To accomplish / To carry out
客間|きゃくま|Guest room / parlor
春夏秋冬|しゅんかしゅうとう|Four seasons / all year around (all 4 kanji)
打ち寄せる|ちうちよせる|To wash up / wash / surge / lap
踊らされる|おどらされる|To be manipulated (literally: to be made to dance)
免疫|めんえき|Immunity / Immunization
帰路 (に つく)|きろにつく|Ones way back
ちと|ちと|A little bit / A little while
具わる|そなわる|Furnish / Provide
労力|ろうりょく|Labour / Effort
可哀想に|かわいそうに|Horrible Kanji for かわいそうに
彼女はソファーでうとうとしている|かのじょはでうとうとしている|She is dozing on the sofa
試合に勝つには相手の次の動きを推量することが大切だ|しあいに かつには あいての つぎの うごきを すいりょうすることが たいせつだ|To win the game you must guess the oppositions next move
薄商い|うすあきない|Light trading / Low volume of transactions (stock market)
立ち続ける|たち つづける|to keep standing
プリプリする|する|2 doubler for &quot;to be in a huff, fume&quot;
特派|とくは|Send specially / Special envoy
懲しめる|しめる|to chastise; to punish; to discipline
午前３時は人通りも疎らだ|ごぜん じは ひとどおりも まばらだ|There are few people about at 3am
興隆|こうりゅう|rise; prosperity
酪農家|らくのうか|Dairy Farmer
率直|そっちょく|Frank / Openhearted
中間|ちゅうかん|Middle / Between
総支配人|そうしはいにん|General Manager
浮かぶ|うかぶ|Another word to float
飛び乗る|びとびのる|To jump upon (a moving object)
やっと在留許可が下りました|やっと ざいりゅう きょかが おりました|Finally I was given a residency permit
垢抜け|あかぬけ|Refinement / Style (of the pretty girl)
息女|そくじょ|(your, his, her) daughter
競泳|きょうえい|Swimming Race
自在|じざい|Freely / At will
廃物|はいぶつ|Junk / Scrap / Waste material
油田|ゆでん|Oil field
恐る恐る|るおそるおそる|Timidly
脱帽|だつぼう|Removing ones hat
熟字訓|じゅくじくん|Special Kanji readings
理|り|reason; logic; sense; natural way of things
直面して|ちょくめんして|In the face of X
つぶる|つぶる|To close (not 閉める、閉じる)
宛て|あて|Addressed to
手芸|しゅげい|Handicrafts
縮刷版|しゅくさつばん|Small edition / Pocket edition
終止符を打つ|しゅうしふを うつ|Put an end to / Close the books (on)
ベクトル||Vector (math)
手をこまぬく|てをこまぬく|To stand and watch (without interfering) / to fold ones arms / to look on passiv
懇親会にご出席の由、吉本君から連絡を受けました。|こんしんかいにご しゅっせきの ゆかり よしもと くんから れんらくを うけました|I heard from Mr. Yoshimoto that you will be attending the reception.
自分勝手|じぶんがって|Self centred / Very selfish
彼は仕事に貪欲だ|かれは しごとに どんよくだ|He is ambitious at work
腕前|うでまえ|Ability / Skill
呂律が回らない|ろれつが まわらない|speaking inarticulately (slurring, lisping, etc.)
寄生|きせい|parasitism
栄える|さかえる|Flourish / Thrive (verb, iknow)
秤|はかり|Balance / Scale
からくり|からくり|Device / Trick / Mechanism / Contrivance
古き良き|ふるき よき|good old, good old-fashioned
陳情 （する）|ちんじょうする|Petition / Lobby
おでこ|おでこ|Forehead
気遣い|きづかい|Consideration / Concern
窓辺|まどべ|By the window
定か|さだか|Definite / Sure (whether Cricket is 2nd most popular)
近くにお越しの節はお電話下さい。|ちかくにお こしの ふしはお でんわ ください|Please give me a call when you are (lit., come) nearby.
生態系|せいたいけい|Ecosystem
本場|ほんば|Habitat / Home
善行|ぜんこう|good deed, good conduct, benevolence
良識|りょうしき|good sense
憂さ晴らし|さうさばらし|Diversion / Distraction
同列|どうれつ|Same rank
すっぴん|すっぴん|face with no make-up
授乳|じゅにゅう|breastfeeding; nursing; suckling
紙礫|かみつぶて|paper pellet, spitball
するすると|するすると|Smoothly / Swiftly (I swiftly lost the first 10kg of weight...)
花を摘む|はなを つまむ|To pick flowers
叩きのめす|はたきのめす|To knock down / To beat up (until unable to stand)
この辺は田圃がたくさんあります|この へんは たんぼがたくさんあります|There are a lot of rice fields around here
当直|とうちょく|on duty; on a shift; keeping watch
一神論|いっしんろん|monotheism (ie only one god, not believing in many gods)
性転換手術|せいてんかんしゅじゅつ|sex change surgery
貿易|ぼうえき|Trading
無駄遣い|むだづかい|wasteful spending
古|ふる|Antiquity / Ancient times
はらはら|はらはら|Suspensefully
踏み鳴らす|ふみ ならす|to stamp one's feet
