童話|どうわ|Childrens Story
ぎっしり|ぎっしり|Densely / Closely
隅に置けない|すみに おけない|Someone you shouldn't underestimate / A smooth operator (idiom)
繁体字|はんたいじ|Traditional Chinese Character (Unsimplified)
声はすれども姿は見えず|こえはすれども すがたは みえず|I hear someone, but don't see him
身寄り|みより|Relative / Relation
常習しないよう注意してね|じょうしゅうしないよう ちゅういしてね|Be careful not to let that become common practice/normal/habit
藁なしで煉瓦はできない。|わらなしで れんがはできない|You cannot make bricks without straw
意外な人物の登場に会場はどよめいた|いがいな じんぶつの とうじょうに かいじょうはどよめいた|There was a stir in the hall when the person appeared unexpectedly
配電線|はいでんせん|power line
家来|けらい|Retainer / Servant / Subject / Follower / Liege
自然淘汰|しぜんとうた|Natural selection
狭苦しい|せまくるしい|Cramped
餅は餅屋|もちは もちや|every man knows his own business best, one should go to specialists for the best
割り　(で)|わりで|rate
煮沸消毒|しゃふつしょうどく|Sterilize by boiling
水は１００度で沸騰する。|みずは どで ふっとうする|Water boils at 100 degrees
月経周期は約４週間です。|げっけいしゅうきは やく しゅうかんです|My menstrual cycle is about every four weeks
そのことについては口止めされています|そのことについては くちどめされています|My lips are sealed on that matter
汁気|しるけ|Juice
後述|こうじゅつ|Later mention
犇く|く|To clamour / To crowd / To jostle
リンチ||beating (inflicted as punishment), mob violence, mob justice
検討|けんとう|Consideration / Investigation / scrutiny
侮辱する|ぶじょくする|To insult / affront
端|はじ|End / Edge
潮吹き|しおふき|Female ejaculation (as well as &quot;spouting&quot;, like from a whale)
有限実行|ゆうげん じっこう|Making good on ones promise / Being as good as ones word
昨年は異常な冷夏で、稲作は１０年ぶりの凶作だった。|さくねんは いじょうな れいかで いなさくは ねんぶりの きょうさくだった|It was exceptionally cold last summer, and the rice crop was the worst in 10 yea
税関|ぜいかん|Customs
石油を２、３リッターばかり融通してもらえますか|せきゆをばかり ゆうずうしてもらえますか|Can you spare me a few liters of petrol?
ニコニコする|する|To smile nicely/happily (4 doubler)
嗚咽|おえつ|Sobbing / Weeping / Fit of crying
まくし立てる|まくし たてる|to talk on and on, to rattle on, to keep on talking (without pause)
見切り品|みきり ひん|bargain or clearance goods (esp. of imperfect produce)
非情な|ひじょうな|Cold-Hearted / Cruel
父はうちわで扇いでいるの。|ちちはうちわで あおいでいるの|My father is fanning himself with a paper fan.
破綻手続き|はたん てつづき|Bankruptcy proceedings
睡魔|すいま|Sleepiness / Drowsiness
貸間|かしま|Room for rent
値踏み|ねぶみ|Appraisal / Estimation / Evaluation / Setting prices
怪力|かいりき|Brute Force
残っているのは冒頭の部分だけであった。|のこっているのは ぼうとうの ぶぶんだけであった|All that was left was the opening
吹き抜ける|きふきぬける|To blow through (wind through a valley etc)
勇敢|ゆうかん|Another word for brave, heroic
漢語|かんご|Chinese-character compounds
鉱夫|こうふ|Miner (as in the job)
とっとと|とっとと|Quickly / Hurriedly
欠席（する）|けっせきする|Be absent
座礼|ざれい|Bowing while sitting
大丈夫と強がる|だいじょうぶと つよがる|Pretend to be fine
先手|せんて|The first move / initiative
学び取る|びまなびとる|To collect information / To gather knowledge
相違|そうい|Difference / Discrepancy / Variation
出欠|しゅっけつ|Attendance
彼は瑞々しい感性の持ち主だ|かれは みずみずしい かんせいの ちもちぬしだ|He has fresh and young sensibilities
従軍慰安婦|じゅうぐんいあんふ|Comfort women / Enslaved prositute
いっそ|いっそ|Might as well / Much more
起因|きいん|Cause
威信|いしん|Dignity
水陸両用の陽動攻撃|すいりくりょうようの ようどう こうげき|an amphibious diversionary attack
ド阿呆|あほ|total idiot
折り紙付き|おり がみつき|guaranteed, authentic, certified
文法：　あればこそ|ぶんぽうあればこそ|Particularly thanks to (文法)
通用する|つうようする|Popular use / Circulation
どっこい|どっこい|Hold on! / Just a minute / Heigh-hoh
へとへと|へとへと|Exhausted / Dead / 疲れ切って
副次的|ふくじてき|secondary
その犬はその音を聞いて耳をピンと立てた。|その いぬはその おとを きいて みみをと たてた|The dog pricked up his ears at the sound.
講演|こうえん|Another word for lecture (iknow)
追い風|いおいかぜ|Tailwind / Favourable wind
痛感する|つうかんする|To fully realise / feel keanly
融資銀行|ゆうし ぎんこう|Merchant bank
知恵の輪|ちえの わ|1. puzzle ring, wire puzzle2. exercise where students link crossed hands in a ci
親族|しんぞく|Relative / Family
国際監視団は投票の集計をしました。|こくさいかんしだんは とうひょうの しゅうけいをしました|International observers counted up the ballot
基地外|きちがい|Madman / Madness
彼は双眼鏡で競馬を見た。|かれは そうがん きょうで けいばを みた|He watched the horse racing through his binoculars
駆逐|くちく|extermination; expulsion; destruction
更新履歴|こうしんりれき|change log, record of updates, update history
事態|じたい|Situation / State of affairs
不愉快|ふゆかい|Unpleasant / Disagreeable
沼|ぬま|Pond / Swamp (think Shrek)
ありゃ狂言をやっているだ|ありゃ きょうげんをやっているだ|He is only acting a part
波長が合う人|はちょうが あう ひと|Someone on the same wavelength
衝撃波|しょうげきは|Shock wave
間に合わせ|にまにあわせ|Makeshift
へそ出し|へそ だし|bare midriff
私腹|しふく|For ones own profit
鏡台|きょうだい|dresser
混ぜ物|まぜ もの|mixture
同志|どうし|Comrade
付きっ切り|きっつきっきり|Constant attendance / Uninterrupted supervision
態度|たいど|Attitude / Manner
至上|しじょう|Supremacy (of the english language!)
嫌気|いやけ|Dislike / Tired of / Disinclination
こまめに保存することをお忘れなく！|こまめに ほぞんすることをお わすれなく|（Taking care, working well, frequently) don't forget to save!
鑑定|かんてい|Judge / Authenticate&nbsp;
過失|かしつ|An error / mistake / negligence (accidental)
拷問(する)|ごうもんする|To torture
務め|つとめ|Duty / task (not 任務、責務)
わいわい|わいわい|Excitedly / Get excited
来訪者|らいほうしゃ|Client / Visitor / Caller
紅衛兵|こうえいへい|Chinese red guards
考え倦んだ結果、私は辞職します|かんがえ うんだ けっか わたしは じしょくします|As my plans haven't shaped out, I will resign
日中|にっちゅう|During the day
協定が調印されれば、輸入規制が解除できる。|きょうていが ちょういんされれば ゆにゅう きせいが かいじょできる|We can lift the restrictions on imports once the joint agreement is signed
騒然|そうぜん|Noisy / Confused / Uproarious
献立|こんだて|Menu
ドキュン　/　DQN||Dumb-ass
然るべき時間より遅くなること|しかるべき じかんより おそくなること|to be late
熱りが冷める|ほてりが さめる|the heat is off; things calm down; the excitement dies down
唾棄|だき|disdain, contempt, scorn, abhorrence
盛装なさる必要はありません。|せいそうなさる ひつようはありません|You don't have to dress up
奏でる|かなでる|To play an instrument
参集|さんしゅう|Assembling of people
達て|たって|strongly hoping or requesting (of something that is difficult to be brought to f
筋合い|すじあい|Right or basis (to ask me for that etc)
彼は暖炉用に丸太を鋸で切った。|かれは だんろ ように まるたを のこで きった|He sawed logs for the fireplace
等式|とうしき|Equality
