断り書き|りことわりがき|Explanatory note
決断を延期してはならない|けつだんを えんきしてはならない|Don’t keep putting off decisions
力む|りきむ|To exert ones strength
この本は薄くてぺらぺらですね。|この ほんは うすくてぺらぺらですね|This book is thin and flimsy.
持続力|じぞくりょく|Durability
通り抜ける|りとおりぬける|To cut through / To go through
我々は誤差を見込んで余裕をとっておいた。|われわれは ごさを みこんで よゆうをとっておいた|We left a margin for error in our estimates
粥|かゆ|Thin rice porridge / Watery cooked rice / Rice gruel
尊厳|そんげん|Dignity
私は数学ではとても彼にかなわない|わたしは すうがくではとても かれにかなわない|I cannot possibly beat him in mathematics
集金|しゅうきん|money collection
黒死病|こくしびょう|plague; Black Death
映像|えいぞう|Image / Picture / Reflection
興奮|こうふん|Excite / Stimulate
猛暑|もうしょ|Heat Wave
突き|つき|A pass / A lunge / A stab
田園|でんえん|Rural districts / country (ie out in the country)
含み笑い|みふくみわらい|Suppressed laugh&nbsp;
でかい面をする|でかい めんをする|To act big
儀式的|ぎしき てき|ceremonial, ritual, ritualistic, formal
星座|せいざ|Constellation
乞食|こじき|Beggar
はだし|はだし|barefoot, bare feet
領分|りょうぶん|Territory / Domain / Dominion
均一の|きんいつの|Even / Uniform
滅ぼす|ほろぼす|To wreck / To ruin
消息通|しょうそくつう|An insider
貧弱|ひんじゃく|Poor / Meagre / Insubstantial
全盛|ぜんせい|Height of prosperity
その疫病で現在までに１００人もの人が亡くなった。|その やくびょうで げんざいまでに にんもの ひとが なくなった|So far no less than 100 people have died of the plague
扱き|しごき|hazing; gruelling training
地デジ|ち|(abbr) (See 地上デジタル放送) terrestrial digital broadcasting
割り勘|りわりかん|Splitting the cost / going dutch
意訳|いやく|Liberal translation / free translation (how the Chinese might translate English 
有名な婦人服店専属のデザイナー|ゆうめいな ふじんふく てん せんぞくの|A designer for a famous dressmaker (exclusive to)
紅葉|こうよう|Autumn leaves changing colour
彼はまんまと逃げおうせた|かれはまんまと にげおうせた|He succeeded in making his escape―managed to escape―made good escape
風習|ふうしゅう|custom
封|ふう|seal, sealing
お家芸|お いえげい|Ones speciality (wrestling for Japan)
世迷言|よまいごと|grumbling; muttering; nonsense
梅雨|つゆ|Rainy Season
権力欲|けんりょくよく|A lust for power..
暖房|だんぼう|Heating
天下|てんか|Descent from heaven / whole country / the world
に当たって|に あたって|At the time of
哺乳瓶|ほにゅうびん|Baby bottle
満場|まんじょう|Whole audience / Unanimous
既存|きそん|Existing (files, load from before in inkscape!)
荒っぽい|あらっぽい|Rough / Rude
女子大生|じょしだいせい|Female college student
爪切り|つめきり|Nail clipper
憩い|いこい|to rest
従前|じゅうぜん|Previous / Former / これまで (contract up until now)
乱戦|らんせん|Battle Royal
薬莢|やっきょう|Cartridge case / Shell (guntype!)
埋め合わせをしますよ。|めうめあわせをしますよ|I'll make it up for you.
自己啓発本|じこけいはつ ほん|self-improvement book
過大視する|かだいしする|Give an exaggerated importance to X
無体財産|むたいざいさん|intangible property
願わくば|ねがわくば|I pray / I wish
優先事項|ゆうせんじこう|Priority matter
換気|かんき|Ventilation
ぶち壊す|ぶち こわす|To destroy / To wreck / To break by striking
前菜|ぜんさい|Appetizer
割り切り|りわりきり|That word for basically &quot;cheating on partner&quot;
幻影|げんえい|Phantom / Vision / Illusion
粘り抜く|りねばりぬく|To stick it out / To see it to the end
首相の談話が発表された|しゅしょうの だんわが はっぴょうされた|The Prime Ministers speech was announced
票数|ひょうすう|Vote tally
通商|つうしょう|commerce, tradeわが国は米国で通商している。We do business with the United States.
発熱|はつねつ|generation of heat, getting a fever
触れる|ふれる|touch, come in contact with
最善|さいぜん|Best / Optimum
成し遂げる|しなしとげる|やりとげる / Accomplish / Achieve / Carry out
白物家電|しろものかでん|large household electrical appliances
操作性|そうさせい|Operability
墓石|はかいし|Tombstone
衝突|しょうとつ|Collision / Conflict
帰ろうとする友達を引き止めたんだ。|かえろうとする ともだちを きひきとめたんだ|I stalled my friend who was about to go home.
船酔い|ふなよい|Sea sickness
選抜委員会|せんばつ いいんかい|Selection committee
完徹|かんてつ|(from 完全な徹夜) all nighter; sleepless night
岸|きし|Shore / coast
焼失する|しょうしつする|To be burned to the ground
平滑化|へいかつか|Smoothing (numbers etc)
反省|はんせい|Self examination / review / soul-searching
おんぶ|おんぶ|Piggy back
勘所|かんどころ|vital point / finger board of a musical instrument
言いなり放題|いいなり ほうだい|completely submissive to another person
嘲笑|ちょうしょう|Scornful laughter / Ridicule / Derision / Sneer
街灯|がいとう|Street Light
格闘技|かくとうぎ|General word for &quot;martial arts&quot;
小難しい|しょう むずかしい|Troublesome
覚え書き|えおぼえがき|Memo / Note
だけましだ|だけましだ|it’s better than…; one should feel grateful for
微か|かすか|Faint / Dim
土竜|むぐらもち|Mole
指は鍵盤のあちらこちらに動きました。|ゆびは けんばんのあちらこちらに うごきました|They moved up and down the keys
五ポイント先取で|せんしゅで|First to five points
怒りん坊|おこりん ぼう|short-tempered or irritable person
義務教育は、国民の義務であるとともに、権利である|ぎむきょういくは こくみんの ぎむであるとともに けんりである|Compulsory Education is the duty of a citizen, but at the same time its also a p
簡裁|かんさい|Summary court
一大事|いちだいじ|A serious affair
元素記号Ｈは水素をあらわす。|げんそきごう えいちは すいそをあらわす|The chemical symbol H expresses hydrogen
手作業|てさぎょう|Manual labour / Manual procedures
溶岩|ようがん|Lava
外側|そとがわ|Exterior / Outside
時針|じしん|hour hand (watch, clock)
地主|じぬし|Landowner / Landlord / Proprietor
英検|えいけん|English proficiency test
入選|にゅうせん|Acceptance / Selection
彼女に何か気に障ること言ったかな。|かのじょに なにか きに さわること いったかな|Something is grating on her nerves
何回か|なんかいか|A few times
生涯|しょうがい|For life / lifetime
命運|めいうん|Fate (domyouji zaibatsu!)
主語　・　述語　・　目的語|しゅご じゅつご もくてきご|Subject - Predicate - Object (Languages grammar order)
賛嘆|さんたん|Another word for &quot;praise / admiration&quot; for being able to speak Chinese
聳える|そびえる|To rise / To tower / To soar
