一覧済み|いちらんずみ|listed
屈める|かがめる|To stoop / To bend
清掃動物|せいそう どうぶつ|Scavanger
名状しがたい|めいじょうしがたい|Beyond description / 言葉では言い表せないほど
退転|たいてん|backsliding
異名|いみょう|1. another name, nickname, alias2. synonym (taxonomy)3. 別名, 别名, 化名
お酒をお注ぎしましょう。|お さけをお そそぎしましょう|Let me pour you a drink.
吹聴|ふいちょう|Making public announcing / Spreading a rumour
遠巻き|とおまき|Surrounding at a distance
推敲|すいこう|Polishing / Refinement
象牙|ぞうげ|ivory
気が焦る|きが あせる|To be impatient
住み分ける|すみ わける|to differentiate; to segregate
古生物学|こせいぶつがく|paleontology
墓地|ぼち|Graveyard
惨めな|みじめな|Miserable / Wretched / Sad
憂鬱|ゆううつ|Depression / Gloom
しもべ|しもべ|Servant / Manservant / 下部
少年は終日その仕事を根気よくやった。|しょうねんは しゅうじつその しごとを こんきよくやった|He kept at the job all day
頃合|ころあい|Suitable time / Good time
仕打ち|しうち|Poor treatment / Bad behaviour
代休|だいきゅう|Substitute holiday
需要が多過ぎて生産が追い付きません。|じゅようが おお すぎて せいさんが いおいつきません|There's a lot of demand and production can't keep up.
囁く|ささやく|Whisper
彷徨|ほうこう|Wandering / Rambling / Floating
妙ちくりん|みょうちくりん|weird, odd
常軌|じょうき|Proper course / Beaten track
重要視|じゅうようし|Regarding highly / Attaching importance to
赤黒い|あかぐろい|Dark red
舐める|なめる|To lick!
一苦労|ひとくろう|a hard time; pains
余計なお世話|よけいなお せわ|(exp) it's none of your business; it's not your concern
初版|しょはん|First edition
整髪|せいはつ|Hairdressing
駐屯|ちゅうとん|Stationing (troops) / occupancy
信憑性|しんぴょうせい|Credibility / Authenticity
椅子取りゲーム|りいすとりげーむ|Musical chairs
ハーケン||1. piton (metal support peg used when climbing)2. hook
従来の|じゅうらいの|Conventional / Traditional
筆記用具|ひっきようぐ|Pens and pencils
波乗り|なみのり|Surfing !
従者|じゅうしゃ|Follower / Attendant / Valet / Servant
猛者|もさ|Man of valour / Tough guy / Warrior
取り払う|りとりはらう|to clear away; to remove; to demolish
童歌|わらべうた|Old childrens song
へそ|へそ|the navel, the bellybutton
振り絞る|りふりしぼる|To muster (strength), to strain (ones voice)
姑|しゅうと|Mother in law (another)
初期値|しょきち|Initial value / Initializing value
屍体愛好|したいあいこう|necrophilia
枯れる|かれる|Die (plants), dry up
中断する|ちゅうだんする|To discontinue
君主|くんしゅ|Ruler / Monarch / Sovereign
だけあって　Grammar|だけあって|Because / As expected
～さす|さす|～さす either shows that you stop in the middle of something that you have just sta
漂泊|ひょうはく|roaming, drifting about, wandering
加法混色|かほうこんしょく|Additive mixture of colors
伝う|つたう|To go along / To follow (the wire in FF7) / To walk along
牛の乳搾りをする|うしの ちちしぼりをする|To milk a cow
職責|しょくせき|one's duty, responsibilities pertaining to one's work
生徒|せいと|Pupil
警戒心|けいかいしん|Wariness
身内|みうち|Relative / Family circle
補間|ほかん|Interpolation
脆弱|ぜいじゃく|weak; frail; fragile
混成の|こんせいの|Hybrid / Blend / Heterogeneous
彼は府庁で働いています。|かれは ふちょうで はたらいています|He works for the prefectural office.
ぽかぽか|ぽかぽか|pleasantly warm (4 doubler)
ぼんやり|ぼんやり|Vaguely / Absent-mindedly
持久力|じきゅうりょく|Stamina / Tenacity
産院|さんいん|maternity hospital
再認識|さいにんしき|Recognising anew / Seeing something in a new light
跳躍|ちょうやく|Jump / Leap
この高校は偏差値がとても高い|この こうこうは へんさちがとても たかい|The deviation score at this high school is very high
渡り歩く|りわたりあるく|to wander from place to place; to change jobs
鈍足|どんそく|slow-footed
目測|もくそく|目で見て、だいたいの長さ等をはかること
酸化|さんか|Oxidation / Combustion
彼はいかにもスポーツマンらしいですね。|かれはいかにもらしいですね|He indeed looks like a sportsman.
泉|いずみ|Spring / Fountain
腕っ節|っうでっぷし|Physical Strength
左上隅|ひだりうえすみ|Top left corner
足元に及ばない|あしもとに およばない|Cant compete with (your 相手 or whoever)
喇叭|らっぱ|trumpet; horn; bugle
木剣|ぼっけん|bokken; wooden sword
品薄|しなうす|shortage of goods
協定世界時|きょうていせかいじ|Coordinated Universal Time; UTC
集中豪雨|しゅうちゅうごうう|Local downpour
卑しい|いやしい|Greedy / Vulgar / Shabby / Mean / Vile
胸焼け|むねやけ|Heartburn
臀部|でんぶ|Buttocks / Rear
春画|しゅんが|shunga, erotic or pornographic woodblock prints
専念する|せんねんする|To give undivided attention to / devote oneself to / absorption
しぶしぶ|しぶしぶ|Reluctantly / Unwillingly
硬派|こうは|Hard liners / Stalwarts (linux kernel devs!)
王宮|おうきゅう|Royal Palace residency / courts
どうも|どうも|For some reason / somehow
炭酸|たんさん|Carbonated / Fizz
様相|ようそう|Phase / Aspect
動乱|どうらん|Disturbance / Upheaval
非行グループ|ひこう|Juvenile gang
仄めかす|ほのめかす|To hint
