膿|うみ|Pus (from spot? ugh)
線引き|せんひき|Demarcation / Delineation
年功序列|ねんこうじょれつ|Seniority system
私はパソコンで出納の記録を管理しています|わたしはで すいとうの きろくを かんりしています|I manage on the computer the recording of the companys accounts
暑くて汗がたらたら流れてきた|あつくて あせがたらたら ながれてきた|It is hot and I am dripping with sweat
好み|このみ|Taste / Preference
豪傑|ごうけつ|Hero / Great man
力業|ちからわざ|1. heavy work, manual labour2. feat of strength
軍隊式|ぐんたいしき|Military style
彼は外務大臣の職を固辞した|かれは がいむだいじんの しょくを こじした|He firmly declined the post of Foreign Minister
術前|じゅつぜん|(ant: 術後) preoperative (preparation, diagnosis, etc.);　something before surgery,
猪口才|ちょこざい|impertinent, impudent, saucy, cheeky
正当化|せいとうか|Justification
百姓|ひゃくしょう|Farmer / Peasant
志向|しこう|(See 指向) intention; aim; preference (for)
項目|こうもく|An item / clause (iknow)
むせる|むせる|To choke / suffocate
請求する|せいきゅうする|To ask / Claim / 要請、依頼、申し込み
暗算|あんざん|Mental arithmetic
つかまる|つかまる|hang on to (something)
積極性|せっきょくせい|Assertiveness / Positiveness
精査|せいさ|Careful examination / Close investigation
粘着テープ|ねんちゃくてーぷ|Duct tape
三部作|さんぶさく|Trilogy
～合わせ|あわせ|joint together, opposite, facing
棒術|ぼうじゅつ|bōjutsu (art of using a stick as a weapon)
修学旅行|しゅうがくりょこう|School excursion / trip
暴れる|あばれる|To rage / rampage
水着|みずぎ|Bathing suit
会員制|かいいんせい|Membership System
沈滞|ちんたい|Stagnation / Inactivity
起伏|きふく|Ups and downs / High and lows
染色体|せんしょくたい|Chromosome
剣|つるぎ|sword (esp. a large, double-edged one); blade
難破|なんぱ|shipwreck
彼女はしくしく泣いていた|かのじょはしくしく ないていた|She was sobbing
無脂肪乳|むしぼうにゅう|non-fat milk; skim milk; skimmed milk
錯覚|さっかく|Optical illusion, Misapprehension
貴い|とうとい|precious, valuable (life?)
蓄積|ちくせき|Accumulation
採石場|さいせきじょう|quarry, stone pit
損|そん|Loss / Uselessness
出没|しゅつぼつ|Appearing frequently / infesting / appearance and disappearance
持ち直す|ちもちなおす|To recover / To pick up / To rally
事故る|じこる|to have an accident (esp. traffic accident); to cause an accident
棒人間|ぼうにんげん|stick figure; stick person
永続|えいぞく|permanence, continuation
前年|ぜんねん|Previous Year
謙譲|けんじょう|Modest
課程|かてい|Course / Curriculum (another iknow one)
図る|はかる|strive for, attempt　(志す、目指す、ではない）
難関|なんかん|Barrier (to learning, say. Similar to 関門 I guess)
いざなう|いざなう|To invite / means 誘う
創刊する|そうかんする|To start (a new magazine, a newspaper)
在籍|ざいせき|Enrollment
排他的論理和|はいたてきろんりわ|XOR / Exclusive OR
決定版|けっていはん|Definitive piece / Authoratitive edition / The last word
歌詞を忘れたから歌いさしなきゃいけなかった|かしを わすれたから うたいさしなきゃいけなかった|Since I forgot the lyrics, I had to stop in the middle of singing
防炎剤|ぼうえんざい|fire-extinguishing agent
剣を帯びる|けんを おびる|to wear a sword at one's side
入金|にゅうきん|receipt of money
飛来|ひらい|(1) coming flying in (migratory birds, airborne sand, pollen, etc.); (2) coming 
反論|はんろん|Argument / Objection / Contradiction (lit: counter logic!)
口癖|くちぐせ|Favourite phrase / speech habit
言い張る|いいいはる|To insist / To assert / To be obstinate in saying
山師|やまし|Adventurer / Speculator / Prospector
煤|すす|Soot
臨検|りんけん|On the spot inspection or raid / Raid
帆船|はんせん|Sailing ship / Sailing boat / Sailing vessel
序章|じょしょう|prologue; preface
床が軋む|ゆかが きしむ|Floor creaks (squeaks)
累積|るいせき|Accumulation
恐妻家|きょうさいか|Hen-pecked husband / browbeaten, bullied, intimidated by ones wife
辛抱|しんぼう|More unusual word for &quot;patience&quot; or endurance
綻びる|ほころびる|To begin to come apart / To begin to open (clothes)
おいてけぼり|おいてけぼり|Leaving somebody behind
うつ伏せになる|うつ ぶせになる|To lie on ones stomach
渡り鳥|りわたりどり|Migratory bird
グイグイ||Doing something forcefully and continuously (pulling hard etc)
後ずさる|あとずさる|to retreat; to back off; to draw back; to step back; to shrink away
心して|こころして|(exp) carefully; with caution
やせ細る|やせ ほそる|to lose weight, to become thin, to wither away
タコ足配線|あしはいせん|overloading an electrical circuit, piggybacked electrical outlet, "octopus outle
持ち味|ちもちあじ|Inherent flavour / distinctive characteristic (about a person)
植毛|しょくもう|Hair transplant
寄り道|りよりみち|Dropping in on the way
身元|みもと|Persons identity / ID
蝶ネクタイ|ちょうねくたい|Bow-tie
貿易収支|ぼうえきしゅうし|Trade balance
一般論|いっぱんろん|Prevailing view / common opinion / general consideration
億劫|おっくう|Troublesome / Annoying
支給|しきゅう|Supply / Issue
坊主|ぼうず|Buddhist priest / Shaven head
虚栄心|きょえいしん|Vanity
えぐり取る|えぐり とる|to dig out; to hollow out; to cut into
とぼける|とぼける|To pretend / feign / ふりをする
近似値|きんじち|Approximation / Approximate
一縷|いちる|A thread / A ray of sliver (of hope)
私たちはすでに家族ぐるみのお付き合いがあります|わたしたちはすでに かぞくぐるみのお きつきあいがあります|We've already had a family commitment
産み落とす|うみ おとす|to give birth to; to drop (a calf, foal, etc.); to lay (an egg)
長方形|ちょうほうけい|Rectangular
仇|きゅう|Foe / Enemy
末っ子|っすえっこ|Youngest Child
今日は夕焼けがきれいです。|きょうは ゆうやけがきれいです|The sunset glow is beautiful today.
回線網|かいせんもう|Line network / trunk network (for phones)
私はその祝典に出席できなかった|わたしはその しゅくてんに しゅっせきできなかった|I could not attend the ceremony
旅人|たびびと|Tourist / Traveler
主婦|しゅふ|Housewife
製造ライン|せいぞう|Production line
機密情報|きみつじょうほう|Confidential information
点滅|てんめつ|Flashing / Flickering
ここにうつぶせになってください|ここにうつぶせになってください|Please lie face down here
一点物|いってんもの|one-of-a-kind item
幸い|さいわい|Fortunately / Happily / Luckily
実技試験|じつぎ しけん|Practical exam
藁|わら|Straw
N という N    Grammar|という|すべとの、　絶対に, 強調, Emphasis term!
委細|いさい|Details / Particulars
退位|たいい|abdication
忙しくても寝ないわけにはいきません|いそがしくても ねないわけにはいきません|Even though I am busy, I dont have any choice but to sleep
