金婚式|きんこんしき|golden wedding (anniversary)
絞る|しぼる|To wring / squeeze / press
初夏|しょか|Early summer
脆弱性|ぜいじゃくせい|Vulnerability (in the linux kernel! oh no!)
気恥ずかしい|き はずかしい|Embarrassed / Feeling ashamed or awkward
捜索する|そうさくする|To search for / investigate (Hunters!)
あの子は大人の鑑賞にたえる絵を描く|あの こは おとなの かんしょうにたえる えを えがく|That kid draws pictures that are worthy of adult appreciation
剥げる|はげる|come off, peel off
失敗に懲りる|しっぱいに こりる|To learn a lesson by making a mistake
健康を損なう|けんこうを そこなう|To ruin ones health
そんなことをするなんて彼は無恥な人間だ|そんなことをするなんて かれは むちな にんげんだ|He has no shame doing something like that
灌木|かんぼく|bush; shrub
会議中につき中に入ってはいけない|かいぎ ちゅうにつき なかに はいってはいけない|Since they’re having a meeting, you can’t come in
未満|みまん|Less than / fewer than
庶民|しょみん|Commoner / The common people
商う|あきなう|To trade or to deal in X
手っ取り早く|っりてっとりばやく|With dispatch / Expeditiously
済ませる|すませる|To be finished
枝からリンゴをもいだ|えだからをもいだ|I plucked the apple from the branch
爪楊枝|つまようじ|Toothpick
入電|にゅうでん|Telegram
欲求不満|よっきゅうふまん|frustration (unhappy with her boyfriend?)
教鞭|きょうべん|teacher's cane, teacher's pointer
協議|きょうぎ|Conference / Deliberation
全快の見込みが少ない|ぜんかいの みこみが すくない|Have a poor chance of recovery
高騰|こうとう|Sudden price jump / Steep price rise
贈り物に手書きのカードを添えました。|りおくりものに てがきのを そえました|I attached a hand-written card to the gift.
悪ふざけ|わるふざけ|Prank / Practical joke / Horseplay
装身具|そうしんぐ|Accessories (to wear, like jewelry)
ほんのりと暖かみのあること|ほんのりと あたたかみのあること|state or quality of being slightly warm
そりがあわない|そりがあわない|To not hit it off well with someone
化粧の乗りが良い|けしょうの のりが よい|For makeup to hold well
拾得|しゅうとく|To find
同数|どうすう|As many as X
予防|よぼう|Prevention / Protection
その恐ろしいニュースを聞いておどろくのももっともだ|その おそろしいを きいておどろくのももっともだ|It’s only natural to feel shocked when you hear that horrifying news
正直|しょうじき|Honest / Truthful
配属|はいぞく|Assignment (of a person to somewhere) / Attachment (of a person to another organ
立会人|たちあいにん|Witness / Observer
架空ではなく現実の話をしようよ|かくうではなく げんじつの はなしをしようよ|Lets talk about reality, not fiction
断片化|だんぺんか|fragmentation
引け目を感じる|けひけめを かんじる|To feel inferior to ～
君にそうされりゃ僕は破れかぶれになる|きみにそうされりゃ ぼくは やぶれかぶれになる|You drive me to desperation
気鬱|きうつ|gloom, mental depression
目に触れる|めに ふれる|To catch the eye / To attract attention
知能|ちのう|Intelligence / Mental capacity
まんまと|まんまと|Successfully / Fairly / Artfully / Nicely
ただ一人の肉親に死なれた。|ただ にんの にくしんに しなれた|My only relative died (and I suffered).
操練|みさお ねり|drill (esp. military); training
傑物|けつぶつ|great man, heroic figure, remarkable character
剥がす|へがす|To peel / tear
汚ギャル|おぎゃる|Girl who never takes a shower / bath
舵|かじ|Rudder / Helm
彼の行為は規範に反しています|かれの こういは きはんに はんしています|His behaviour goes against the norm
そんなこと、子供でさえ知っている|そんなこと こどもでさえ しっている|Even children know that
一同顔を見合わせました。|いちどう がおを みあわせました|We all looked at each other.
歯磨き粉|はみがき こ|tooth paste / tooth powder (??)
往生|おうじょう|Death / Passing to the next life / Dying a happy death / Giving up a struggle
精通する|せいつうする|To be versed in / Being expert / Having knowledge (of a countries culture / sens
手違い|てちがい|Mistake / Error
統率|とうそつ|To command / lead / generalship / leadership
