後天的|こうてんてき|Acquired / Learned
インターネットは情報の概念を変えたよね。|は じょうほうの がいねんを かえたよね|The Internet changed the concept of information.
避暑|ひしょ|Summering
非常手段|ひじょうしゅだん|emergency measures
酔っ払いは警官に「くそったれ」と絡んだ|っよっぱらいは けいかんにくそったれと からんだ|The drunken fellow swore at the policeman
唾する|つばする|to spit
絆|きずな|Bond (with a person)
免職|めんしょく|Dismissal / Sacking / Discharge
酔客|すいきゃく|Drunken person
三度目の正直|どめの しょうじき|Third time's a charm
給仕|きゅうじ|Waiter / Waitress / Steward
カビ||Mold
錠を頑丈なものに替えました。|じょうを がんじょうなものに かえました|The lock was substituted for a stronger one.
極悪非道|ごくあくひどう|inhuman, heinous, atrocious
架け橋となる|かけ はしとなる|to bridge (e.g. cultural divides, technical differences, etc.), to bring togethe
真夏のビールはおいしい。|まなつのはおいしい|Beer is delicious in midsummer.
明朝|みょうちょう|Tomorrow morning
～の　つもりで|のつもりで|～という気持ちで&nbsp;
不随意|ふずいい|involuntary
気まぐれ|きまぐれ|Whim / Fickle / Changeable
同程度|どうていど|Same level / Same extent (GIMP as paid software)
絶え間ない|えたえまない|Incessant / Constant / Continuous / Perpetual / Everlasting
彼はその国の公使だ|かれはその くにの こうしだ|He is a minister for that country
後継ぎ|あとつぎ|Heir / Inheritor / Successor
を除いて|を のぞいて|except; with the exception of; excluding
綿入れ|わたいれ|1. padding with cotton2. garment padded with cotton, wadded clothes
発艦|はっかん|aeroplane taking off from a warship (airplane)
海面|かいめん|sea level; (surface of) sea
電話履歴|でんわりれき|call log, call history
扱う|あつかう|Handle / Deal with
甘口|あまくち|Sweet flavour / Flattery
史書|ししょ|History book
何らかの場所|なんらかの ばしょ|one place or another
愛好家|あいこうか|enthusiast; fan; lover; devotee; aficionado
ドタバタ喜劇|きげき|slapstick comedy
水素|すいそ|Hydrogen
陸上部は校庭で練習しています。|りくじょうぶは こうていで れんしゅうしています|A track club is practicing in the schoolyard.
乗り物酔い|りのりものよい|Motion sickness
高波|たかなみ|High (sea) waves
喜色満面|きしょく まんめん|Being all smiles with joy
地頭|じとう|lord of a manor; (n) (2) estate steward
精度|せいど|Precision / Accuracy
不順|ふじゅん|Irregularity
一同|いちどう|Everybody / All
思念|しねん|Thought
独り占め|りひとりじめ|Exclusive possession
吸血鬼伝説はバルカン地方に流布している。|きゅうけつき でんせつは ちほうに るふしている|Legends of vampires flourish in the Balkans
万国史|ばんこくし|world history
笑い種|いわらいぐさ|Laughingstock / Joke
戸締り|とじまり|Closing up / Fastening the doors
30センチの物差しをください。|の ものさしをください|Please give me a 30 centimeter ruler.
弁慶の泣き所|べんけいの なき どころ|Ones weak point / The shin
小敵|しょうてき|weak opponent; weak enemy
隊形|たいけい|Formation / Order
あえて言えばあなたの考えは机上の空論だ。|あえて いえばあなたの かんがえは のきじょうのくうろんだ|If I dare to say so, your idea is an unrealistic, ivory tower theory.
このとうもろこしは甘くておいしい。|このとうもろこしは あまくておいしい|This corn is sweet and delicious.
込み上げる|みこみあげる|To fill (ones heart) / To experience a welling up of feelings or sensations / to
