張り込み|りはりこみ|A steakout
予備|よび|Spare / Reserve
感情的|かんじょうてき|Emotionally
立ち止まる|ちたちどまる|stop, halt
後味|あとあじ|Aftertaste
ぶち込む|ぶち こむ|To drive in (eg nail, stake, bullet) / to throw into / to devote oneself into
括り付ける|くくり つける|to fasten (something or someone) to; to tie (to)
照れ隠し|れてれかくし|Hiding ones embarrassment
娑婆に出る|しゃばに でる|To get out of prison / be released from prison
思いきや grammar|おもいきや|You use this grammar when you think one thing, but much to your astonishment, th
似通う|にかよう|To resemble closely
海賊は武装していない商船を餌食にした|かいぞくは ぶそうしていない しょうせんを えじきにした|Larger pirates often preyed on unarmed merchant ships
私は先日そのお店ですばらしい掘り出し物をした。|わたしは せんじつそのお たなですばらしい りしほりだしものをした|I made a great find in the store the other day.
表|ひょう|Surface / Front / TABLE (ie Tab.1)
試合が白熱してきました|しあいが はくねつしてきました|The match is heating up
非科学的（な）|ひかがくてきな|Unscientific
地球は自転している。|ちきゅうは じてんしている|The earth revolves on its axis
お体をいたわってください|お からだをいたわってください|Please take care of yourself
対極|たいきょく|Opposite / Antithesis / Other opposite extreme
実質のない[空疎な]議論|じっしつのない 空疎[くうそな ぎろん|an argument without substance
夜警|やけい|night watchman
言動|げんどう|Behaviour
災い|わざわい|Misfortune
スケートをするには強い腿の筋肉が必要である。|をするには つよい ももの きんにくが ひつようである|You need to have strong thigh muscles to skate
それで君も思い知るだろう|それで きみも いおもいしるだろう|That'll teach you!
征する|せいする|To conquer / To overcome
無念|むねん|Regret / Chagrin
頑健|がんけん|Robust health / Able bodied
交渉が成立するという前提で話を進めます。|こうしょうが せいりつするという ぜんていで はなしを すすめます|We're proceeding with talks under the assumption we'll complete the deal.
異議|いぎ|Objection / Dissent
やや|やや|little, somewhat
重度|じゅうど|Severe / Heavy
点灯|てんとう|lighting (a lamp), turning on a light
厳命|げんめい|Strict order
ここいら|ここいら|Around here / In this vicinity / In this area
鼻孔|びこう|Nostril
家宝|かほう|Heirloom
沖|おき|Open sea
良心の呵責|りょうしんの かしゃく|&nbsp;(exp) pangs of conscience
美男子|びだんし|Handsome good looking man
私たちは内面の美しさを重視します|わたしたちは ないめんの うつくしさを じゅうしします|We value inner beauty
瞬き（を）する|まばたきをする|To blink ones eyes
庭は種々の花で一杯だった|にわは しゅじゅの はなで はいだった|The garden was full of various types of flowers
彼の頼みに応ずることにした|かれの たのみに おうずることにした|I decided to grant his request
賞金をもらったら公平に分けましょう。|しょうきんをもらったら こうへいに わけましょう|If we win the prize, let's share it equally.
海蛇|うみへび|Sea snake / Leviathon!! :)
浮動少数|ふどう しょうすう|Floating decimal
彼のデータは抹消されています|かれのは まっしょうされています|His data has been erased
祭りでお神輿が出ている|まつりでお みこしが でている|The portable shrine is brought out at the festival
翡翠|ひすい|Jade
街録|がいろく|man-on-the-street interview
被告人|ひこくにん|Defender / Accused
争い|あらそい|Struggle / Fight (not tatakau)
追走する|ついそうする|To chase (on foot? hunters!)
血縁|けつえん|Blood relation
俯瞰|ふかん|overlooking; looking down at; having an overhead view; having a bird's-eye view;
近親相姦|きんしんそうかん|incest
いかに|いかに|How / in what way
離陸|りりく|Takeoff
お粥も作ってきました。チンして温めるだけですから。|お かゆも つくってきましたして あたためるだけですから|I also brought some gruel I made. It just needs warming up
外科の|げかの|Surgical
悪運が強い|あくうんが つよい|Has the luck of the devil / has the devils luck
大半|たいはん|Majority / Mostly / Generally (got a flight job after graduation)
世直し|よなおし|world reformation
夢幻の世界|むげんの せかい|A dreamworld
厚かましい|あつかましい|To have nerve / Bold / Cheeky / Impudent
認定証|にんていしょう|Certificate
竜は神話に出てくる生き物です|りゅうは しんわに でてくる きいきものです|Dragons are mythical creatures that appear in stories
彼女は薄く白粉をしています|かのじょは うすく おしろいをしています|She is wearing a small amount of white face powder
白状|はくじょう|confession
修道院|しゅうどういん|monastery; convent; cloister; abbey
彼女は生クリームをスプーンで掬った|かのじょは なまくりーむをで すくった|She scooped the whipped cream with a spoon
根を張る|ねを はる|to spread one's roots (of a tree, etc.); to take root (of an ideology, etc.)
染み出す|しみ だす|To ooze (out) / To seep
澄む|すむ|Clear / Become clear (for example, opposite of misty)
太っているのが私の切実な問題です。|ふとっているのが わたしの せつじつな もんだいです|Being fat is a serious problem for me
消音機|しょうおん き|A silencer (for a gun!)
実行時コンパイラ|じっこうじ|just-in-time compiler, JIT compiler
奇術|きじゅつ|Magic / Trick (like a card trick)
教育制度|きょういくせいど|Educational / School system
雨期|うき|Rainy season
その子は粗末な服を着ていました|その こは そまつな ふくを きていました|The child was wearing tattered clothes
視覚|しかく|Sense of sight / Vision
観測|かんそく|Observation (iknow)
容赦|ようしゃ|Another word for 許す, forgiveness / pardon
屈指（の）|くっしの|Leading / Outstanding / Distinguished
聖者|せいじゃ|A Saint
買収|ばいしゅう|Buying up / Bribing
つくづく|つくづく|Truly / Deeply (iknow, almost doubler)
足が棒になる|あしが ぼうになる|to get stiff legs (after walking or standing up for a long time)
歯垢がずいぶん付いていると思いますが。|しこうがずいぶん ついていると おもいますが|I think I have a lot of plaque build up
不文律|ふぶんりつ|Unwritten rule
船は翻弄されていた|ふねは ほんろうされていた|The ship was at the mercy of the waves
