測量|そくりょう|measurement, surveying
ひょろける|ひょろける|to stagger; to stumble; to be unsteady on one's feet
手を振る|てを ふる|to wave one's hand
手順|てじゅん|procedure / process
ここに千円の印紙を貼ってください|ここに せん えんの いんしを はってください|Please stick a thousand yen stamp here
質量中心|しつりょうちゅうしん|the center of mass
企画の発端|きかくの ほったん|The origin of the project
シーク教|しーくきょう|Sikhism
弓矢|ゆみや|弓（ゆみ）と矢（や）
彼は一家のお頭だったの。|かれは いっかのお あたまだったの|He was the head of the family.
消去する|しょうきょする|To erase / elimate
多大（な）|ただいな|Great / At great cost
謙遜する|けんそんする|Be humble
彼は莫大な遺産を残した|かれは ばくだいな いさんを のこした|He left an extensive legacy
つじつまを合わせる|つじつまを あわせる|to make one's story to seem coherent; to adjust one's story to fit the situation
ゴリ押し|おし|pushing though, bulldozing, doing something by force, arm twisting
撤退|てったい|Another word for evacuate / withdraw / retract (running away...)
チャラ男|ちゃらお|(Male) Player - picking up girls
清聴|せいちょう|attention; kind attention; courteous attention (thanks for listening to my speec
一蹴|いっしゅう|Kick / Rejection
犇めき合う|ひしめき あう|to crowd together in a confined space, to gather and make a commotion
発展途上国|はってんとじょうこく|Developing country
大広間|おおひろま|banquet or reception hall
概算|がいさん|approximation, rough estimate, ballpark figure
彼は木の像を彫ったの。|かれは きの ぞうを ほったの|He carved a wooden image.
色気がある|いろけがある|Another term for &quot;sexy&quot;
ブリキ||Tin plate
一進一退|いっしんいったい|Advancing and retreating / Ebb and flow / seesawing / taking alternatively favou
吹き上げる|きふきあげる|To blow up (ie wind) / To blow upwards / to spout into the air
手痛い|ていたい|Severe / Hard
優等生|ゆうとうせい|Honour student
融資|ゆうし|Financing
富者|ふしゃ|Rich person / Millionaire / The wealthy
担う|になう|To burden / To bear / To shoulder / To carry on shoulder
我を忘れる|わがを わすれる|To forget oneself / To lose control of oneself
理屈|りくつ|Reason / Logic (not 論理)
基底ライブラリ|きてい|Base library (like, game engine?)
種々|しゅじゅ|Many types / Various
文才が無いから。。|ぶんさいが ないから|Because I have no literary talent...
含蓄|がんちく|Implication / Connotation / Depth of meaning
浅瀬|あさせ|Shallows / Sand bar &nbsp;/ Sand bar (where park the boat on ff7)
ダイエットをしてお腹が引っ込みました。|をしてお なかが っひっこみました|I dieted and my stomach flattened out.
助手席|じょしゅせき|Passenger seat / Assistant drivers seat
氷原|ひょうげん|Ice Field
彼はうわさを打ち消したわよ。|かれはうわさを ちうちけしたわよ|He denied the rumor.
射す|さす|Shine on (not&nbsp;&nbsp;輝く)
彼は世の中の偏見と戦ったんだ。|かれは のよのなかの へんけんと たたかったんだ|He fought against prejudice in the world.
自殺未遂|じさつみすい|Attempted suicide
総じて|そうじて|Another term for &quot;Generally&quot;
筋|すじ|Tendon / Nerve / String
ぼくのアパートは狭くても快適だよ。|ぼくのは せまくても かいてきだよ|Even thought my apartment is small, its cosy
彼女の話には脈絡がない|かのじょの はなしには みゃくらくがない|Her story makes no sense
峡谷|きょうこく|glen; ravine; gorge; canyon
粉末|ふんまつ|Powder
画数|かくすう|Stroke count
陳列|ちんれつ|Exhibit / Display / Show
支店|してん|Branch office
私たちはみな彼の死を惜しんだの。|わたしたちはみな かれの しを おしんだの|We all felt sorry about his death.
しまいに|しまいに|At the end / Finally
幼生|ようせい|larvae
左折禁止|させつきんし|No Left Turn
その池の水は濁っているね。|その いけの みずは にごっているね|The pond water is cloudy.
釘付け|くぎづけ|&nbsp;(1) nailing on; nailing down; nailing shut; being glued (to); being unable
気が向く|きが むく|to feel like; to feel inclined to do
毎日金魚に餌をやります。|まいにち きんぎょに えさをやります|I feed the goldfish everyday.
絶対音感|ぜったいおんかん|Perfect pitch
何なりと|なんなりと|whatever one likes ("whatever you like" from the book)
茎|くき|Stem
継ぎ目|ぎつぎめ|Joint / Joining point
よい映画は人の視野を広げる。|よい えいがは ひとの しやを ひろげる|Good movies broaden your horizons
旺盛な食欲|おうせいな しょくよく|a sharp appetite
覚悟|かくご|Readiness / Preparedness
牙|きば|Tusk / Fang
夕日|ゆうひ|Setting sun
私怨|しえん|personal grudge, personal enmity
死体遺棄|したいいき|Abandoning a corpse / Dumping a body
彼は常に公明正大だ|かれは つねに こうめいせいだいだ|He is always fair and upright [open and aboveboard] in his dealings
染みる|しみる|Soak into / Permeate
破落戸|ごろつき|Rogue / Thug / Hoodlum (Craig Bellamy!)
漁る|あさる|To look for / To fish for
最近は利己主義に走る人が増えるようだ|さいきんは りこしゅぎに はしる ひとが ふえるようだ|The number of self centered people is increasing these days
缶切り|かんきり|can opener
見つめる|みつめる|gaze (not 注視、眺める)
長老|ちょうろう|Eldest / Senior
契約の延長は、双方の同意によるものとする。|けいやくの えんちょうは そうほうの どういによるものとする|The extension of the contract must be agreed by both parties.
彼は機関銃を持って侵略者たちを寄せ付けなかった。|かれは きかんじゅうを もって しんりゃくしゃたちを せよせつけなかった|He kept the invaders at bay with a machine gun
このチームは素人の寄せ集めだ|このは しろうとの せよせあつめだ|This team is made up of amateurs
超音波|ちょうおんぱ|ultrasonic waves, ultrasound
ついに山頂に到達しました。|ついに さんちょうに とうたつしました|We finally reached the top of the mountain.
逆流|ぎゃくりゅう|Downstream / Current
それは不正だと見なされている|それは ふせいだと みなされている|That is considered being dishonest
著者|ちょしゃ|Author / writer
流入|りゅうにゅう|Influx
そのため、南朝の凋落と共に一族も没落した|そのため なんちょうの ちょうらくと ともに いちぞくも ぼつらくした|Therefore, when the Southern court fell so did the families
書館には各種の雑誌が揃っています。|しょ かんには かくしゅの ざっしが そろっています|There are various magazines in the library.
導出|どうしゅつ|Derivation (for types, ie the auto keyword)
難儀|なんぎ|Hardship / Suffering / Difficulty
功績|こうせき|Accomplishment / Achievement / Merit
谷底|たにそこ|Bottom of valley or ravine
廃校|はいこう|Closing of a school
拭く|ふく|To wipe / To dry
彼女に礼状を書きました|かのじょに れいじょうを かきました|I wrote a letter of thanks to her
発起人|ほっきにん|Originator / Proposer
オリンピックは閏年に開催されます|は うるうどしに かいさいされます|The Olympics take place every four years (every leap year?)
計測|けいそく|Measurement
たん瘤|たん こぶ|bump (e.g. on forehead), lump, protuberance, swelling
楽園|らくえん|Paradise / Heaven
くすぐる|くすぐる|To tickle
要点|ようてん|Main point (not 本題)
正午|しょうご|お昼の十二時
傭兵|ようへい|Mercenary (soldier)
父兄|ふけい|Parents / Legal guardians
有給|ゆうきゅう|Salaried / With pay
逃避|とうひ|Escape / evasion / flight
その事件の発端は何ですか|その じけんの ほったんは なにですか|How did the case start?
力説|りきせつ|emphasizing (a point, argument, etc.), stressing, insistence, arguing strongly (
悪循環|あくじゅんかん|Vicious Circle
梅雨時はじめじめする。|つゆどきはじめじめする|It is damp in the rainy season.
浴室|よくしつ|Bathroom
劇|げき|Drama / Play (iknow, single kanji)
