処刑する|しょけいする|To execute
姉の縁談がまとまりました|あねの えんだんがまとまりました|My older sister has gotten engaged
失踪者|しっそうしゃ|missing person; runaway
水分子|すいぶん こ|Water Molecule
小さな花々が川の土手一面に咲いた|ちいさな はなが かわの どて めんに さいた|Tiny blossoms have come out all over the river bank
聞き落とす|きき おとす|to fail to hear, to miss
大晦日|おおみそか|New years eve
傘下|さんか|Under the umbrella / under jurisidiction of / affiliated with
公的|こうてき|Public / Official
彼は今日はいやに馴れ馴れしい|かれは きょうはいやに れなれなれしい|He is uncomfortably over friendly today
摘み出す|つみ だす|1. to pick out (with the fingers); to pull out2. to throw out (e.g. of a bar); t
一貫性|いっかんせい|Unity / consistency
解熱|げねつ|Alleviation of fever
雲散霧消|うんさんむしょう|vanishing like mist
丁重（な）|ていちょうな|Polite / Civil / Chivalrous
化石|かせき|Fossil
中央線沿線に住む|ちゅうおうせん えんせんに すむ|People living along the Chuo line
放り出す|りほうりだす|To throw aside X
極限|きょくげん|Utmost limits
衰える|おとろえる|To decline / decay / weaken
画の間隔が等しくなるように書く|がの かんかくが ひとしくなるように かく|The beginning of all strokes should be arranged at almost equal intervals
類義語|るいぎご|Synonym
傷跡|きずあと|Scar
あの店で野菜の安売りをしていましたよ。|あの みせで やさいの やすうりをしていましたよ|Vegetables were on special at that store.
代入する|だいにゅうする|To substitute (think math problems)
仕事の合間に|しごとの あいまに|In spare moments from work (free time from work)
折角|せっかく|Kanji for&nbsp;せっかく
鼻腔|びこう|(びくう is used by medical professionals) the nasal cavity;
それは私たちの道徳的規範には受け入れられない。|それは わたしたちの どうとくてき きはんには けうけいれられない|It is not acceptable to our moral code
萎む|しぼむ|To wither / To fade away / To shrivel / To wilt (you can use this with a balloon
底|そこ|Bottom / Floor
大脳|だいのう|Cerebrum
依然|いぜん|still, as yet, as it has been
その都市には様々な人種が集まっているわ。|その としには さまざまな じんしゅが あつまっているわ|There are a lot of different ethnic groups in this city.
赤心をもって国家に尽くす|せきしんをもって こっかに つくす|to serve one's country with all one's heart
悪霊|あくりょう|evil spirit
富裕税|ふゆうぜい|Wealth tax
船体|せんたい|The hull / body of a ship
索具|さくぐ|rigging, gear, tackle
鏡像|きょう ぞう|reflection in a mirror; reflected image; mirror image
側面|そくめん|Side / Flank (iknow)
前もって|まえもって|In advance (not あらかじめ)
差出人|さしだしにん|Sender (of something)
一斉射撃|いっせいしゃげき|Volley firing / Broadside　（Firing together?)
差し控える|さし ひかえる|1. to be moderate in, to be temperate in, to not do too much of2. to refrain (fr
降格|こうかく|Demotion
心構え|こころがまえ|Preparedness / Readiness
遠心力|えんしんりょく|Centrifrugal force
達成|たっせい|attain, achieve　(収めるではない）
その土地は民間企業に売却されたんだ。|その とちは みんかんきぎょうに ばいきゃくされたんだ|The land was sold off to a private company.
矯正視力|きょうせいしりょく|Corrected eyesight
彼は株の仲買をしています|かれは かぶの なかがいをしています|He is a stockbroker
書き記す|きかきしるす|To write down / to record / to register
蜂起|ほうき|uprising; revolt
数秒の沈黙があった|すう びょうの ちんもくがあった|There were several seconds of silence
新聞は２党間の抗争を報じた。|しんぶんは とう かんの こうそうを ほうじた|The newspaper reported friction between the two parties
体積|たいせき|Capacity / Volume
あの小屋にはトカゲや虫がうようよしている|あの こやにはや むしがうようよしている|That hut is crawling with lizards and insects
結末|けつまつ|Ending / Conclusion
彼は話し方が明瞭ね。|かれは しはなしかたが めいりょうね|The way he talks is very clear.
広い平野が一面雪で真っ白でした。|ひろい へいやが めん ゆきで っまっしろでした|The vast plains were pure-white with the snow.
猛々しい|たけだけしい|Ferocious / Fierce
玉に瑕|にたまにきず|Flaw in the crystal / Fly in the ointment (one drawback?)
この報告書は字が汚いばかりか間違いがたくさんある|この ほうこくしょは じが きたないばかりか まちがいがたくさんある|Not only is the writing terrible in this report, but it contains too many mistak
産休|さんきゅう|Maternity leave
彼は買収されたらしいわ。|かれは ばいしゅうされたらしいわ|He was bribed, apparently.
今、野菜をゆでています。|いま やさいをゆでています|I'm boiling vegetables now.
分岐点|ぶんきてん|Junction / Crossroads / Division point / Parting of ways
彼は義理を大切にしています。|かれは ぎりを たいせつにしています|He values duty.
例外|れいがい|Exceptional / Abnormal
抜け出す|けぬけだす|To slip out / To sneak away / to break (out of a loop)
朝から悪寒がする|あさから おかんがする|I have been feeling chilly since this morning
不平不満|ふへいふまん|discontent and grumbling
当人は意外に平気なようね。|とうにんは いがいに へいきなようね|The person concerned seems to be unexpectedly cool.
枕は私の旅の必需品です|まくらは わたしの たびの ひつじゅひんです|A pillow is essential when I travel
行く手を遮る|くゆくてを さえぎる|to bar one's way―obstruct one's path
常連客|じょうれんきゃく|Regular customers / Regular patron
例外処理|れいがいしょり|exception handling
リュック||Rucksack
自由の女神|じゆうの めがみ|Statue of Liberty
執行|しっこう|Enforcement / Execution (of ones job)
移民|いみん|Immigrant / Emigrant
さぞ|さぞ|No doubt / must
どういうわけか、喉が渇いてならない。|どういうわけか のどが かわいてならない|For some reason I'm unbearably thirsty.
君が受かるのは、このランクの大学ぐらいのものだ。|きみが うかるのはこのの だいがくぐらいのものだ|You can only aim for the universities at this level
ともすると自分の苦労は誇張したくなる|ともすると じぶんの くろうは こちょうしたくなる|We are inclined to exaggerate our troubles
凍てつく|いてつく|to freeze
軽減|けいげん|Reduction / Relief
不透明|ふとうめい|Opaque
遣わす|つかわす|To send / To dispatch
おさらい|おさらい|To review, go over, 復習
甥|おい|Nephew
版権|はんけん|Copyright (not 著作権)
凍結する|とうけつする|To freeze / suspend (a program, salary, food)
警棒|けいぼう|Baton (to like hit people with!)
性交 ／ 性行為|せいこう せいこうい|Sexual intercourse
煮える|にえる|become boiled, become simmered
彼は家を担保にして借金した|かれは いえを たんぽにして しゃっきんした|He borrowed money using the house as security
疲れて肩が張っています。|つかれて かたが はっています|My shoulders are stiff with fatigue. (not 凝る)
負わせる|おわせる|To inflict injury on someone / To burden someone with something
賭場|とば|gambling den
積極的（な）|せっきょくてきな|Positive / Active / Aggressive
まじめどころではない、堅物です！|まじめどころではない かたぶつです|serious is not the word, she's totally uptight!
