のぞくなよ。|のぞくなよ|no peeking
「白痴」はロシア大学の作品です|はくちは だいがくの さくひんです|"Idiot" is a work of Russian literature
流し読み|しながしよみ|Skimming (a book etc)
交尾|こうび|Copulation (in animals)
内情|ないじょう|internal conditions / true state of affairs
私兵|しへい|private army
誤認|ごにん|Misrecognition / Mistaking x for y
喫煙の弊害について考えてみましょう|きつえんの へいがいについて かんがえてみましょう|Lets consider the evils of smoking
代案|だいあん|alternate plan
勇姿|ゆうし|Gallant Figure
ダニ||A tick / mite
むける|むける|Come off / Peel
自問自答|じもんじとう|Answering ones own question / Wondering to oneself / Soliloquizing
冷水|れいすい|Cold water
嫁|よめ|Bride / Daughter in law (dragonball, not 新婦)
腎臓|じんぞう|Kidneys
得票　／　投票|とくひょう とうひょう|Vote / Poll&nbsp;&nbsp;/ Ballot
声色を使う|こわいろを つかう|To impersonate / imitate someones voice
彼は事業に失敗してやけになっている|かれは じぎょうに しっぱいしてやけになっている|He failed in business and is suicidal
突っ張る|っつっぱる|Be delinquent / Become taut / defiant
取り締まり|りとりしまり|Regulation / Crackdown
基調講演|きちょうこうえん|Keynote speech
驚くべき|おどろくべき|Astonishing / Amazing / Suprising / Wonderful
設営|せつえい|setting up (a structure, building, camp, etc.); construction; preparation (e.g. 
反日|はんにち|Anti Japanese
高利貸し|こうりがし|loansharking
根源的|こんげんてき|primordial, fundamental, basic, primitive
意気込む|いきごむ|To be enthusiastic about
原石|げんせき|unpolished gemstone /&nbsp;(raw) ore
大食い|おおぐい|binge eating; gluttony; (n) (2) big eater
瞳|ひとみ|Pupil / Eye (hunter hunter)
日焼けした顔|ひやけした かお|Suntanned face
一箇所|いっかしょ|One place / The same place
海里|かいり|nautical mile
後書き|あとがき|Postscript / afterword
成り行きに任せる|りなりゆきに まかせる|To let a matter take care of itself / To leave to take its own course
早晩|そうばん|Sooner or later / Eventually
山の空気は澄んでいますね。|やまの くうきは すんでいますね|The mountain air is clear.
まさかのときに備えて貯蓄せよ。|まさかのときに そなえて ちょちくせよ|Keep something for a rainy day.
この神社は有名な将軍を祭っている|この じんじゃは ゆうめいな しょうぐんを まつっている|A famous general is enshrined at this Shinto shrine
ねじ回し|ねじ まわし|Screwdriver
棚|たな|Shelf or Shelves, but also can mean "ledge"!
先入観|せんにゅうかん|Preconceptions / Prejudice / Preconceived notion
海外出張中は会社との連絡は主としてEメールを使う|かいがいしゅっちょう ちゅうは かいしゃとの れんらくは しゅとして を つかう|I usually use email to contact the company when I am on a business trip
君は目の付け所がいい.|きみは めの けつけどころがいい|I admire your taste
独断で|どくだんで|On ones own authority
哀れ|あわれ|Pitiful / Poor / Pathetic
首脳会談|しゅのうかいだん|Leadership conference / summit meeting
掛け声|けかけごえ|yell used to time or encourage activity
跡形もなく|あとかたもなく|Without leaving any trace
豊満に曲線のある女性|ほうまんに きょくせんのある じょせい|a voluptuously curved woman
岩|いわ|Rock
人間は理性を持つ動物です。|にんげんは りせいを もつ どうぶつです|Human beings are rational animals.
祭器|さいき|equipment used in rituals
何世帯？|なに せたい|How many families? (in the apartment block, say. How many rooms)
人材派遣|じんざいはけん|Temporary staff agency
大学で人文科学を専攻しました。|だいがくで じんぶんかがくを せんこうしました|I majored in humanities when I was in college.
市内を循環バスが走っています|しないを じゅんかんばすが はしっています|A circular bus route runs around the city
降りる駅で料金を精算して下さい。|おりる えきで りょうきんを せいさんして ください|Please adjust the fare at the station where you get off.
安っぽい|やすっぽい|cheap-looking, tacky
捧げ物|げささげもの|Offering / Sacrifice
内なる|うちなる|inner (self, voice, man, etc.); internal (conflict, tension, competition, etc.);
見覚え|みおぼえ|recognition, remembrance
思い知る|いおもいしる|To realize / Become aware of
その作家は短篇小説の分野で新しい境地を開いた|その さっかは たんぺんしょうせつの ぶんやで あたらしい きょうちを ひらいた|The author has opened up new territory [broken new ground] in the field of short
場合によりけりである|ばあいによりけりである|That depends
情熱|じょうねつ|Passion
前向き|まえむき|Facing forward / positive
いかなる|いかなる|どんな / any / every / all
神が人類を創造したと信じる人もいる|かみが じんるいを そうぞうしたと しんじる ひともいる|There are some who believe that god created the human race too
その本の表紙は色が褪せています|その ほんの ひょうしは いろが あせています|The colors on the cover of this book have faded
漬かる|つかる|To be immersed
広大（な）|こうだいな|Vast / Extensive / Immense
変電設備|へんでん せつび|transforming equipment, transformer
筆圧|ひつあつ|strength of a brushstroke
はかり|はかり|scales
大なり小なり|だいなり しょうなり|More or less / To a greater or lesser extent
かけ離れる|かけ はなれる|To be very far apart from / to be very different to
家名|かめい|1. family name; house name2. family honour; family honor
寝汗|ねあせ|perspiration given off during sleep, sweating while sleeping, night sweats
のどがいがらっぽい感じです。|のどがいがらっぽい かんじです|My throat feels dry and raw and scratchy
小腸|しょうちょう|Small Intestine
塊|かたまり|Lump / Ingot
性感染症|せいかんせんしょう|STD
局所的|きょくしょてき|Local
規格|きかく|standard; norm
剥ぎ取る|はぎ とる|To tear off / To rip off
風防ガラス|ふうぼうがらす|windshield; windscreen
言い切る|いいいきる|Say definitely / Affirm / Profess
匍匐|ほふく|Creeping / Crawling / Sneaking
欠場|けつじょう|to default / to not take part
予測|よそく|Prediction / Forecast
米軍基地|べいぐんきち|US military bases
厳しい|きびしい|Strict / Severe
消極的な人は成功しないよ。|しょうきょくてきな ひとは せいこうしないよ|A passive person doesn't succeed.
白鳥|しらとり|Swan
先頭|せんとう|Head / Lead / Front
広告|こうこく|Advertisement
務める|つとめる|Serve / Act
この村の人たちは長生きです。|この むらの ひとたちは ながいきです|People in this village live a long life.
孤児院|こじいん|Orphanage
射的屋|しゃてき や|shooting gallery
感染性の|かんせんせいの|Infectious / Contagious
水銀|すいぎん|Mercury
着潰す|き つぶす|to wear out (clothing)
危機一髪|ききいっぱつ|By a hairs breath / in the nick of time / touch and go / close call
救援隊は子供をしらみつぶしに捜した。|きゅうえんたいは こどもをしらみつぶしに さがした|The rescue worker beat the area, looking for the child
邦訳|ほうやく|Translation into Japanese
腫瘍が悪性である恐れがある。|しゅようが あくしょうである おそれがある|The tumor may be malignant.
甚だ不本意ながらこの処置を取らざるを得ません.|はなはだ ふほんいながらこの しょちを とらざるを えません|We have been obliged to take this step (though it is) very much against our will
謙譲語|けんじょうご|Humble language (eg itadaku)
彼は腕力が強い|かれは わんりょくが つよい|He has a lot of physical strength
合縁奇縁|あいえんきえん|&nbsp;a couple strangely but happily united; uncanny relationship formed by a qu
受験資格|じゅけんしかく|Qualifications of candidacy for an examination
共和党|きょうわとう|A Republican
左遷|させん|Demotion / Relegation
孫|まご|Grandchild
特徴|とくちょう|Characteristic / Feature
熱中症|ねっちゅうしょう|Heatstroke
石頭|いしあたま|Obstinate / Stubborn
