寒中|かんちゅう|Mid winter
避難所|ひなんじょ|Asylum / Haven / Sanctuary
名誉|めいよ|Honor / Credit / Prestige
その問題に関する君の情報は時代遅れだね|その もんだいに かんする きみの じょうほうは じだいおくれだね|Your information on that subject is out of date
甚大|じんだい|Very great / Enormous / Serious
採用試験は、毎年10月に行うものとする。|さいようしけんは まいとし  つきに おこなうものとする|We administer the employment examination every October.
着古す|き こす|To wear clothes for a long time / to wear out clothing
この先祖伝来の家宝は君の物だ。|この せんぞでんらいの かほうは きみの ものだ|This heirloom shall be yours
彼は伝統舞踏を見るのが好きだ|かれは でんとう ぶとうを みるのが すきだ|He likes to watch the traditional dance
暗がり|くらがり|darkness
起こる べくして 起こった事故だった|おこるべくして おこった じこだった|It was an accident waiting to happen
～と相まって　Grammar|と あいまって|Together with / と一緒になって
規則を施行する|きそくを しこうする|To enforce the rules
田舎の祖父は鶏の飼育をしている|いなかの そふは にわとりの しいくをしている|My uncle in the country breeds chickens
所帯を持つ|しょたいを もつ|to keep a house; to run a household
クソッタレ||Shithead / Bastard
行政機関には非常に厳格な階級制度がある。|ぎょうせい きかんには ひじょうに げんかくな かいきゅうせいどがある|There's a very rigid hierarchy in the Civil Service
一般社会の枠外にいる人|いっぱんしゃかいの わくがいにいる ひと|a person who is rejected by society
貨幣創出|かへい そうしゅつ|money creation
薄情|はくじょう|unfeeling; heartless; cold-hearted; cruel
メロメロ||Madly in love
発破|はっぱ|Explosive blast / Blasting (players at half time, apparently)
後ろ向き|ろうしろむき|Facing backward
床にペンキをこぼしてしまいました。|ゆかにをこぼしてしまいました|I spilt paint on the floor.
その通りはアスファルトで舗装されている。|その とおりはで ほそうされている|The street is paved with asphalt
彼は盗みの疑いをかけられたの。|かれは ぬすみの うたがいをかけられたの|He was suspected of the theft.
臨終|りんじゅう|Deathbed / Ones last moment
吸い上げる|いすいあげる|To pump off or out / to suck up or out / to siphon off (including wealth)
棘|とげ|Thorn / Splinter / Biting words
電話回線|でんわかいせん|Telephone line
流行歌|りゅうこうか|Popular song
逆撫で|さかなで|rubbing the wrong way (e.g. a cat); irritating
たくさん歩いてくたびれました。|たくさん あるいてくたびれました|I was worn out from walking so much.
あら探し|あら さがし|Finding fault / Being picky
我が国はオリンピックを境に、急速に発展した。|がわがくにはを さかいに きゅうそくに はってんした|Our country rapidly developed after the Olympics (オリンピックの後から)
堕落した女|だらくした おんな|a ruined girl
配球|はいきゅう|Combination of pitches
盗掘|とうくつ|Illegal Digging
並々ならぬ|なみなみならぬ|extraordinary; uncommon
辺|へん|"edge" as in when 3d modeling (select this edge etc)
所要時間|しょようじかん|The required time
削り取る|りけずりとる|To shave off / to scrape off
まともに日を受ける|まともに ひを うける|to have the sun in one's eyes
思いやり|おもいやり|Thoughtfulness / Kindness
旗色が悪いからこの辺でやめよう。|はたいろが わるいからこの へんでやめよう|The odds are against me, so I think I'll quit now.
下の下|したの した|(exp) the lowest (of its kind); the poorest
代行する|だいこうする|To act for X / to fill in / supply
彼は薬を一気に飲み込んだ。|かれは くすりを いっきに みのみこんだ|He swallowed all of the medicine in one go.
