蟻|あり|ant
会議は明々後日に延期された。|かいぎは しあさってに えんきされた|The meeting was postponed to three days from today.
使いこなす|つかいこなす|To handle (men) / To master (a tool) / to acquire a command of (a language)
滞空|たいくう|staying in the air, remaining airborne
惑星|わくせい|Planet
眠りに突く|ねむりに つく|To fall asleep
軽量級|けいりょうきゅう|Lightweight class
花嫁|はなよめ|Bride (not 新婦)
なんて洒落込んでる場合じゃねえッ|なんて しゃれ こんでる ばあいじゃねえ っ|This is not the time to be dressing up!
経理課|けいりか|Accounting section
呪縛|じゅばく|spell (that restricts one's movements), binding spell
歓迎会|かんげいかい|Welcome Party
皮切りに|かわきりに|Beginning of / Starting with (grammar)
相容れない|あいいれない|In conflict / out of harmony / running counter / clashing with
主従関係|しゅじゅうかんけい|the relation of master to servant
娘はよく私のまねをします。|むすめはよく わたしのまねをします|My daughter often copies me.
木っ端微塵|っこっぱみじん|Smithereens / Smashed to atoms / Broken into small fragments
法廷は彼に有罪の判決を下した。|ほうていは かれに ゆうざいの はんけつを くだした|The court judged him guilty
楽器|がっき|Musical Instrument
プログラムの過程に問題があるの。|の かていに もんだいがあるの|There is a problem in the programming process.
彼は柔軟に対応をした。|かれは じゅうなんに たいおうをした|He gave a flexible response.
機械警備|きかいけいび|Electronic security
トルコ||Turkey (country)
黙祷|もくとう|silent prayer
ぱしり|ぱしり|Person who is made to do things or go get things for someone else, Gofer
文字化け|もじばけ|Corruption (of text) / Garbled text
生意気(な)|なまいきな|Cheeky / Insolent / Saucy
私の田舎はのどかな所です。|わたしの いなかはのどかな ところです|My home town is a peaceful place.
われわれの手紙は行き違いになったらしい。|われわれの てがみは いき ちがいになったらしい|Our letters probably crossed in the mail
顔写真|かおしゃしん|Face photograph
男の人がこちらをちらちらと見ている|のおとこのひとがこちらをちらちらと みている|The man keeps glancing over here
揺るぎない|ゆるぎない|solid; firm; steady; unshakeable; unwavering
見届ける|みとどける|To see with ones own eyes / to make sure of
本人にじかに聞いてください|ほんにんにじかに きいてください|Please ask the person concerned directly
荒涼|こうりょう|desolate / dreary / bleak
乗り越しを機械で精算したの。|りのりこしを きかいで せいさんしたの|I paid the excess fare at the machine.
侵入する|しんにゅうする|To Penetrate / Invade (computer system!)
対象外|たいしょうがい|Not covered (by) / Not subject (to)
名無し|ななし|Nameless
私は喧嘩を傍観していた|わたしは けんかを ぼうかんしていた|I was watching the fight
重大（な）|じゅうだいな|Important / Serious
海軍|かいぐん|The Navy
彼は丘を登ってぐったりした|かれは おかを のぼってぐったりした|the drag up the hill exhausted him
外付け|そとづけ|External / Attached outside (keyboard on laptop for example）
邪道|じゃどう|Evil course
併用|へいよう|Using together (jointly) / Used at the same time
太字|ふとじ|Bold (characters, not italic etc)
あの国は経済的に繁栄しているわね。|あの くには けいざいてきに はんえいしているわね|That country is prospering economically.
片道|かたみち|One way / Direct (opposite of a round trip)
最先端|さいせんたん|Cutting edge / forefront
私の妹は染色を習っている|わたしの いもうとは せんしょくを ならっている|My younger sister is learning to dye
障る|さわる|To hinder / To interfere with
崖っぷち|がけっぷち|(1) cliff edge; edge of a precipice; (2) perilous position; critical moment; bri
更なる|さらなる|Even more / Still more / further
醸す|かもす|To give rise to / To brew (public discussion on an issue, give rise to a contrav
人生は航海のごとし。|じんせいは こうかいのごとし|Life is like a voyage &nbsp;
警備兵|けいびへい|Guard / Soldier / Those on FF7 =)
毛玉|もう たま|pilling; lint; furball; hairball
爪ヤスリ|つめ|nail file
下流|かりゅう|Downstream
心掛ける|こころがける|Bear in mind / try
否めない|いなめない|cannot deny, undeniable, incontrovertible
投じる|とうじる|Throw / Pitch / another word for it!
当番|とうばん|Being on duty / person on duty
神秘的|しんぴてき|Mysterious
抗力|こうりょく|Drag (plane)&nbsp;/ Resistance
着脱可能|ちゃくだつかのう|removable, detachable, demountable
店までの道中も彼女と話したけど…|みせまでの どうちゅうも かのじょと はなしたけど|although we spoke on the way to the shop
彼の障害は後天的なものです|かれの しょうがいは こうてんてきなものです|His disability was acquired
反吐|へど|Spew / Vomiting
活性|かっせい|active
韓国料理は、香辛料のきいた味でよく知られている。|かんこく りょうりは こうしんりょうのきいた あじでよく しられている|Korean food is noted for its spicy flavor.
ご感想をお聞かせ下さい。|ご かんそうをお きかせ ください|Please tell me your ideas.
国旗|こっき|National Flag
小鹿|こじか|Fawn / Baby deer
へばりつく|へばりつく|To cling to
邸宅|ていたく|Mansion / Residence
笑止な|しょうしな|Laughable / Ridiculous / Absurd
日本の女性は参政権が認められています|にっぽんの じょせいは さんせいけんが みとめられています|Women in Japan are entitled to vote
至上命令|しじょうめいれい|unconditional command, must-obey order
ニューヨークは、面白い代わりお金がかかる|は おもしろい かわりお かねがかかる|New York is interesting but expensive
腕組み|うでぐみ|Folding ones arms
国家|こっか|State / Country
座談会|ざだんかい|Round table talk (discussion)
大臣の資産が公表されたね。|だいじんの しさんが こうひょうされたね|The minister's assets were made public.
～そばから　Grammar|そばから|Used a lot for bad things -- after X immmediately Y happens (repeatedly)
角張る|かくばる|&nbsp;(1) to be square; to be angular; to be jagged; (2) to be formal; to be sti
自体|じたい|Itself
調査課|ちょうさか|Investigation department
転ぶ|ころぶ|To fall / slip
あの会社との契約が成立しました。|あの かいしゃとの けいやくが せいりつしました|We concluded a contract with that company.
死刑に至っても、俺の魂自体は永遠に生き続ける。|しけいに いたっても おれの たましい じたいは えいえんに いき つづける|Even if faced with the death penalty, my soul will live on forever
無駄死に|むだじに|dying in vain
前文|ぜんぶん|Preamble
利子|りし|Interest (not 利息)
前夜|ぜんや|Eve / Previous night
彼は父親の店を継いだの。|かれは ちちおやの みせを ついだの|He took over his father's shop.
なれなれしい|なれなれしい|Overly friendly
加算|かさん|Addition / Adding
陰気な|いんきな|Gloomy (personality)
いくばく|いくばく|How many / how much
黙する|もくする|to stop talking, to be silent
陣営|じんえい|Camp / Faction / Military camp
交通網|こうつうもう|Traffic network
赤毛|あかげ|Red headed
今度の狂言は上出来だ|こんどの きょうげんは じょうできだ|The new play is a success
滑り込みセーフ|すべり こみ|1. sliding safely2. just making it, being just on time
ここはなだらかな地形です。|ここはなだらかな ちけいです|The landscape here features gentle slopes.
誘爆|ゆうばく|Induced explosion
鏡|かがみ|Mirror
当日券|とうじつけん|Same day ticket
百貨店を畳む|ひゃっかてんを たたむ|To close (a shop, business) - in this case a department store
何かというとあいつはいつも口を出そうとする。|なにかというとあいつはいつも くちを だそうとする|Whatever happens, that guy always tries to interject himself.
しばく|しばく|Another verb for &quot;to punch / to hit&quot;
彼女は塀の上を逆立ちして歩いた。|かのじょは へいの うえを さかだちして あるいた|She walked on her hands along the top of the wall
相殺|そうさい|Offsetting each other / Counterbalancing / Plus and minus equal zero
迎え入れる|えむかえいれる|To show in / To usher in (people into Apple)
指向性|しこうせい|Directionality / Directivity
首相は国民の批判をよそにイラク戦争支持を楓ｾした。|しゅしょうは こくみんの ひはんをよそに いらくせんそう しじを かえでした|Ignoring the people's criticism, the prime minister declared his support for the
検知|けんち|Detection
