密輸|みつゆ|Smuggling
深淵|しんえん|Abyss / Golf
掘削機|くっさくき|An excavator / A digger! (the big yellow machine thing for digging holes)
相手チームの陽動作戦に見事してやられてしまった|あいての ようどうさくせんに みごとしてやられてしまった|We were completely taken in by the opposition's feint tactics
肩をすくめる|かたをすくめる|to shrug one's shoulders
全ての子供には、尊敬し模倣する人が必要だ。|すべての こどもには そんけいし もほうする ひとが ひつようだ|Every child needs someone to look up to and copy
ドキリ||Feeling shocked or startled
しわ|しわ|Wrinkle
新潟県|にいがたけん|Niigata-ken
素顔|すがお|Face with no makeup
水圧計|すいあつけい|water-pressure gauge
家庭環境|かていかんきょう|Ones home environment
鼻紙|はながみ|Tissue paper
運輸省|うんゆしょう|Ministry of Transport
爪をかむ癖は直した方がいい。|つめをかむ くせは なおした ほうがいい|You should stop the habit of biting your nails.
あの文法辞典は詳細にして明解な説明が施されている。|あの ぶんぽう じてんは しょうさいにして めいかいな せつめいが ほどこされている|That grammar dictionnary has clear, detailed explanations.
倒置|とうち|Inversion / To invert
雑念|ざつねん|idle thoughts; worldly thoughts
威嚇射撃|いかくしゃげき|Warning shot
いつもの辞書を手近においておきなさい。|いつもの じしょを てぢかにおいておきなさい|Always keep this dictionary handy
相対的|そうたいてき|Relative (ie related)
志望|しぼう|Wish / Desire
行程|こうてい|Distance / Journey
不在連絡表|ふざい れんらく ひょう|notice of delivery while you were out
道徳|どうとく|Morals / Ethics
通気|つうき|Ventilation / Airflow
私は同上の理由により会社を退職いたします|わたしは どうじょうの りゆうにより かいしゃを たいしょくいたします|For the same reason as above I retire from the company
爆死|ばくし|death from explosion; death from bombing
和菓子|わがし|Japanese confectionery
着床|ちゃくしょう|Implantation
天の|てんの|Heavenly / Celestial / Divine
市長は私に身分証明書を交付した。|しちょうは わたしに みぶんしょうめいしょを こうふした|The mayor provided me with an identity card
外国製を凌駕する品質の日本製品はたくさんある|がいこくせいを りょうがする ひんしつの にっぽん せいひんはたくさんある|There are plenty of Japanese goods which are better in quality than those made a
友人が慰めてくれました。|ゆうじんが なぐさめてくれました|My friend consoled me.
自殺協定|じさつきょうてい|suicide pact
発覚（する）|はっかくする|Be found out / Discovered
反映 する|はんえいする|Reflection / Influence / Mirror
有機の|ゆうきの|Organic ～
十字架|じゅうじか|Crucific / Cross
探知（する）|たんちする|To detect
語るに足る|かたるに たる|to be worth telling, to be worth confiding in
そこの角で車同士が衝突したのよ。|そこの かくで くるま どうしが しょうとつしたのよ|The cars collided into each other at the corner there.
あえて|あえて|Boldy
拒む|こばむ|The verb for &quot;to refuse&quot; (拒否)
正装|せいそう|Full dress / formal dress / cap and gown
さらば|さらば|Farewell
彼ほど不幸せな人はいないな。|かれほど ふしあわせな ひとはいないな|There's no one less happy than he.
送別|そうべつ|Farewell / Send off
孤高|ここう|Aloof
成敗|せいばい|Success and failure
仲間割れ|なかまわれ|Split among friends / falling out / internal discord
極たまに|ごくたまに|on rare occasions / Once in a blue moon
この状況にあって、利益を伸ばすのは困難だ。|この じょうきょうにあって りえきを のばすのは こんなんだ|It is difficult to make more profit under the present circumstances (この状況において)
歩合|ぶあい|Commission / Rate
出荷する|しゅっかする|Shipping / dispatch
四肢|しし|the (four) limbs, arms and legs
最も|もっとも|the most
私の給料は歩合です|わたしの きゅうりょうは ぶあいです|My salary is commission based
彼が仕事を休むのは稀です。|かれが しごとを やすむのは まれです|It's rare that he takes a day off from work.
はるか遠方に稲妻が走るのが見えた。|はるか えんぽうに いなづまが はしるのが みえた|I saw a flash of lightning far in the distance
見比べる|みくらべる|To compare with the eye
透かし|すかし|Watermark (in a stamp, banknote etc)
廃村|はいそん|Ghost town / Deserted village
密売|みつばい|Smuggling / Bootlegging / Illicit trade
弾道|だんどう|trajectory; line of fire; (adj-no,adj-f) (2) ballistic
壁面|へきめん|surface of a wall
軽食|けいしょく|Light meal / snack
就任|しゅうにん|Auguration / assumption of office
