一般社会|いっぱんしゃかい|General Public
付属|ふぞく|Affiliate
乗り越し|りのりこし|Riding past ones stop
行軍|こうぐん|march, marching
ジュースが床マットに染みた|が ゆかに しみた|The juice soaked into the floor mat
前期|ぜんき|Previous term / last semester
滑り降りる|りすべりおりる|To slide down (a hill), eg ski, toboggan / to slip down
可視|かし|Visibility
ここからの眺めは最高です。|ここからの ながめは さいこうです|The view from here is fantastic.
想定|そうてい|Assumption (that the reader knows some C++)
地熱エネルギー|じねつえねるぎ|Geothermal energy
やつは時間どおりに来たためしがないんだよ|やつは じかんどおりに きたためしがないんだよ|He has never been on time
根づく|ねづく|To take root / ingrain
スキーで急な斜面を滑るのは快感だ|で きゅうな しゃめんを すべるのは かいかんだ|Its fun skiing down a steep slope
一言|ひとこと|ひとつの言葉
菜食|さいしょく|Vegetarian Diet
相乗りしている人は他の乗客との会話を慎むべきだ。|あいのりしている ひとは たの じょうきゃくとの かいわを つつしむべきだ|People sharing a ride should refrain from conversation with other passengers
派出所にだれもいないな。|はしゅつじょにだれもいないな|There's no one in the police box.
けじめをつける|けじめをつける|To draw a line under something / end it finally (returning the saturn necklace!)
劇的に|げきてきに|Dramatically (~changed)
飲み潰れる|のみ つぶれる|to drink oneself drunk
すべてを弁護士に委任した|すべてを べんごしに いにんした|Everything was entrusted to the lawyer
丁寧な物腰で|ていねいな ものごしで|in a polite manner
記号|きごう|Sign / Mark / Symbol
口語|こうご|Spoken Language
匿名|とくめい|Anonymous / Nameless
感染|かんせん|Infection / Contagion
成立|せいりつ|Formation / coming into existence
衣類の整理をしたよ。|いるいの せいりをしたよ|I organized the clothes.
磨き上げる|みがき あげる|To polish up / To shine up
捕獲|ほかく|Capture / Seize (food or animals mostly?)
私たちは川原でバーベキューをしました|わたしたちは かわらでをしました|We had the barbecue on the dry river bed
無形|むけい|Immaterial / Intangible
設置|せっち|Establishment
停泊（する）|ていはくする|To anchor (ship, overnight)
鉄道|てつどう|Railroad
会議の席上で驚くべき発表がありました|かいぎの せきじょうで おどろくべき はっぴょうがありました|There was an astonishing announcement at the conference
公平|こうへい|Impartiality / Fairness
過食する|かしょくする|To overeat
多大な損害を与えたのだから、謝るだけではすまない。|ただいな そんがいを あたえたのだから あやまるだけではすまない|You have caused so much damage that you cant get off just by apologising.
空間|くうかん|Space (like, in a room)
疑い|うたがい|Doubt / Suspicion (noun)
織り込む|りおりこむ|To weave into / incorporate into (conversation too)
おしゃべり|おしゃべり|Chatter / idle talk
モミモミ||Massage sound?
遺書|いしょ|note left by dead person; suicide note; testamentary letter; will; testament
熱演|ねつえん|Enthusiastic Performance
問題を解決できないのが現状です。|もんだいを かいけつできないのが げんじょうです|The current situation is that we can't solve the problem
青森への単身赴任はきっと大変でしょう。|あおもりへの たんしんふにんはきっと たいへんでしょう|Moving to Aomori for a new assignment without your family must be tough.
娘を保育園に迎えに行きます。|むすめを ほいくえんに むかえに いきます|I'm going to pick up my daughter at day-care.
豆乳|とうにゅう|soy milk
誇る|ほこる|To be proud
睡眠時無呼吸症候群|すいみんじむこきゅうしょうこうぐん|sleep apnea syndrome, SAS
型|かた|Model / Mold / Shape
右折禁止|うせつきんし|No right turn
遺跡|いせき|Historical ruins (remains, relics)
彼はそのドラマを固唾を飲んで見つめた。|かれはそのを かたずを のんで みつめた|He watched the drama holding his breath
妖刀|ようとう|bewitched sword, magical sword, demon sword
若返る|わかがえる|To be rejuvenated / feel young again
一握り|ひとにぎり|Handful / Small handful
記銘段階での失敗|きめい だんかいでの しっぱい|Failure at the stage of memorization
台風に備えるのは重要だ|たいふうに そなえるのは じゅうようだ|Preparing for typhoons is important
忍び寄る|しのび よる|to creep, to steal up, to draw near unnoticed
塩分は控えめにしています|えんぶんは ひかえめにしています|I'm trying to reduce my salt intake
芸をする犬|げいをする いぬ|dog that knows (does) tricks
用法|ようほう|Directions / Rules of use
支持|しじ|Support / Maintenance
弁論大会で優勝したことがあります。|べんろんたいかいで ゆうしょうしたことがあります|I've won a speech contest before.
人々は立ち止まって上を見上げたの。|ひとびとは ちたちどまって うえを みあげたの|People stopped in their tracks and looked up.
特権|とっけん|Special right / privilege
画する|かくする|To mark (a line, an era etc)
交渉する|こうしょうする|To negotiate
背く|そむく|To disobey / violate
不器用|ぶきよう|Clumsy / Awkward / Inexpert
涼しくなって、ずいぶん秋めいてきましたね。|すずしくなってずいぶん あきめいてきましたね|Its getting cool and the weather has become very autumnal (秋らしくなって)
掘り返す|りほりかえす|To dig up (something)
完敗|かんぱい|Utter defeat / Annihilation
彼の病気は末期的症状にある|かれの びょうきは まっきてき しょうじょうにある|His sickness has terminal symptoms
暇さえあれば、幸せです|ひまさえあれば しあわせです|The only thing I need to be happy is free time
陣容|じんよう|Battle formation / Lineup (of a team etc) / team structure
応報|おうほう|Retribution
著作権の侵害に決まってるだろーが|ちょさくけんの しんがいに きまってるだろが|Guess this has gotta be copyright violation but ...
自分の考えを付け加えました。|じぶんの かんがえを けつけくわえました|I added my own idea.
粗挽き|あらびき|Coarsely ground (eg coffee, grain) / minced (meat) - the pepper in the steak you
私の家はとても古いが台風に持ち堪えた|わたしの いえはとても ふるいが たいふうに ちもちこたえた|My house is very old but it has withstood typhoons
大敗北を喫する|だい はいぼくを きっする|take [get] a terrible beating
これを順番通りに並べ替えて下さい。|これを じゅんばん どおりに べならべかえて ください|Please rearrange these in order.
連行する|れんこうする|To bring in / conduct away / lead away
申し出る|しもうしでる|Offer / Propose
始業|しぎょう|Starting time
金庫|きんこ|Safe / Strongbox
模索|もさく|Groping for / Exploring for a solution
紆余曲折を経て|うよきょくせつを へて|After many twists and turns / after much trouble
貢ぐ|みつぐ|To support / To finance
有様|ありさま|State / Condition / Circumstances / The way things are or should be
世界中の言語はいくつかの類型に分類される|せかいじゅうの げんごはいくつかの るいけいに ぶんるいされる|The languages of the world can be classified into a number of groups
彼は悪賢い男だな。|かれは わるがしこい おとこだな|He's a cunning fellow.
先輩の仕事ぶりを見ながら要領を覚えよう。|せんぱいの しごとぶりを みながら ようりょうを おぼえよう|You should learn the ropes by observing how your more experienced colleagues are
シアン化物|しあんかぶつ|Cyanide
靴のひもを解いたの。|くつのひもを といたの|I unlaced my shoes.
巨体|きょたい|Large build
今日は普段着で会社に行った|きょうは ふだんぎで かいしゃに いった|I went to work in my normal clothes today
平野|へいや|plain land
排除|はいじょ|Eliminate
前途有為|ぜんとゆうい|having a very promising future; offering promising prospects
探検家|たんけんか|Explorer
表す|あらわす|To express / display
学生時代を懐かしく振り返ったんだ。|がくせいじだいを なつかしく りふりかえったんだ|I looked back fondly on my school days.
住人|じゅうにん|そこに住んでいる人
当たり判定|たりあたりはんてい|Collision Detection (game)
改善　AGAIN|かいぜん|Kaizen is "Japanese business philosophy of continuous improvement"
昇給|しょうきゅう|Salary raise
厄介払い|やっかいばらい|driving off a troublesome person; getting rid of a nuisance
こんなに赤字が続くと、この会社は倒産のおそれがある|こんなに あかじが つづくとこの かいしゃは とうさんのおそれがある|If the deficit continues, there is a fear the company might go bankrupt
理想郷|りそうきょう|Utopia
愚かしい|おろかしい|Foolish / Stupid
世論|せろん|Public Opinion
野党が与党を厳しく非難していましたね。|やとうが よとうを きびしく ひなんしていましたね|The opposition party was severely criticizing the ruling party.
自動車は皆出払いました|じどうしゃは みな ではらいました|The motor-cars are all out
連帯感|れんたいかん|Sense of solidarity
