人気投票|にんきとうひょう|Popularity contest
彼はとうとう親にまで見放されてしまった|かれはとうとう おやにまで みはなされてしまった|In the end, he has been deserted even by his parents
無垢の処女|むくの しょじょ|an innocent [immaculate] virgin
喧嘩別れ|けんかわかれ|(a couple) fighting and splitting up
事故対策は、事故が起こることを前提に練られている。|じこ たいさくは じこが おこることを ぜんていに ねられている|Accident preventive measures are developed by anticipating possible accidents.
考案者|こうあんしゃ|inventor, designer, planner
政治が腐敗する|せいじが ふはいする|Politics rots / decays / corrupts
ラジオによると、北海で嵐が起こるとのことだ。|によると ほっかいで あらしが おこるとのことだ|According to the radio, a storm is imminent in the North
早期治療|そうきちりょう|Early treatment
あの国は目覚ましい発展を遂げたの。|あの くには めざましい はってんを とげたの|That country accomplished remarkable development.
彼女が結婚したなんて、ちっとも知らなかった。|かのじょが けっこんしたなんてちっとも しらなかった|I had no idea that she'd gotten married.
見直す|みなおす|reconsider, change one's opinion for the better
秘密基地|ひみつきち|secret base; hideout; hidden position
乗組員|のりくみいん|Crew
根こそぎ|ねこそぎ|(adv) root and branch; thoroughly; by the roots; completely; all
陰徳あれば陽報あり。|いんとくあれば ようほうあり|Secret gifts are openly rewarded.
削減|さくげん|Curtailment / Reduction
萌え|もえ|Moe
製作所|せいさくしょ|Factory / Plant
荒れる|あれる|To rage / Storm
負荷|ふか|Burden / Load (cpu time, electricity etc)
売り言葉に買い言葉|りうりことばに いかいことば|(exp) tit for tat (verbally)
傷|きず|Wound / Injury / Cut / Hurt
実験的|じっけんてき|Experimental
描く|えがく|Draw / Paint
一研究者|けんきゅう しゃ|One researcher
割に　＝　Concerning that/for|わりに|割に　＝　Concerning that/for
仮死|かし|Apparent death / Asphyxiation
髪留め|かみどめ|hair clip, hair slide, hair band
桜の花びらがひらりと舞い落ちたな。|さくらの はなびらがひらりと まい おちたな|The cherry blossom petals softly fluttered down.
薔薇色|ばらいろ|Rose colour
彼は金輪際君を助けてくれないだろう|かれは こんりんざい きみを たすけてくれないだろう|You can make book on it that he won't help you
人差し指|しひとさしゆび|Index Finger
奉仕活動|ほうしかつどう|Voluntary activity / Voluntary service
高山病|こうざんびょう|altitude sickness, mountain sickness
知ったかぶり|しったかぶり|Pretending to know
私たちは想像力を使うように奨励されています。|わたしたちは そうぞうりょくを つかうように しょうれいされています|We are encouraged to use our imagination
畳む|たたむ|To fold (clothes)&nbsp;
男が女を翻弄する|おとこが おんなを ほんろうする|A man trifles with a female heart
接吻する|せっぷんする|Another word for "Kiss"
航空学|こうくうがく|Aeronautics (learning to fly)
最近彼はゴルフの腕前を上げた|さいきん かれはの うでまえを あげた|Recently, he has improved his golfing skills
逆輸入|ぎゃくゆにゅう|Reimportation
博打で彼は失敗した。|ばくちで かれは しっぱいした|Gambling brought about his failure
偏見|へんけん|Prejudice / Biased view
借用書|しゃくようしょ|An IOU (cash)
敵対|てきたい|Hostility / Antagonism / Opposition
覆い尽くす|おおい つくす|to cover fully; to wrap around
輸入品に対しては、関税がかけられている|ゆにゅうひんに たいしては かんぜいがかけられている|There are taxes placed on imports ( に対して )
包み紙はたたんでください。|みつつみがみはたたんでください|Please fold the wrapping paper.
扇形|せんけい|fan shape
以上は　ー＞　からには　＝　同じ|いじょうはからには おなじ|以上は　ー＞　からには　＝　同じ
ピクルスの瓶詰めを買った|の びんづめを かった|I bought a jar of pickles
どさ回りをやる|どさ まわりをやる|to go on tour, to be on the road (e.g. theatre troupe) (theater)
彼は少し弱気になっています。|かれは すこし よわきになっています|He's getting a little timid.
その２色を互い違いに並べてみよう|その しょくを いたがいちがいに ならべてみよう|Lets arrange the two colors alternately
遅らす|おくらす|Another word for delay, put off (not&nbsp;&nbsp;延長、延ばす　とか)
特有|とくゆう|Characteristic / Special (not 特色、特別。。） (like, specific to people / place)
子供でも善悪は区別できる|こどもでも ぜんあくは くべつできる|Even children can distinguish good from evil
決勝|けっしょう|Final / Final game
有望(な)|ゆうぼうな|Promising / Hopeful / Favourable
彼に近寄らないで。|かれに ちかよらないで|Don't go near him!
訪れる|おとずれる|To visit (if that time of crisis visits..)
今年はリンゴが不作でした|ことしはが ふさくでした|The apple harvest was poor this year
ばたばた（と）|ばたばたと|One after the other / very busy (tomorrow is very busy, one thing after another 
白魔法|しろまほう|White magic
～始末だ　Grammar|しまつだ|最後によくない状況や結果になったことを表す&nbsp;
ねじ曲げる|ねじ まげる|to twist, to distort
重職|じゅうしょく|Responsible Position
猛反発|もうはんぱつ|Fierce Opposition
送別会|そうべつかい|Farewall party
自前で買ったのです|じまえで かったのです|She got it at her own expense
大至急|だいしきゅう|As soon as possible / ASAP
開拓|かいたく|Cultivation / Reclamation (of wasteland) / Pioneering
圧力鍋|あつりょくなべ|Pressure cooker
従僕|じゅうぼく|attendant male servant
先生の指導のもとに試験に受かる事が出来ました。|せんせいの しどうのもとに しけんに うかる ことが できました|Under teachers instruction, was able to pass the test
交ぜる|まぜる|mix (things distinguishable)
年功|ねんこう|Seniority
彼女は華やかな女性ですね|かのじょは はなやかな じょせいですね|She's a gorgeous woman.
いつまでもずるずるとあいつと付き合ってると。。|いつまでもずるずるとあいつと きつきあってると|If you drag out your relationship with him...
窪み|くぼみ|Hollow / Dent (the space for the keystone to go into!)
みっしり鍛えれたのかな|みっしり きたえれたのかな|I wonder if he was fully trained?
回想|かいそう|Recollection / Flashback (memories)
エンジニアになる べく一生懸命勉強した|になるべく いっしょうけんめい べんきょうした|I studied hard in order to become an engineer.&nbsp;&nbsp;
溢れ検査|あふれ けんさ|overflow check
枠外|わくがい|Beyond (the) limits
気落ち|きおち|discouraged; dispirited; despondent
夕立|ゆうだち|Evening shower (rain)
これは会社間の取り決めです。|これは かいしゃ かんの りとりきめです|This is a decision between companies.
精液|せいえき|Semen
同様に|どうように|In the same way / Indentically / Similarly
古い都を訪ねたければ、京都に限ります|ふるい とを たずねたければ きょうとに かぎります|If you want to visit an old city, Kyoto is the best place
切断|せつだん|Cutting / Severance / Amputation / Disconnection
多才な人|たさいな ひと|A person of many talents / multi-talented / well-rounded
身の破滅を招致する|みの はめつを しょうちする|to draw ruin on oneself
地殻変動|ちかくへんどう|Change in earth's crust
彫金師|ちょうきんし|Engraver / Chaser
犯す|おかす|To commit (offense), offend, sin
場面|ばめん|scene, situation
猛毒|もうどく|Deadly poison
解毒剤|げどくざい|Antidote
日替わり|ひがわり|Changing on a daily basis
襟巻蜥蜴|えりまきとかげ|frill-necked lizard
虱潰しに|しらみつぶしに|Going over with a fine tooth comb
