先着順|せんちゃくじゅん|Order of arrival
上着を着古してぼろぼろにする。|うわぎを きふるしてぼろぼろにする|I wear my coat to rags.
援助交際　／　援交|えんじょこうさい えんこう|1) dating with compensation (payments, financial support, etc.); (2) (abbr) (See
特許|とっきょ|Patent / Special Permission / Concession
彼はちょっと外国人ような風采をしている。|かれはちょっと がいこくじんような ふうさいをしている|He has a slightly foreign appearance
尻尾|しっぽ|tail (animal)
法王|ほうおう|The pope
彼は両手を握り締めたの。|かれは りょうてを りにぎりしめたの|He clenched his fists.
教訓|きょうくん|Lesson / Moral Instruction
彼は不安げにいすの上でもじもじした。|かれは ふあんげにいすの うえでもじもじした|He shifted about uneasily in his chair
契約不履行|けいやくふりこう|nonfulfillment of a contract, contractual non-performance, breach of contract
水の中に放した|みずの なかに はなした|To set free into the water (Aeris...)
役割|やくわり|Role / Duties / Assigning of parts
利息|りそく|Interest (as in money)
誇り|ほこり|Another word for pride (from bleach)
舞い降りる|まい おりる|To swoop down upon
案の定|のあんのじょう|As feared / sure enough
美談|びだん|moving tale; impressive tale
軽蔑|けいべつ|Look down on / scorn / disdain
会議の要旨は次の通りです。|かいぎの ようしは つぎの とおりです|The summary of the conference is as follows.
ちっぽけ|ちっぽけ|Very small / Tiny
いろいろ聞いたら野暮ですよ|いろいろ きいたら やぼですよ|Its rude to ask so many questions
食べ過ぎて太るのは言うまでもないことだ。|べたべすぎて ふとるのは いうまでもないことだ|Of course you'll gain weight if you eat too much
首相の容体は不安定にして、予断を許さない。|しゅしょうの ようだいは ふあんていにして よだんを ゆるさない|The Prime Minister's condition is unstable and unpredictable
聞き覚える|きき おぼえる|To be familiar / To learn by ear / To pick up knowledge
叩きで埃を落としました|はたきで ほこりを おとしました|I removed the dust with a duster
ジッパー||Zip fasterner / Zipper
両眼に涙を湛える|りょう めに なみだを たたえる|One's eyes fill with tears―stream with tears
防護|ぼうご|Protection
破滅|はめつ|Destruction / Ruin
締切|しめきり|Deadline
公用車|こうようしゃ|Official Vehicle
旧式の|きゅうしきの|Old-fashioned / antiquated / obsolete
装填|そうてん|Charge / Load / Fill (of a gun)
抽象化|ちゅうしょうか|Abstraction
さまよえる|さまよえる|To wander (his spirit!)
駅までてくてく歩いていきました|えきまでてくてく あるいていきました|I plodded to the station
息子の部屋の汚いことといったら、ひどいものです。|むすこの へやの きたないことといったらひどいものです|(speaking of) how dirty my son's room is, it's dreadful.
笑い声|いわらいごえ|Laughter
くたくた|くたくた|Exhausted (4 doubler)
見た目|たみため|Appearance / Looks (those cakes again!)
弱み|よわみ|Weakness
彼は短気な人です。|かれは たんきな ひとです|He's a short-tempered person.
信託|しんたく|trust, entrusting
看病|かんびょう|Nursing (a patient)
校歌|こうか|School Song
ためらう|ためらう|To hesitate / waver / hold back
盗人|ぬすびと|Thief / Robber
無利子|むりし|(earning or paying) no interest
依存症|いぞんしょう|(alcohol, drug) Dependance / Morbid dependence (ie on alcohol)
顎髭|あごひげ|beard (esp. on the chin); goatee
出来上がる|できあがる|To be completed / be finished (iknow, not a 完成 type word)
傷口にばい菌が入った。|きずぐちにばい きんが はいった|Some bacteria got into the wound.
再描画|さいびょうが|Redraw (image on the sreen)
膨張剤|ぼうちょうざい|Leavening agent (such as yeast, baking powder, make it grow)
結婚を取るか仕事を取るか彼女の心は揺らいでいる|けっこんを とるか しごとを とるか かのじょの こころは ゆらいでいる|Her mind swings between choosing work or choosing marriage
樹皮|じゅひ|(tree) bark
