大分県|おおいた けん|Oita-ken
彼女はぱっと目を開いた。|かのじょはぱっと めを ひらいた|She suddenly opened her eyes.
既婚|きこん|Married
マイナスイメージ||Negative image
世界初の水爆実験は太平洋で行われた|せかいはつの すいばく じっけんは たいへいようで おこなわれた|The first H bomb test in the world took place in the Pacific Ocean
背番号|せばんごう|number on player's back
彼の話を聞いて不愉快になった。|かれの はなしを きいて ふゆかいになった|I got upset listening to his story.
盗み見る|ぬすみ みる|to steal a glance, to intercept and read (e.g. other people's email)
無知な|むちな|Ignorant / Simple
安息|あんそく|Rest / Repose
冠|かんむり|Crown / Coronet
叫ぶ|さけぶ|To Scream
騒音|そうおん|Noise (not 雑音)
一服|いっぷく|A dose / A puff (on a cigarette) / lull / short rest
増税|ぞうぜい|Tax Increase
授与する|じゅよする|To award / conferment (of getting pilot license?)
宅地開発指導要綱という,地方自治体が定める要綱|たくち かいはつ しどう ようこうという ちほうじちたいが さだめる ようこう|the general construction plan for developing residential land specified by the l
財宝|ざいほう|Another word for treasure, this one taken from trick
うつ病|うつ びょう|Depression
それは冷蔵で３日保ちます|それは れいぞうで にち たもちます|That will keep for three days refrigerated
金融機関|きんゆうきかん|Financial institutions
君が固執していると|きみが こしつしていると|if you persist
私の物理の知識は貧弱です。|わたしの ぶつりの ちしきは ひんじゃくです|I don't have much knowledge of physics
息の根を止める|いきの ねを とめる|to kill, to choke the life out of
危険を脱する|きけんを だっする|To escape from danger
糊で２枚の紙を貼り合わせた|のりで まいの かみを はり あわせた|I stuck two sheets of paper together with glue
彼は勤勉な人です。|かれは きんべんな ひとです|He is a diligent person.
米はアジアでは大切な作物だ。|べいはでは たいせつな さくもつだ|Rice is an important crop in Asia.
くるむ|くるむ|To wrap / roll
彼は、話術が巧みだ。|かれは わじゅつが たくみだ|He has a good art of talking
何をそんなに焦っているのですか。|なにをそんなに あせっているのですか|What are you in such a hurry for?
認可|にんか|Approval / Authorization
私は中学校時代は落ちこぼれでした|わたしは ちゅうがっこう じだいは おちこぼれでした|I was a hopeless student during my junior high school days
祖父は白髪が少ないほうです。|そふは はくはつが すくないほうです|My grandfather has relatively little gray hair.
迷信|めいしん|Superstition
温室|おんしつ|Greenhouse / Conservatory
船旅|ふなたび|Trip by boat
運河|うんが|Canal / Waterway
目的を果たす|もくてきを はたす|To achieve the purpose
証拠|しょうこ|Proof / Evidence
窓際|まどぎわ|By the window
吐き気|きはきけ|Nausea / Sickness in the stomach
勤務先|きんむさき|Place of employment
やさしい口調で|やさしい くちょうで|in a soft tone
鉛筆削り|えんぴつけずり|pencil sharpener
商才|しょうさい|business ability
延べ坪数|べのべつぼすう|total floor space
船員|せんいん|Sailor
収税|しゅうぜい|Tax collection
間の抜けた|まの ぬけた|idiotic, dolt, bonehead
毛皮|けがわ|Fur
囮|おとり|Bait / Lure / Decoy
高等|こうとう|Higher / High-grade
その雑誌の購読予約をして景品をもらった。|その ざっしの こうどく よやくをして けいひんをもらった|I got a premium for subscribing to the magazine
三角法|さんかくほう|trigonometry
信頼度|しんらいど|Credibility / Dependability (Trustability?)
城|しろ|Castle
恋人気分|こいびときぶん|The feeling between (new) lovers
いまさら焦っても焼け石に水じゃないの。|いまさら あせっても けやけいしに みずじゃないの|No matter how much you hurry your effort is just a drop in the bucket
この店は8時に閉店します。|この みせは  じに へいてんします|This shop closes at eight o'clock.
怠慢|たいまん|Negligence / Carelessness / Procrastination
植える|うえる|To plant / to grow
母性|ぼせい|Maternal / Motherhood
電卓|でんたく|Pocket calculator
生存|せいぞん|Existence / Survival
家賃|やちん|Rent
このキュウリはよく漬かっているね|このはよく つかっているね|This cucumber is well soaked
合作（する）|がっさくする|Collaborate
次第だ　＝　わけだ|しだいだわけだ|次第だ　＝　わけだ
その建物は修繕が必要だ|その たてものは しゅうぜんが ひつようだ|This building needs some repairs
貴殿の娘さんは麻薬漬けです。|きでんの むすめさんは あさ くすりづけです|Your daughter's on drugs
努めて|つとめて|With effort
見渡す限り|みわたす かぎり|as far as the eye can see
回避|かいひ|Evasion / Avoidance
あそこの3区画は売り出し中です。|あそこの  くかくは りうりだし ちゅうです|Those three sections are on sale.
密度|みつど|Density (ie population)
ちょっと顔を見せるだけで済むと思う。|ちょっと かおを みせるだけで すむと おもう|I think just showing up for a while will be enough.
慌ただしい|あわただしい|Busy / Hurried / Almost panicked (adjective)
彼は常に姿勢がいい。|かれは つねに しせいがいい|His posture is always good.
いい響きだな。。|いい ひびきだな|Has a nice ring to it (resonance, sound to it) - having a girlfriend
島国|しまぐに|Island Country
