語彙|ごい|Vocabulary
慣らす|ならす|To accustom
製造業|せいぞうぎょう|Manufacturing industry
半殺しになるまで|はんごろしになるまで|Within an inch of ones life
全員で技術の向上に努めています。|ぜんいんで ぎじゅつの こうじょうに つとめています|We all work together to improve our skills.
彼は参議院議員です。|かれは さんぎいんぎいんです|He is a member of the House of Councilors.
そのサッカー選手は動きが機敏だ|その さっかーせんしゅは うごきが きびんだ|That soccer player is very nimble
至聖所|しせいじょ|holy of holies; sanctum sanctorum;
要請|ようせい|Another word for request/demand/desire. Not 要求 or 依頼
麻薬|まやく|Narcotic drugs, dope
氷点下|ひょうてんか|below freezing
黒点|こくてん|Sunspot
主演|しゅえん|Leading part
彼は問題をいともたやすく解いた|かれは もんだいをいともたやすく といた|He solved the problem with great ease
納得|なっとく|consent; assent; understanding; agreement; comprehension; grasp;
謝恩会|しゃおんかい|A Thank-you party given by graduates in honour of their teachers
奨励|しょうれい|Encouragement / Promotion
引き伸ばす|きひきのばす|stretch out, enlarge
旅券をどこかに置き忘れました。|りょけんをどこかに きおきわすれました|I left my passport somewhere
このベランダは見晴らしがいい。|このは みはらしがいい|The view from this veranda is good.
引き金を引く|きひきがねを ひく|To pull the trigger
測る|はかる|To measure length..
名を馳せる|なを はせる|to make a name for oneself
歯並びをきちんと直していただきたいのですが。|はならびをきちんと なおしていただきたいのですが|I would like to have my teeth straightened
これは思いがけない邂逅|これは おもいがけない かいこう|This is an accidental meeting―a chance encounter
売りつける|うりつける|To palm off / Force a sale
東京は、びっくりするほど人が多い|とうきょうはびっくりするほど ひとが おおい|Tokyo has an amazingly large number of people
桜の季節にもなるとこの公園は花見客でにぎわう。|さくらの きせつにもなるとこの こうえんは はなみ きゃくでにぎわう|In the cherry blossom season (lit., When it becomes the cherry blossom season), 
来季|らいき|Next season / Next semester
国際連合を略して国連といいます。|こくさい れんごうを りゃくして こくれんといいます|The UN is short for the United Nations.
必見|ひっけん|A must see / Worth seeing
呼び覚ます|びよびさます|To wake up
手品|てじな|Magic / Sleight of hand
同一|どういつ|Sameness / Identity
避難訓練|ひなんくんれん|Disaster drill
腹筋|ふっきん|Abs / Abdominal muscles
一酸化炭素|いっさんかたんそ|Carbon monoxide
班|はん|Squad / Group (single character, iknow)
弾が耳を掠った|たまが みみを かすった|The bullet grazed my ear
血相を変える|けっそうを かえる|To change facial expression or colour (due to anger, embarrassment, etc)
お客さんが続々とやって来ましたよ|お きゃくさんが ぞくぞくとやって きましたよ|The guests came one after another
種|たね|Pip / Seed / Stone
ヘリコプターが飛び立った。|が びとびたった|The helicopters took off together.
経路|けいろ|Route / Channel
彼は民法に詳しいです|かれは みんぽうに くわしいです|He is well informed about civil law
採点する|さいてんする|To mark / grade
賭す|とす|to stake; to risk; to bet; to wager
過去|かこ|The past
財政危機に直面している発展途上国もある。|ざいせいききに ちょくめんしている はってんとじょうこくもある|Some developing countries are faced with financial crises
不滅|ふめつ|Immortal / Eternal / Everlasting
思い切って彼に相談します。|いおもいきって かれに そうだんします|I'll take the plunge and ask him for advice.
私は中途採用で入社しました。|わたしは ちゅうとさいようで にゅうしゃしました|I entered the company as a mid-career worker.
自由の身|のじゆうのみ|Free man / Free woman / Freedom
彼は学力において全級を凌駕している|かれは がくりょくにおいて ぜんきゅうを りょうがしている|He is ahead of his class in scholarship
慣用句|かんようく|Idiom / Common phrase (yet another iknow word for it)
要職|ようしょく|Key Position (job)
誓いを立てる|ちかいを たてる|to make a vow; to take an oath
忘れないように書いておいてください|わすれないように かいておいてください|Please write it down so that you wont forget
秘書|ひしょ|Secretary
どんな人からでも手紙をもらうとうれしい|どんな ひとからでも てがみをもらうとうれしい|Its nice to receive a letter no matter who it is from
向上|こうじょう|Improvement (iknow)
寝込みを襲われる|ねこみを おそわれる|To be attacked in ones sleep
小型化|こがたか|Miniturization
怒鳴り声|りどなりごえ|Angry voice / ones voice when shouting in anger
不束者ですがよろしくお願いします|ふつつかものですがよろしくお ねがいします|I'm not much good at anything, but please be kind to me
気が合う|きが あう|Compatible / Go together / Get along with / Click
それに対して|それに たいして|In response to that...
プリンタのインクが詰まってしまいました。|のが つまってしまいました|The printer's ink got blocked up.
