国防|こくぼう|National defense
神社|じんじゃ|Shrine
彼はしっかりと責任を果たしました。|かれはしっかりと せきにんを はたしました|He fulfilled his responsibilities diligently.
美術|びじゅつ|Art
五感|ごかん|the five senses
紅茶|こうちゃ|Black Tea
豪邸に加えて、彼はベントレーを持っているのです。|ごうていに くわえて かれはを もっているのです|In addition to a mansion, he owns a Bentley
色鮮やか|いろあざやか|vivid; brightly colored; brilliant; radiant
君はどちらかと言うと楽観的というよりは悲観的だね。|きみはどちらかと いうと らっかんてきというよりは ひかんてきだね|You're more pessimistic than optimistic, aren't you?
後ろ向き　（考えたら？）|ろうしろむき かんがえたら|Negative / Backwards (in the opposite to 前向き sense)
破綻申請|はたん しんせい|Bankruptcy filing
倹約|けんやく|Thrift / Frugal / Economy
照り返す|りてりかえす|To reflect / throw back light
彼はあんたに真っ直ぐでも何ともない。|かれはあんたに っまっすぐでも なんともない|He isn't being honest with you at all.
院長|いんちょう|Director of a hospital
何となく|なんとなく|Vaguely
咳が少し治まりました。|せきが すこし おさまりました|My cough is a little better.
命令に背く|めいれいに そむく|To disobey an order
我々は外様だ|われわれは とざまだ|We are outsiders
誘拐する|ゆうかいする|To kidnap / abduct
愛は小出しにせよ。|あいは こだしにせよ|Love me little, love me long
発掘|はっくつ|1. excavation, exhumation2. discovery (e.g. new talent)
空き地|きあきち|Unoccupied ground / vacant lot
鮮魚|せんぎょ|Fresh fish
自由には、それに伴う責任がある|じゆうにはそれに ともなう せきにんがある|Freedom is accompanied by responsibility
ローン地獄で、ボーナスもらっても焼け石に水だよ。|じごくでもらっても けやけいしに みずだよ|My bonus doesn't come close to covering all the loan payments I have to make
針金切り|はりがね ぎり|Wire cutters
ここは立ち入り禁止です。|ここは ちりたちいりきんしです|This is a restricted area.
必然|ひつぜん|Inevitable
近くの神社に初詣でに行きました。|ちかくの じんじゃに はつもうでに いきました|We paid a new year's visit to the nearby Shinto shrine.
想定上の原因|そうてい じょうの げんいん|an assumed cause
にやにや|にやにや|grin to oneself
嫌がる|いやがる|Another word for dislike / hate
この店はサービスが行き届いています|この みせはが きいきとどいています|The service in this shop is good (very attentive)
織る|おる|To Weave
職務概要|しょくむ がいよう|Job description
仲人|なこうど|go-between, matchmaker
集団訴訟|しゅうだんそしょう|class-action lawsuit
お店に防犯カメラが設置されたわね。|お たなに ぼうはんかめらが せっちされたわね|A security camera was installed in the shop.
テレビも取材に来たほど有名なレストランです。|も しゅざいに きたほど ゆうめいなです|The restaurant is so famous that the TV news ran a story on it.
浮上する|ふじょうする|Surfacing / To rise to the surface
芝刈り機|りしばかりき|Lawnmower
失恋|しつれん|Broken heart
インタビューはこの録音テープに入っています。|はこの ろくおんてーぷに はいっています|The interview is recorded on this tape.
投獄|とうごく|Imprisonment
不道徳|ふどうとく|Immoral
彼女は強烈な個性の持ち主ですよ。|かのじょは きょうれつな こせいの ちもちぬしですよ|She has a very strong personality.
巨獣|きょじゅう|Large animal
目が充血した|めが じゅうけつした|Eyes were bloodshot
正常|せいじょう|Normality / Normalcy
先祖|せんぞ|Ancestor / Forefather
整形|せいけい|Plastic Surgery / Cosmetic surgery
第九交響曲|だい こうきょうきょく|9th symphony (beethoven!)
その作家は殺人事件を生々しく描写した。|その さっかは さつじんじけんを なまなましく びょうしゃした|The author described the murder case vividly
うわ、観光客だらけだ！|うわ かんこうきゃくだらけだ|Theres nothing but tourists!
流れる|ながれる|水などがひくい方へうつる
回廊|かいろう|Corridor / Gallery / Hallway
この指輪は光沢をうしなった。|この ゆびわは こうたくをうしなった|This ring lost its luster
密室|みっしつ|1. locked room2. secret room
薬品|やくひん|Medicine / Drug
ごみの分別|ごみの ふんべつ|Sorting of garbage
思い返す|いおもいかえす|To think back upon / To rethink / To change ones mind
彼女をおいてほかにその仕事ができる人はいない。|かのじょをおいてほかにその しごとができる ひとはいない|She is the only one who can do the job.
中心的役割|ちゅうしんてきやくわり|Central role (in the price fixing scandal, did Apple)
彼は名声に固執する|かれは めいせいに こしつする|He clings to his fame
組み立て|みくみたて|Assembly (to assemble)
多機能携帯電話|たきのうけいたいでんわ|Smartphone (ie IPhone)
腹立ち|はらだち|Anger
親になってこそ、親の苦労や気持ちが分かるものだ|おやになってこそ おやの くろうや きもちが わかるものだ|Only after you have your own child, can you understand how difficult it is to ra
誰が噂を広めたんだろう。|だれが うわさを ひろめたんだろう|Who spread the rumor?
嘘発見器|うそはっけんき|Lie detector
古人|こじん|Ancient People
彼女は彼の誘いを婉曲に断った|かのじょは かれの さそいを えんきょくに ことわった|She declined his invitation in an indirect (roundabout) way
発行市場|はっこうしじょう|Primary [new issue] market
褒めちぎる|ほめちぎる|To praise to the skies / to sing the praises of / to extol
ドット絵|え|pixel art, pixel graphics
床がつるつるすべります。|ゆかがつるつるすべります|The floor is shiny and slippery.
この道はでこぼこしていますね。|この みちはでこぼこしていますね|This road is bumpy.
日夜|にちや|Day and night / Always
虫除け|むしよけ|insecticide; insect repellent
肉弾戦|にくだんせん|warfare in which soldiers fling themselves at the enemy; hand-to hand combat
人脈|じんみゃく|Personal Connections
彼女は大変機嫌がいいね。|かのじょは たいへん きげんがいいね|She is in a very good mood.
漕ぎ手|ぎこぎて|Rower / Oarsman
湿る|しめる|To get moist
月初め|つきはじめ|the beginning of the month
欠点|けってん|Fault (within a product?)
模試|もし|mock examination; trial examination
3月に大学を卒業の見込みです。|つきに だいがくを そつぎょうの みこみです|I expect to graduate from university in March.
取り繕うように、笑ってみせる。|りとりつくろうように わらってみせる|She smiled to smooth things over
ほうれん草はビタミンが豊富です。|ほうれん そうはが ほうふです|Spinach is rich in vitamins.
将来何が起こるかなんて、誰にもわかりっこない。|しょうらい なにが おこるかなんて だれにもわかりっこない|What will happen in the future there is no way anyone could tell.
整数値|せいすうち|Integer value
有望株|ゆうぼうかぶ|Hopeful stock (share) -- in this case used to describe Isco
日本人は英語を学ばずとも暮らせる環境に居ます。|にっぽんじんは えいごを まなばずとも くらせる かんきょうに います|Japanese people are in an environment where they can live without having to lear
投資信託|とうししんたく|investment trust
心配は無用です。|しんぱいは むようです|There's no need to worry.
浄水器|じょうすいき|Water filter / Water purification system
難問|なんもん|Difficult Problem / Puzzle
憲法|けんぽう|Constitution
その会社はいろいろな国に投資を分散しているね。|その かいしゃはいろいろな くにに とうしを ぶんさんしているね|The company spreads their investment into a variety of countries.
感傷的になってもはじまらないわ|かんしょうてきになってもはじまらないわ|It’s no use being sentimental
短期〜|たんき|Short term ~
算出|さんしゅつ|Calculation / Computation
就職|しゅうしょく|To get a job
難民|なんみん|Refugees
物音|ものおと|ANOTHER word for sound, noise (not 騒音、雑音)
団結|だんけつ|Unity / Union / Combination
生息する|せいそくする|To inhabit / live
一難去ってまた一難|いちなん さってまた いちなん|one thing after another; out of the frying pan and into the fire
彼女ほど頭のいい人には会ったことがない|かのじょほど あたまのいい ひとには あったことがない|I've never met anyone smarter than her
文は武に勝る|ぶんは ぶに まさる|The pen is mightier than the sword
静止画|せいしが|Still image
解約|かいやく|Cancellation of a contract
開演する|かいえんする|Open / Curtain rises
本館|ほんかん|Main building
童貞|どうてい|Virgin
譲る|ゆずる|To hand over / transfer / yield
座布団|ざぶとん|Japanese Cushion
自分を過信する|じぶんを かしんする|To be too confident in oneself
