団結する|だんけつする|To unite
塗る|ぬる|To paint
静かな音楽で眠気を催したよ。|しずかな おんがくで ねむけを もよおしたよ|I felt sleepy due to the quiet music.
乗り込む|りのりこむ|Get in / Get on = get onto something
突撃隊|とつげき たい|Storm Troops
電話や電子メールを利用した詐欺は巧妙化する一方だ。|でんわや でんしめーるを りようした さぎは こうみょう かする いっぽうだ|Telephone and e-mail fraud is becoming cleverer and cleverer.
うちでは、朝食には必ず梅干しが出ます。|うちでは ちょうしょくには かならず うめぼしが でます|In my family, pickled plums are always served for breakfast.
銀河|ぎんが|Milky Way / Galaxy
格好つける|かっこうつける|To try to look good / To show off
単価７５円で|たんか えんで|At 75 yen per unit
奮戦|ふんせん|hard fighting
跋扈|ばっこ|rampancy; prevalence; domination
彼女には何か磁力のようなものがある。|かのじょには なにか じりょくのようなものがある|She has something of a magnetic force.
内容といい話し方といい、見事なスピーチでした。|ないようといい しはなしかたといい みごとなでした|It was a splendid speech in terms of content as well as delivery.
関東一円に雪が降った|かんとういちえんに ゆきが ふった|It snowed all over Kanto
彼は他の走者を大きく引き離した|かれは たの そうしゃを おおきく きひきはなした|He drew a long way ahead of the other runners
精機|せいき|precision machinery; precision machine; precision tool; precision tools
中止|ちゅうし|途中で止めること（Suspend / Stop)
車は雪道をのろのろと走ったの。|くるまは ゆきみちをのろのろと はしったの|The car drove very slowly on the snowy road.
さしあたって、ここで待つべきです|さしあたってここで まつべきです|We should wait here for the moment
薬の苦味が舌に残っています|くすりの にがみが したに のこっています|I can still taste the bitterness of the medicine on my tongue
このドレスは君にぴったり合っている。|このは きみにぴったり あっている|This dress fits you well.
明日から急に冷え込むそうです。|あしたから きゅうに えひえこむそうです|I hear it will suddenly get cold from tomorrow.
私の動きを真似てください。|わたしの うごきを まねてください|Please imitate my movements.
仕事の虫|のしごとのむし|Worker bee
自省|じせい|self examination / reflection
義手|ぎしゅ|artificial arm (hand)
普通兄は優しい反面、卑しいところもある。|ふつう けいは やさしい はんめん いやしいところもある|My older brother is usually kind, but on the other hand he can be mean.
基礎知識|きそちしき|Basic Knowledge
百害あって一利なし|ひゃくがいあって いちりなし|all pain, no gain, doing no good and a lot of harm, having no redeeming features
当代|とうだい|The present age / These days
抗体|こうたい|Antibody
