山口県|やまぐちけん|Yamaguchi-ken
急務|きゅうむ|Urgent business
案|あん|Plan / Proposal
国土|こくど|Country / Territory
彼はあの歌手の熱烈なファンです|かれはあの かしゅの ねつれつなです|He is a keen fan of that singer
試す|ためす|To test / try out
愚か者|かおろかもの|Fool
彼の今月の業績は素晴らしいです。|かれの こんげつの ぎょうせきは すばらしいです|His performance this month was amazing.
夏といえば何を連想しますか。|なつといえば なにを れんそうしますか|What do you associate with summer?
尿にうみのようなものが出ます。|にょうにうみのようなものが でます|Something like pus comes out when I pass urine
真理|しんり|Another word for truth from iknow
きらりと|きらりと|Sparkle (not キラキラ)
久々|ひさびさ|In a long time / long while
体罰|たいばつ|Corporal Punishment / Physical Punishment
大事故に遭ったのに、打撲だけで済んだ。|だいじこに あったのに だぼくだけで すんだ|Despite being a big accident, i got away with only bruises
この恩知らずめ！もう一度言ってみろ|この おんしらずめもう いちど いってみろ|You ungrateful git! Just try and say that again!
来日|らいにち|visit to Japan
腰掛け|こしかけ|1. seat, bench2. temporary job while looking for a better job or until one marri
一般に|いっぱんに|Generally / In general
異性|いせい|Opposite sex
肌色|はだいろ|Flesh/Skin color
三原色|さんげんしょく|three primary colors (colours), trichromatic
警戒するに越したことはない。|けいかいするに こしたことはない|You can't be too vigilant
水漏れ|みずもれ|Water leak
呼び寄せる|びよびよせる|To send for / To call together / To call / to summon
仏像|ぶつぞう|Image of buddha
この町は災害に対して何らの備えもない。|この まちは さいがいに たいして なんらの そなえもない|This town has made no provision against disaster.
一切|いっさい|Not at all / not one bit
資源の枯渇|しげんの こかつ|a drain on resources
公職|こうしょく|Public service / Public office
安全運転を心掛けてください。|あんぜんうんてんを こころがけてください|Please remember to drive safely.
塾|じゅく|cram school; private tutoring school; juku
話がこじれる|はなしがこじれる|A matter gets complicated
人形|にんぎょう|人の形に作ったおもちゃ
洗面所|せんめんじょ|Washroom
子供が歩き始めたとき、子供の成長を実感した。|こどもが あるき はじめたとき こどもの せいちょうを じっかんした|I got a real sense of my kid's growth when he started walking.
農業|のうぎょう|Farming / Agricultural
コード補完|ほかん|Code completion
