自己啓発|じこけいはつ|self-development; self-enlightenment
お湯|お ゆ|Hot water
朗報|ろうほう|うれしいお知らせ
肌|はだ|Skin
彼は軍隊に入ったよ。|かれは ぐんたいに はいったよ|He entered the military.
敬礼|けいれい|Salute / Bow
その件は終わったと認識しています。|その けんは おわったと にんしきしています|My understanding is that the matter is over.
如何にも|いかにも|1. indeed, really, truly, just (like)2. very, extremely, totally, terribly3. abs
準備運動|じゅんびうんどう|Warming up exercises
私は彼の意見を受け入れました。|わたしは かれの いけんを けうけいれました|I accepted his opinion
資源はいつか枯渇するものである|しげんはいつか こかつするものである|Resources are something that will someday be exhausted
僕を殴りかねない剣幕だった|ぼくを なぐりかねない けんまくだった|He looked as if he was [were] going to hit me
自室|じしつ|自分の部屋
あなたにまで迷惑が及んでごめんなさい。|あなたにまで めいわくが およんでごめんなさい|I'm sorry that even you've been inconvenienced.
父兄の方々はこちらへどうぞ。|ふけいの かたがたはこちらへどうぞ|This way please, parents.
航空会社|こうくうがいしゃ|Airline company
成人指定映画は青少年の見るべからざるものだ。|せいじんしてい えいがは せいしょうねんの みるべからざるものだ|Movies for adults must not be watched by young people
住民の大多数は計画に賛成だった|じゅうみんの だいたすうは けいかくに さんせいだった|A large majority of residents agreed with the plan
休める|やすめる|To give a rest / set at ease
召喚|しょうかん|To summon ! (FFX)
不潔な|ふけつな|Dirty / Filthy / Impure
博士はその道の権威です。|はかせはその みちの けんいです|The doctor is an authority in that field.
偶数は2で割り切れます。|ぐうすうは で りわりきれます|Even numbers can be divided by 2.
私たちは日帰りで京都に行きました。|わたしたちは ひがえりで きょうとに いきました|We went to Kyoto on a day trip.
裏口|うらぐち|Backdoor / Rear Entrance
彼女もそのうち、親の気持ちが分かるだろう。|かのじょもそのうち おやの きもちが わかるだろう|Sooner or later, she'll come to understand her parents' feelings.
彼女に過大な要求をする|かのじょに かだいな ようきゅうをする|To ask too much of her
大発見|だいはっけん|Breakthrough / Great discovery
頑固|がんこ|Stubborn / Obstinate
配線|はいせん|Wiring
彼は話を和らげるために若干の冗談を必要とする。|かれは はなしを やわらげるために じゃっかんの じょうだんを ひつようとする|He needs a few jokes to lighten up his talk
彼はレントゲン技師です。|かれは れんとげんぎしです|He is a radiographer.
緑は草を連想させる。|みどりは くさを れんそうさせる|Green is associated with grass
車中では|しゃちゅうでは|In a train or vehicle (not 車内)
自主|じしゅ|Independence / Autonomy (iknow)
どこの職場にも、意地の悪い先輩が一人や二人いる。|どこの しょくばにも いじの わるい せんぱいが にんや にんいる|No matter where you work, you'll have to deal with one or two mean senior staff 
行き止まり|きゆきどまり|Dead end
上級者|じょうきゅうしゃ|Expert / Advanced person (opposite of 初心者！)
彼に言い訳の余地はありません。|かれに いいいわけの よちはありません|He doesn't have room for excuses.
大好物|だいこうぶつ|Ones favourite food
リレーで彼は2人追い抜いたね。|で かれは  にん いおいぬいたね|He overtook two people in the relay.
汗臭い|あせ くさい|Smelling of sweat
水面下|すいめんか|Underwater
挑戦|ちょうせん|A Challenge
生活様式|せいかつようしき|Lifestyle
反射的に|はんしゃてきに|Reflexively / By reflex
社風|しゃふう|Corporate culture / company climate or spirit / The way a company does things
新宿駅まで準急で行ったのよ。|しんじゅく えきまで じゅんきゅうで おこなったのよ|I went to Tokyo Station by the local express.
定休日|ていきゅうび|Regular holiday
彼は騙されたと思い込んでいるようです。|かれは だまされたと いおもいこんでいるようです|He's apparently convinced he's been cheated.
こつこつやれば受験に受かるだろう|こつこつやれば じゅけんに うかるだろう|Stick at it, and you'll pass the exam
原点|げんてん|Starting Point
児童|じどう|Child / Juvenile (iknow)
実費|じっぴ|Actual expense
群衆|ぐんしゅう|The masses / multitude
超能力|ちょうのうりょく|Supernatural Power
持ち物すべてに記名してください。|ちもちものすべてに きめいしてください|Please put their name on everything they take with them
陰鬱の顔付|いんうつの かお づけ|a glum face
空砲|くうほう|A blank (in a gun, cartridge)
机の上に書類が散らばっている。|つくえの うえに しょるいが ちらばっている|The documents were scattered on the desk.
言い直す|いいいなおす|To correct onself / To restate
お腹の脂肪を取りたい。|お なかの しぼうを とりたい|I want to get rid of the fat on my belly.
そのチームは白と橙色のユニホームだ|そのは しろと だいだいいろのだ|The teams uniform is white and orange
美徳|びとく|Virtue
論じる|ろんじる|To argue / discuss (verb)
私はオリンピックに備えて練習しています|わたしはに そなえて れんしゅうしています|I am training for the Olympics
濃厚接触者|のうこう せっしょく しゃ|people that are/were in close contact
がっかりする|がっかりする|To be disappointed
彼はサッカーの競技中に腕を骨折した。|かれはの きょうぎ ちゅうに うでを こっせつした|He got his arm broken while he was playing soccer
隠す|かくす|To Hide
女王陛下|じょおう へいか|Her Majesty the Queen
日本語を勉強している学生が皆日本へ行くとは限らない|にほんごを べんきょうしている がくせいが かい にっぽんへ いくとは かぎらない|Its not necessarily the case that students who are studying Japanese will all be
俺を洗い清めろ！俺を解放しろ！俺を自由にしろ！|おれを あらい きよめろ おれを かいほうしろ おれを じゆうにしろ|Cleanse me! Release me! Set me free!
デパートは10時に開店しますよ。|は  じに かいてんしますよ|The department store opens at ten o'clock.
直撃|ちょくげき|Direct hit (an attack!)
この金属は強度では鉄に匹敵する。|この きんぞくは きょうどでは てつに ひってきする|This metal is comparable to iron in strength
構うものか|かまうものか|who cares? I don't give a damn, what does it matter?
得意|とくい|Pride / To be good at
口座|こうざ|Account (eg&nbsp;&nbsp;Bank)
米国が凋落すれば、自由世界も凋落するだろう|べいこくが ちょうらくすれば じゆうせかいも ちょうらくするだろう|If America goes down, the free world will go down, too
餌|えさ|Bait / Feed
これは政府の承認を受けた資格です。|これは せいふの しょうにんを うけた しかくです|This is a qualification approved by the government
聞き出す|きききだす|To get information out of a person
飲み込む|みのみこむ|swallow, gulp down
巻き付ける|きまきつける|to wind around; to wrap around; to coil around
痩せっぽち|やせっぽち|skinny person; scrawny person; scarecrow; bag of bones
直販|ちょくはん|Direct selling / Direct sales
彼は上流階級の人だ。|かれは じょうりゅうかいきゅうの ひとだ|He belongs to the upper class
雨天につき、試合は延期いたします|うてんにつき しあいは えんきいたします|Due to the rainy day, game will be extended (think played at the game over the s
乗務|じょうむ|doing transport related work
体を丸める|からだを まるめる|To curl up (body)
推測する|すいそくする|To guess / speculate
白痴|はくち|Idiocy
お詫び|お わび|Apologize (not 誤る)
純度|じゅんど|Purity / Fineness
乗り越える|りのりこえる|To overcome / get over
異性の連れ込み|いせいの れつれこみ|Bringing someone home =D
圧勝|あっしょう|Emphatic / Overwhelming / Landslide victory
水牛|すいぎゅう|Water Buffalo
百戦錬磨|ひゃくせんれんま|veteran, battle-worn, schooled by adversity in many battles, hard-bitten, rich i
妹夫婦は新婚です。|いもうと ふうふは しんこんです|My younger sister and her husband are the newlyweds.
無表情|むひょうじょう|Expressionless
正しい決断だったのかと自問した|ただしい けつだんだったのかと じもんした|I wondered whether it was the correct decision
亘る|わたる|&nbsp;(usu. 渡る or 渉る) to cross over; to go across
ワクチンを打つ|を うつ|to vaccinate; to get vaccinated; to get a vaccination
ここで一休みしましょう。|ここで ひとやすみしましょう|Let's take a break here.
隙間 ／ 透き間|すきま きすきま|Opening / Gap / Clearance
米価|べいか|Price of rice
面白いことに〜|おもしろいことに|Interestingly..
険しい|けわしい|Steep / Sharp
経由|けいゆ|Via / Through
報じる|ほうじる|To report / To inform (newspaper)
不完全|ふかんぜん|imperfect, incomplete
独立|どくりつ|Independance
読みさす嫌いがある|よみさす きらいがある|I have a habit of leaving books half-read
畜生|ちくしょう|1. damn it, son of a bitch, for Christ's sake2. beast, animal3. person reborn in
多次元|たじげん|Multidimensional
倍率|ばいりつ|Magnification / Amplification ("multiply rate"?)
片方の目がかゆいです。|かたほうの めがかゆいです|One of my eyes is itchy.
出世|しゅっせ|Success / Promotion
