円安|えんやす|Depreciation of the yen
新しい仕事を引き受けたよ。|あたらしい しごとを きひきうけたよ|I accepted the new job.
断言する|だんげんする|To affirm / assert
風力|ふうりょく|Wind power
鉄は熱すると曲がるんだ。|てつは ねつすると まがるんだ|Iron bends if you heat it.
球団|きゅうだん|Baseball team
彼女は女王のごとく芸能界に君臨している。|かのじょは じょおうのごとく げいのうかいに くんりんしている|She dominates the showbusiness world as if she were a queen
国会議員|こっかいぎいん|Member of national diet / parliament / congress
見渡す|みわたす|To look out over
年のわりにはトムはよくやった。|としのわりにははよくやった|Tom did well considering his age.
寝かす|ねかす|Put to sleep
蹴散らす|け ちらす|To kick about
彼女は生け花の先生です。|かのじょは けいけばなの せんせいです|She is a flower arrangement teacher.
筆順|ひつじゅん|Stroke order
中性|ちゅうせい|Neutrality (chemical, electrical)
芯まで|しんまで|To the bone
司祭|しさい|Priest / Minister (4 priests on SF3)
油断大敵|ゆだんたいてき|Unpreparedness is ones greatest enemy
事態は深刻です。|じたいは しんこくです|The situation is serious.
世論調査|せろんちょうさ|Poll / Public opinion poll
信号待ち|しんごうまち|Waiting for a traffic light
得る　＝　することができる|えるすることができる|得る　＝　することができる
自転車の乗り過ぎで股が痛いです。|じてんしゃの のり すぎで またが いたいです|My crotch hurts from riding the bicycle too much.
本番|ほんばん|Action! Its the real thing (映画監督の指令)
陸橋|りっきょう|Overland bridge
怨敵|おんてき|sworn enemy
なぎ倒す|なぎ たおす|To mow down / To beat down / To sweep off ones feet
表情|ひょうじょう|Facial Expression
監禁される|かんきんされる|To be imprisoned / confined somewhere / jail / custody
配水|はいすい|Water supply
瓦礫|がれき|Rubble / Debris
零下|れいか|Below Zero
読書と精神の関係は、食物と肉体の関係に等しい。|どくしょと せいしんの かんけいは しょくもつと にくたいの かんけいに ひとしい|Reading is to the mind what food is to the body.&nbsp;&nbsp;&nbsp;
こっそりタバコを吸っているところを、妹に見られた|こっそりを すっているところを いもうとに みられた|As was smoking the hidden tabako, younger sister unfortunately saw
気がそれる|きがそれる|to be distracted
辞書は本棚の端にあります。|じしょは ほんだなの はじにあります|The dictionary is at the end of the bookshelf.
光線|こうせん|Ray / Beam
死者|ししゃ|Deceased / Dead (FFX)
残高|ざんだか|Bank balance
戦災|せんさい|War damage
金が物を言う|かねが ものを いう|money talks
自然主義者|しぜんしゅぎしゃ|A naturalist
不安|ふあん|Fear / Uneases
使い切る / 使い果たす|いつかいきる いつかいはたす|To use up / exhaust / Run through
胎内|たいない|Interior of womb
この薬はまだ認可されていません。|この くすりはまだ にんかされていません|This drug has yet to be approved.
昨日、たんすを買いました。|きのうたんすを かいました|I bought a chest of drawers yesterday
泣く泣く|くなくなく|Tearfully / while in tears
記憶置換|きおく ちかん|A thing to replace/remove someones memory
彼の招待は受けざるをえない。|かれの しょうたいは うけざるをえない|I can't but accept his invitation. (ざるをえない)
新しいＣＤを契機に、彼は人気者になりました。|あたらしい しーでぃーを けいきに かれは にんきものになりました|On the opportunity of the new CD, he became very popular
廃止|はいし|abolishment, abandonment
老朽化|ろうきゅうか|Aging / Wearing out / Deterioration
日本は消費大国といわれています。|にっぽんは しょうひ たいこくといわれています|It is said that Japan is a consumption giant.
まとまる|まとまる|be collected
実行する|じっこうする|To put into practice
彼には厳しい罰則が与えられました|かれには きびしい ばっそくが あたえられました|A harsh penalty was given to him
楽譜|がくふ|Scoresheet / Music
仕える|つかえる|To serve
推理小説は複雑なほど面白い|すいりしょうせつは ふくざつなほど おもしろい|For detective novels, complicated is more interested
ケーキは難しそうですが案外簡単に作れますよ。|は むずかしそうですが あんがい かんたんに つくれますよ|Though the cake looked difficult, contrary to expectation you can make it easily
欧州|おうしゅう|Europe
湧く|わく|To well up (with some sort of feeling)
私は人込みが好きではありません。|わたしは ひとごみが すきではありません|I don't like crowds.
半導体は様々な製品に使われているよ。|はんどうたいは さまざまな せいひんに つかわれているよ|Semiconductors are used in many products.
大酒|だい さけ|Heavy drinking / booze
その子はおもちゃに飽きたようだね。|その こはおもちゃに あきたようだね|The child seems to have gotten tired of the toy.
手助け|てだすけ|a help; assistance
患者|かんじゃ|Patient (hospital...)
光り輝く|りひかりかがやく|To shine / To glitter
その話が本当だとすると、大変なことだ。|その はなしが ほんとうだとすると たいへんなことだ|If that is true we are in trouble
遺恨十年|いこんじゅうねん|grudge of ten years' standing; harbouring a grudge for many years
私はいつも同僚の不平を聞いているんだ。|わたしはいつも どうりょうの ふへいを きいているんだ|I'm always hearing my colleague's complaints.
走り書き|はしりがき|scribbling, scrawl, hasty writing
目覚め|めざめ|Waking
数えきれないほどたくさんの星が光っている|かぞえきれないほどたくさんの ほしが ひかっている|Seemingly an accountable number of stars are shining (cant fully count)
説明書にかいてあるとうりにやってみてください|せつめいしょにかいてあるとうりにやってみてください|Please try and do it as its written on the explanation paper
地質学|ちしつがく|geology
程度|ていど|Degree / Level / Extent..
一層|いっそう|Much more / still more / all the more
飽和点|ほうわてん|Saturation point
機械語|きかいご|Machine language / Machine word
固辞して受けず|こじして うけず|He positively declines the offer
池に釣り糸を垂らした|いけに りつりいとを たらした|I dangled the fishing line in the pond
修理|しゅうり|Repair / Service / Refit
常習犯|じょうしゅうはん|habitual criminal; recidivist; (2) recidivism; habitual criminal activity
過分|かぶん|excessive; unmerited; generous
大気汚染|たいきおせん|Air pollution
寝とる|ねとる|to steal another's spouse, to steal another's lover
サケ||Salmon
寝坊して新幹線に乗り遅れたよ。|ねぼうして しんかんせんに りのりおくれたよ|I overslept and missed the Shinkansen.
多くの人が災害の犠牲になったの。|おおくの ひとが さいがいの ぎせいになったの|A lot of people lost their lives in the disaster.
彼の素晴らしい歌に観衆は陶酔した|かれの すばらしい うたに かんしゅうは とうすいした|The audience was entranced by his wonderful song
彼の会社は移転したよ。|かれの かいしゃは いてんしたよ|His company relocated.
ここがいちばん面白い場面です。|ここがいちばん おもしろい ばめんです|This is the most interesting place.
人だかり|ひとだかり|Crowd / Throng
国民の声に答えた政策が期待されている|こくみんの こえに こたえた せいさくが きたいされている|Expecting a policy in response to the voice of the people
運動会は9時に開会します。|うんどうかいは  じに かいかいします|The sports festival starts at nine o'clock.
天才的|てんさいてき|Ingenius
和風（の）|わふうの|Japanese style ~
どこかで犬が吠えていますね。|どこかで いぬが ほえていますね|A dog is barking somewhere.
銀色|ぎんいろ|Silver
立場|たちば|Position / Situation
引き連れる|きひきつれる|To take along with
獄中|ごくちゅう|While in jail / During imprisonment
彼氏有無をわかった？|かれし うむをわかった|Whether she has a boyfriend or not わかった？
悪気はなかった|わるぎはなかった|Didnt mean anything bad
原文|げんぶん|Original Text
低水準言語|ていすいじゅんげんご|Low level language
何でも屋|でもなんでもや|Jack of all trades / General merchant
積む|つむ|pile up, accumulate
電車は5分間隔で来ますよ。|でんしゃは  ふん かんかくで きますよ|The train comes every five minutes.
いつも9時に子供を寝かします。|いつも  じに こどもを ねかします|I always put our kid to bed at nine o'clock.
言葉数|ことばかず|Number of words / Vocality
逆順|ぎゃくじゅん|Reverse order
ジョンはジェーンに翻弄されている|はに ほんろうされている|John is messed with by Jane
入場券|にゅうじょうけん|Admission Ticket
こういう本は若い読者向きではない。|こういう ほんは わかい どくしゃ むきではない|These books are not fit for young readers.
囲む|かこむ|To surround / enclose
巡視船|じゅんしせん|Patrol boat
