動詞|どうし|Verb
手品師|てじなし|magician; conjurer; illusionist
国会議員はあっさりやめるべきだ|こっかいぎいんはあっさりやめるべきだ|The Congressman should readily resign
うちの息子は遠足が楽しみでそわそわしていた|うちの むすこは えんそくが たのしみでそわそわしていた|Our son was looking forward to his field trip with nervous excitement (restless,
今、何よりも車が欲しいですね|いま なによりも くるまが ほしいですね|Right now, I want a car more than anything
賭ける|かける|Bet / Stake
貧富の格差が大きくなっているな。|ひんぷの かくさが おおきくなっているな|The gap between rich and poor is growing.
ひき殺す|ひき ころす|To kill by running over
南極|なんきょく|South Pole
新聞や雑誌などで用いられている漢字とほぼ同数です|しんぶんや ざっしなどで もちいられている かんじとほぼ どうすうです|As many kanji as there are in newspapers and magazines
昨日の夜、社長ご夫妻と食事をしました。|きのうの よる しゃちょうご ふさいと しょくじをしました|I had dinner with the president and his wife last night.
生命線|せいめいせん|lifeline; (2) life line (in palm reading)
樹冠|じゅかん|tree canopy; tree crown
褒美|ほうび|Reward / Prize (Ill show you your reward .. baseball, not like a real thing i th
カエルが池に飛び込んだね。|が いけに びとびこんだね|The frog jumped into the pond.
海外で語学の勉強をします。|かいがいで ごがくの べんきょうをします|I will study a language abroad.
丁寧|ていねい|Polite
作文は縦書きで書いてください。|さくぶんは たてがきで かいてください|Please write the composition in vertical columns.
詩|し|Poetry
あの3人組は仲良しですね。|あの  にんぐみは なかよしですね|Those three are good friends.
そのチームのユニホームは縞模様だ|そののは しまもようだ|The teams uniform has a striped pattern
将軍|しょうぐん|General&nbsp;&nbsp;(army)
その会社は欧米に進出しているよね。|その かいしゃは おうべいに しんしゅつしているよね|That company has moved into Europe and the United States
退団|たいだん|Leaving a group (Toure leaving City!)
毎日こう寒くてはかなわない|まいにちこう さむくてはかなわない|I can’t stand this cold weather every day
天文台|てんもんだい|Astronomical observatory
購買部|こうばいぶ|Purchasing division
この服は窮屈になったな。|この ふくは きゅうくつになったな|These clothes have become tight.
冗談にも程がある。|じょうだんにも ほどがある|There are limits on jokes.
試合に出るからには、勝ちたい|しあいに でるからには かちたい|As long as im going to the match, I want to win
火が四方に広がったんだよ。|ひが しほうに ひろがったんだよ|The fire has spread in all directions.
彼女はにっこりほほえんだ。|かのじょはにっこりほほえんだ|She smiled broadly.
この本を参考にして下さい。|この ほんを さんこうにして ください|Please refer to this book.
極秘文書|ごくひ ぶんしょ|Classified Document
彼女は書道を習っているので達筆です|かのじょは しょどうを ならっているので たっぴつです|Her handwriting is good because she is learning calligraphy
無限の|むげんの|Infinite / Unlimited
観光|かんこう|Sightseeing
図書館に本があったので、買わないで済みました|としょかんに ほんがあったので かわないで すみました|Because the book was in the library, I got by without having to buy it
受けて立つ|うけて たつ|to accept somebody's challenge; to take up the gauntlet
コストがこんなに高くては採算が取れません。|がこんなに たかくては さいさんが とれません|When the costs are so high, profit can't be made.
垂れ幕|れたれまく|Hanging screen / Curtain
商用化|しょうようか|Commercialization
何が何だか分からない|なにが なんだか わからない|Dont know whats what
楽々|らくらく|Comfortable / Easy
氷河の|ひょうがの|Glacial
軍備|ぐんび|Arms / Military preparations
日本の会社で仕事をすることになる|にっぽんの かいしゃで しごとをすることになる|It has been arranged that I will be working at a Japanese company
