晩年|ばんねん|Late in life
覗き込む|のぞき こむ|To look into / to peer into
規則|きそく|Rule
2社が共同で新製品を開発したんだ。|しゃが きょうどうで しんせいひんを かいはつしたんだ|The two companies jointly developed a new product
釘に引っかけて袖が裂けてしまったな。|くぎに ひっかけて そでが さけてしまったな|I caught it on the nail and tore the sleeve.
馬車|ばしゃ|馬が引き車です
廊下|ろうか|Corridor
彼女は親から経済的に自立している。|かのじょは おやから けいざいてきに じりつしている|She is economically independent of her parents
挑戦者がチャンピオンを負かした|ちょうせんしゃがを まかした|The challenger defeated the champion
延期する|えんきする|To delay / postpone / put off / 延ばすこと
役員|やくいん|Officer / Official
飛行|ひこう|Flight
書き留める|きかきとめる|to write down; to make a note of; to put on record; to chronicle
荒い|あらい|Wild / Reckless
お店のガラス戸が割られたんだ。|お たなの がらすどが わられたんだ|The shop's glass door was broken.
高まる|たかまる|To rise / mount
父は大学教授だが、家庭にあっては普通の父親です。|ちちは だいがくきょうじゅだが かていにあっては ふつうの ちちおやです|My father is a university professor but he is an ordinary father at home (家庭において
知り合いが急病で倒れた。|りしりあいが きゅうびょうで たおれた|An acquaintance of mine suddenly fell ill.
彼女は奨学金で大学に行きました。|かのじょは しょうがくきんで だいがくに いきました|She went to university on a scholarship.
自己採点|じこさいてん|Self Rating / Self Marking
水滴|すいてき|Water drop
見物人|けんぶつにん|Spectator / Sightseer
師走に入ると忙しくなります。|しわすに はいると いそがしくなります|I get very busy once December comes.
円周の長さを求めなさい|えんしゅうの ながさを もとめなさい|Find the length of the circumference
手紙に写真が同封されていたよ。|てがみに しゃしんが どうふうされていたよ|A photograph was enclosed with the letter.
彼は書物に囲まれて生活しているの。|かれは しょもつに かこまれて せいかつしているの|He lives surrounded by books.
作り笑い|りつくりわらい|Forced laugh
子羊|こひつじ|lamb
臓器 / 内蔵|ぞうき ないぞう|Ones internal organs
割引|わりびき|Discount / Reduction (on price)
この大学も国際化してきたな。|この だいがくも こくさい かしてきたな|This university has internationalized.
寸前|すんぜん|Verge / Brink (of something)
この手紙を清書してください。|この てがみを せいしょしてください|Please make a clean copy of this letter.
身近|みぢか|Near oneself / Close to one
図書館に本を返却したよ。|としょかんに ほんを へんきゃくしたよ|I returned the book to the library.
戦争のニュースを聞くにつけ、心が痛む|せんそうのを きくにつけ こころが いたむ|Every team I hear the news of the war, heart aches
運行|うんこう|Movement / Running / Service
陰気な部屋|いんきな へや|a gloomy room
鐘|かね|Bell
境界|きょうかい|Another word for bounday or border (not&nbsp;&nbsp;境 or 国境)
車の振動で棚の荷物が落ちた。|くるまの しんどうで たなの にもつが おちた|Vibration from a passing car caused things on the shelf to fall down.
お茶がとても熱かったので冷ましてから飲んだの。|お ちゃがとても あつかったので さましてから のんだの|As the tea was very hot, I let it cool and then drank it.
玄関に車を着けます。|げんかんに くるまを つけます|I'll bring the car to the door.
一周|いっしゅう|Circle / Around
ツバメが地上すれすれに飛んで行きました|が ちじょうすれすれに とんで いきました|The swallow flew close to the ground
学生が多ければ多いほど、選ばれるのが難しい|がくせいが おおければ おおいほど えらばれるのが むずかしい|The more students there are, the more difficult it is to be selected
経口の|けいこうの|Oral (medicine etc)
滴り落ちる|したたり おちる|to trickle down
裏社会|うらしゃかい|Underworld / Underside of society (mafia etc)
公式|こうしき|Formal / Official
初めてケーキを作ったにしては、上手にできましたね。|はじめてを つくったにしては じょうずにできましたね|For somebody which makes cakes for the fist time, she did it very well. （にしては）
机上の|きじょうの|Armchair / Book ~ (theory, learning)
現状の打開策を暗中模索している。|げんじょうの だかいさくを あんちゅうもさくしている|We are groping for a way out of the present situation
同質的|どうしつてき|Homogeneous
騎兵|きへい|cavalry; cavalryman; trooper
残金|ざんきん|Remaining money
日本では北海道に滞在しました。|にっぽんでは ほっかいどうに たいざいしました|I stayed in Hokkaido when I was in Japan.
業界|ぎょうかい|Business World / Industry
彼の発明品はみな実用的だよ。|かれの はつめいひんはみな じつようてきだよ|All his inventions are practical.
海水浴|かいすいよく|Sea bathing
社会人|しゃかいじん|Member of society
軍法|ぐんぽう|Military law / Martial law
苦痛|くつう|Pain / Agony
普段|ふだん|Usually / Ordinarily / Habitually
二つのコツ|ふたつの|Two tricks / secrets / know how (from lifehacker)
反省の色|のはんせいのいろ|sign of remorse; indication of regret
気絶|きぜつ|Faint / Fit / Unconscious / Pass out
記入|きにゅう|Entry / Inscription
虐待者|ぎゃくたい しゃ|Perpetrator / Abuser
億万長者|おくまんちょうじゃ|Billionaire / Millionaire
食事の後片付けを手伝ったの。|しょくじの あとかたづけを てつだったの|I helped to clean up after the meal.
インドはスパイスの本場です|はの ほんばです|India is the home of spices
置き忘れる|きおきわすれる|To misplace / leave behind / forget
推理|すいり|Reasoning / Inference / Deduction
この地区は放射能に汚染された。|この ちくは ほうしゃのうに おせんされた|This area has been contaminated by radioactivity.
前売り券|りまえうりけん|Advance ticket
びっしょり|びっしょり|soaked (not the doubler version)
