馬鹿馬鹿しい|ばかばかしい|stupid, absurd
ヒドラ||Hydra (3 headed creature)
公約|こうやく|Public committment or promise
競歩|きょうほ|racewalking; race walking; walking race
極端|きょくたん|Extreme
カエルがぴょんぴょんはねているね。|がぴょんぴょんはねているね|Frogs are jumping around the pond.
番犬|ばんけん|Guard dog / Watch dog
予言|よげん|Prophecy / Prediction
邪神|じゃしん|an evil god
会場|かいじょう|Venue / Meeting place
週休|しゅうきゅう|Another word for weekend
マグロ船|せん|Tuna boat
葬式|そうしき|Funeral
重視|じゅうし|Importance / value
啓発|けいはつ|enlightenment; development; edification; public awareness; illumination; educati
留め具|めとめぐ|Latch
大戦|たいせん|World War
確保 （する）|かくほする|Securement
光速|こうそく|The speed of light
延長時間|えんちょう じかん|Extra time / overtime
木にとっては枝は人間の手足に相当する。|きにとっては えだは にんげんの てあしに そうとうする|Branches are to trees what limbs are to us
彼女は中世の音楽が好きです|かのじょは ちゅうせいの おんがくが すきです|She likes medieval music.
過剰防衛|かじょうぼうえい|Excessive or unjustifyable self defense
好ましい|このましい|Likeable / Desireable / Nice
吉野家が閉まっていたから、松屋に行くはめになった。|よしのやが しまっていたから まつやに いくはめになった|Yoshinoya was closed, so I was stuck and ended up having to go to Matsuya
水平線に太陽が沈んでいった。|すいへいせんに たいようが しずんでいった|The sun was setting on the horizon.
折り畳み傘を持って出かけた|りみおりたたみがさを もって でかけた|I took a folding umbrella when I went out
古典語|こてんご|classical or dead languages
法人|ほうじん|Juridical Legal person / Corporation / Corporate body
寝さえすれば治ります|ねさえすれば なおります|If you only sleep, you will get better
振り|ふり|swing, shake
受け取りに判子をお願いします。|けうけとりに はんこをお ねがいします|Please stamp your seal on the receipt.
私財|しざい|Private Property / Money
放って置く|はなって おく|To leave alone / to leave as it (hear this all the time)
野手|のて|Baseball fielder
篩に掛ける|ふるいに かける|To sieve / To sift
堕ちる|おちる|to fall down; to drop; to fall (e.g. rain); to sink (e.g. sun or moon); to fall 
背筋が寒くなる|せすじが さむくなる|to feel a chill run down one's spine
曲芸師|きょくげいし|Acrobat
帽子|ぼうし|Hat
活用|かつよう|Utilization
踊り子|りおどりこ|dancer (usu. female)
動物は自在に動く|どうぶつは じざいに うごく|Animals can move at will
記す|しるす|Write down / Take notes
遠隔操作の|えんかくそうさの|Remote controlled ~
最後まで粘り抜いてね。|さいごまで りねばりぬいてね|Stick it out
僕とサミー以外は誰一人として知らない|ぼくと いがいは だれひとりとして しらない|Not a soul knows except me and Sammy
際限なく|さいげんなく|Endlessly / Without end / Unlimitedly
邪魔だ。気が散るよ。|じゃまだ きが ちるよ|It's a distraction
取り出す|りとりだす|take out, pull out
この薬はよくきく反面、副作用がある|この くすりはよくきく はんめん ふくさようがある|This medicine is effective, but on the other hand there are side effects
