植物園|しょくぶつえん|Botanical garden
弱いものをいじめるなんて、許すまじきことです|よわいものをいじめるなんて ゆるすまじきことです|Bullying the weak is unforgivable
斜面　・　傾斜|しゃめん けいしゃ|Inclination / Slope / Decline
一般に老人は早起きです。|いっぱんに ろうじんは はやおきです|In general, elderly people get up early.
ひらがなからして読めない。もちろん漢字も読めない。|ひらがなからして よめないもちろん かんじも よめない|Cannot even read hiragana, and also of course cannot read kanji
商人|しょうにん|Merchant / Trader
取り外す|りとりはずす|To detach / to dismantle / to demount
子供たちが無邪気に遊んでいるね。|こどもたちが むじゃきに あそんでいるね|The kids are playing so innocently.
このあたりでは暴走族がのさばっている|このあたりでは ぼうそうぞくがのさばっている|A gang of hotrodders have everything their own way in this neighborhood
数千年前のものと判別|すう せん ねん まえのものと はんべつ|Determined its a few thousand years old
拾い上げる|いひろいあげる|To pick up / To pick out
課税|かぜい|Taxation
南下する|なんかする|南の方にすすむこと
彼の絵がコンクールに入選した。|かれの えがに にゅうせんした|His painting won a prize at the contest.
いい仕事につくのは難しくなりつつあるようだ。|いい しごとにつくのは むずかしくなりつつあるようだ|It seems to be becoming hard to get a good job.　（つつある）
騒ぎ|さわぎ|Clamor / Commotion
混乱|こんらん|Disorder / Chaos / Confusion / Mayhem (due to assassination political situation 
交わす|かわす|Exchange
香水|こうすい|Purfume
彼はかなり器用な人です。|かれはかなり きような ひとです|He is very good with his hands.
敬意を払う|けいいを はらう|To pay respect to
ナチスは、この世の全ての悪をユダヤ人のせいにした。|はこの よの すべての あくを ゆだやじんのせいにした|The nazis blamed all the evil in this world on the Jewish people
反乱|はんらん|Rebellion / Revolt
巻き|まき|(1) roll (e.g. of cloth); (2) winding; (3) volume (of book)
猫は夜行性の動物だ|ねこは やこうせいの どうぶつだ|Cats are active at night
能は元々大衆の文化でした。|のうは もともと たいしゅうの ぶんかでした|Noh drama was originally the culture of the masses.
暗証番号|あんしょうばんごう|Secret Number (Think PIN)
草刈りする|くさかりする|Mowing / cut the grass
靴の底にガムがくっ付いてしまった。|くつの そこにがくっ ついてしまった|Chewing gum got stuck to the sole of my shoe.
通常|つうじょう|Normal ~
闇|やみ|Dark / Darkness
日光|にっこう|太陽の光
両国は一切外交関係を断ち切った。|りょうこくは いっさい がいこうかんけいを ちたちきった|The two countries cut off all diplomatic relations.
その問題は審議中です。|その もんだいは しんぎ ちゅうです|The issue is under deliberation
余所者|よそもの|Outsider / Stranger
この服は上下セットで買いま|この ふくは じょうげで かいま|I bought these clothes as a top and bottoms set.
慣れ|なれ|Getting used to / habituation
磨く|みがく|To Brush (teeth) / Polish
戦争は不足と欠乏の時代を招いた。|せんそうは ふそくと けつぼうの じだいを まねいた|The war ushered in a period of shortages and deprivation
全員の意見を総合してみましょう。|ぜんいんの いけんを そうごうしてみましょう|Let's put all the opinions together.
万歳三唱|ばんざいさんしょう|Three cheers
悪質|あくしつ|Bad / Malignant
症状|しょうじょう|Symptom / Condition (only really used with sickness)
中央改札に九千七百六人がいる|ちゅうおう かいさつに せん ひゃく にんがいる|At the central gate there are 9706 people
お互い|お たがい|Each other
沈んだ船を引き上げたんだ。|しずんだ ふねを きひきあげたんだ|The sunken ship was salvaged.
家族ぐるみでその難問に取り組くみました。|かぞくぐるみでその なんもんに とり ぐみくみました|The entire family dealt with the difficult problem.
年収|ねんしゅう|Annual income
芝|しば|Lawn
準急|じゅんきゅう|Local express
缶に飴が入っています|かんに あめが はいっています|Theres some candy in the can
延ばす|のばす|To postpone / prolong
組|くみ|School class
難病|なんびょう|Serious hard to recover from disease
健康上の理由で、引退することにした。|けんこう じょうの りゆうで いんたいすることにした|For health reasons, I have decided to retire
倒れこむ|たおれこむ|To collapse into / To flop onto
英語を初歩から勉強しています。|えいごを しょほから べんきょうしています|I'm studying English from the beginning.
そんな発言はいかにも彼らしい。|そんな はつげんはいかにも かれらしい|Indeed such words are particular to him.&nbsp;&nbsp;&nbsp;&nbsp;
国勢調査|こくせいちょうさ|(national) census
子供たちは順々にお菓子を受け取ったよ。|こどもたちは じゅんじゅんにお かしを けうけとったよ|Children received snacks one at a time.
半透明|はんとうめい|Semi-transparent / Translucent
か弱い男性はあまりもてない|か よわい だんせいはあまりもてない|Weak men are not so popular
度胸のないやつだな|どきょうのないやつだな|Your a coward huh, chicken hearted
逆らう|さからう|To rebel / go against
丘|おか|Hill / Slope
彼は大阪に転勤しました。|かれは おおさかに てんきんしました|He was transferred to Osaka.
詳細はお気軽にお問い合わせ下さい。|しょうさいはお きがるにお いといあわせ ください|Please do not hesitate to inquire for further details.
突進する|とっしんする|To rush / charge
こんなまずいレストランへは二度と来るまい！|こんなまずいへは にどと くるまい|I wont be coming to this bad restaurant a second time!
議員|ぎいん|Lawmaker
県立（の）|けんりつの|The prefectural ~
指定席券|していせき けん|Reserved seat ticket
恨み|うらみ|Resentment / grudge / malice&nbsp;
彼とは結婚を前提として交際しています。|かれとは けっこんを ぜんていとして こうさいしています|I am going out with him with marriage in view
企む|たくらむ|To plot / conspire / scheme
車掌さんが車内を回って来たよ。|しゃしょうさんが しゃないを まわって きたよ|The conductor went around the carriage.
外食は手軽な反面、栄養が偏る恐れがある。|がいしょくは てがるな はんめん えいようが かたよる おそれがある|While eating out is easy, it can lead to an unbalanced diet.
日々の努力が大切です。|ひびの どりょくが たいせつです|It's important to make efforts every day.
手話|しゅわ|手の動きでする話
戸|と|ドア
軍歌|ぐんか|War song
出血|しゅっけつ|Bleeding / Hemorrhage
選択肢|せんたくし|Choices / Options
景色|けしき|Scenery
宝くじなんて当たりっこないよ|たからくじなんて あたりっこないよ|Theres no way I can win the lottery!
下町|したまち|Old part of town
地球規模|ちきゅうきぼ|Global scale
その瞬間、猫が跳び出しました。|その しゅんかん ねこが とび だしました|At that instant, the cat ran out.
大げさ|おおげさ|grandiose / exaggerated / overstated
表現力|ひょうげんりょく|Expressiveness / Expressive power
心身|しんしん|Mind and body
ダウン症|だうんしょう|Downs syndrome
私は一切その問題とは関係がありません。|わたしは いっさいその もんだいとは かんけいがありません|I have absolutely nothing to do with that issue.
原則として。。。|げんそくとして|As a general rule...
うんうんと|うんうんと|Sound indicating agreement / Grunting or groaning sound
回帰本能|かいき ほんのう|Homing instinct
汚名|おめい|Disgrace / Bad name / Taint / Stigma
政党|せいとう|Political Party
深刻|しんこく|Serious / Somber / Grave / Severe
この曲は誰が作曲したのですか。|この きょくは だれが さっきょくしたのですか|Who composed this tune?
手勢|てぜい|Ones troops (I wonder when I can ever use this in real life)
