看護|かんご|Nursing
尋ね人|ねたずねびと|Missing Person
人権|じんけん|Human rights
国民は総理大臣を非難しているね。|こくみんは そうりだいじんを ひなんしているね|The people are criticizing the Prime Minister.
雪合戦|ゆきがっせん|Snowball Fight
世論はあなたの味方です。|よろんはあなたの みかたです|Public opinion is your ally.
パーティーのビンゴの賞品は何がいいだろう。|のの しょうひんは なにがいいだろう|What might be a good prize for bingo at the party?
誓っていいますが、そのことは口外していません。|ちかっていいますがそのことは こうがいしていません|I never told anybody about it, I swear
荷|に|Burden / Cargo / Load
技術力|ぎじゅつりょく|Technological strength
敵陣に肉薄した|てきじんに にくはくした|We pressed the enemy line
飛び級|びとびきゅう|Skipping a grade
出産|しゅっさん|Birth / Delivery
共和国|きょうわこく|The Republic (think Shining Force 3)
彼を雇うことは誰も雇わないことに等しい。|かれを やとうことは だれも やとわないことに ひとしい|Employing him amount to employing nobody.
この部屋は防音されています|この へやは ぼうおんされています|This room is soundproofed
新人|しんじん|Newcomer / Freshman
仮名遣い|かなづかい|Use of kana
集中|しゅうちゅう|Concentrate
帰還|きかん|Return / Repatriation
口約束する|くちやくそくする|Make a verbal promise
巡回|じゅんかい|Patrol / Going around / round / tour
負担|ふたん|burden, charge
進化論|しんかろん|Theory of evolution
高原|こうげん|Plateau / Highland
葉っぱ|はっぱ|Leaf
洗脳|せんのう|Brainwashing
相互不信|そうごふしん|mutual distrust
僕たちは毎朝漢字の書き取りをします。|ぼくたちは まいあさ かんじの きかきとりをします|We do kanji dictation every morning.
腕立て伏せ|てうでたてふせ|push-up (exercise)
任務|にんむ|Duty / Mission
持ち物には名前を書いてください。|ちもちものには なまえを かいてください|Please write your name on your belongings.
必読だ|ひつどくだ|A must read
限界|げんかい|Boundary / Limit
出身|しゅっしん|Come from / Origin
彼はボクシング界の王者です|かれは かいの おうじゃです|He is the king of boxing
砲手|ほうしゅ|gunner
左利き|ひだりきき|left-handedness, left-hander
望む|のぞむ|Want / Wish / Hope
その事件について新聞に投書したんだ。|その じけんについて しんぶんに とうしょしたんだ|I wrote in to the newspaper regarding that incident.
かみそりの刃で指を切りました。|かみそりの はで ゆびを きりました|I cut my finger with a razor blade.
立ち向かう|ちたちむかう|To confront / stand up to (a bully!)
復活|ふっかつ|Revival / Come back / Rebirth / Resurrection
直訳する|ちょくやくする|To translate word for word, literal translation
歩き回る|きあるきまわる|To pace around / To walk to and fro / To walk about
夕飯|ゆうはん|Dinner
回顧|かいこ|Reminiscence / Look back / Review
