温暖化|おんだんか|Warming
伝える|つたえる|To tell / inform
東西南北|とうざいなんぼく|北・東・南・西
酒屋|さかや|Liquor store
髪型|かみがた|Hair Style
速達便なら明日の午前中に届きます。|そくたつびんなら あしたの ごぜんちゅうに とどきます|It will arrive tomorrow morning if you send it by express mail.
型変換|かたへんかん|Type conversion (programming)
さっぱり〜ない|さっぱりない|Not at all
に至るまで|に いたるまで|という意外なことまで、あることの範囲が及ぶ　（文法）
暴虐非道|ぼうぎゃくひどう|violent and cruel; tyrannical and atrocious
彼女は大学までずっと優等生でした|かのじょは だいがくまでずっと ゆうとうせいでした|She was a top class student right up to university
組む|くむ|Pair up / Partner with
格好のいい青年に会ったよ。|かっこうのいい せいねんに あったよ|I met a good-looking young man.
吸い出す|いすいだす|To suck (or draw) out
内容|ないよう|[Bag] Contents
皮膚|ひふ|Skin
管 (iknow reading)|かん|Pipe / Tube (iknow)
知恵|ちえ|Wisdom
夏祭りで花火を打ち上げます。|なつまつりで はなびを ちうちあげます|Fireworks are set off at the summer festival.
うちの両親はお見合い結婚でした。|うちの りょうしんはお いみあいけっこんでした|My parents had an arranged marriage.
汚点|おてん|A blot / stain / spot (on this town!)
打者|だしゃ|Batter
引き篭もり|きひきこもり|A recluse / someone who always stays in their room (Densha Otoko guy)
そのパーティーはカジュアルな服装で大丈夫です。|そのはな ふくそうで だいじょうぶです|It's alright to wear casual clothes to the party.
鉱山|こうざん|Mine
限る|かぎる|To restrict / To confine / To be restricted to
最大化|さいだいか|Maximisation
これこそわれわれが探し求めていたものだ。|これこそわれわれが しさがしもとめていたものだ|This is the very thing we have been seeking and looking for.
彼女は結婚生活に失望していたの。|かのじょは けっこんせいかつに しつぼうしていたの|She found married life disappointing.
子供が動物に接するのは良いことです。|こどもが どうぶつに せっするのは よいことです|It is good for children to have contact with animals.
私は空を見上げたの|わたしは そらを みあげたの|I looked up at the sky
今日は月が真ん丸です。|きょうは つきが んまんまるです|The moon is perfectly round today.
無人島|むじんとう|Deserted Island
隠れん坊|れんかくれんぼう|Hide and seek
いとこの結婚式に出られないとは、残念な限りだ。|いとこの けっこんしきに でられないとは ざんねんな かぎりだ|Its a shame I cant attend my cousins wedding (とても残念だ)
その国の政府は各国に支援を要請したのよ。|その くにの せいふは かっこくに しえんを ようせいしたのよ|The government of that country requested support from all nations.
開封後は冷蔵庫で保存してください。|かいふう ごは れいぞうこで ほぞんしてください|After unsealing please preserve in the fridge
夜盗|やとう|Night burgler
真のマンチェスター市民のクラブ|しんの しみんの|Club for proper / genuine citizens of Manchester
あらかじめ必要な物を書き出して下さい。|あらかじめ ひつような ものを きかきだして ください|Please write down in advance what you need.
革靴|かわぐつ|Leather Shoes
看護婦の詰め所|かんごふの めつめしょ|in a hospital, a nurse's station
節約（する）|せつやくする|To economise / To save
公立|こうりつ|Another word for "public" (as in public library, public museum)
局部麻酔をします。|きょくぶますいをします|I'll give you a local anaesthetic
推し量る|しおしはかる|to guess; to conjecture; to surmise
気圧|きあつ|Atmospheric Pressure
あばよ|あばよ|Goodbye / Farewell
亡くす|なくす|To lose someone, wife, child, etc
参考|さんこう|Reference / Consultation
クローバーの原でピクニックをしたよ。|の はらでをしたよ|We had a picnic in a clover field.
点線を書く|てんせんを かく|To draw a dotted line
服に墨がついちゃった。|ふくに すみがついちゃった|The black ink has stained the clothes.
近年|きんねん|Recent years
標本|ひょうほん|Sample / Specimen
中部|ちゅうぶ|Middle part / Center
社長の話ぶりでは、今年のボーナスはないようだ。|しゃちょうの はなしぶりでは ことしのはないようだ|According to what the president told us, there may not be a bonus this year
克明に規則を守っている|こくめいに きそくを まもっている|He observes the rules conscientiously―scrupulously―religiously
月末までに申込書を送ってください。|げつまつまでに もうしこみしょを おくってください|Please send the application form by the end of the month.
子供が水たまりをぴょんと飛びこえたね。|こどもが みずたまりをぴょんと とびこえたね|The child jumped over the puddle.
水差し|みずさし|Water Pitcher / Jug
アリは土の中に巣を作ります。|は どの なかに すを つくります|Ants build nests underground.
火を強めてください。|ひを つよめてください|Please turn the heat up.
集団|しゅうだん|Group / Mass
弟はようやくベッドから起き上がった。|おとうとはようやくから きおきあがった|Finally my younger brother got out of bed.
今日だけは悲しいままでいさせてほしい|きょうだけは かなしいままでいさせてほしい|For only today, I want you to let me stay in this sad condition
真のマリオ|しんの|The proper / genuine / real / true Mario! (Balotelli)
お土産|お みやげ|Kanji for omiyage
刺す|さす|To sting / bite (bug) / stab
面倒|めんどう|A bother / trouble (cleaning up is a bother)
点火|てんか|Lighting / Ignition
次の冬季オリンピックは2年後です。|つぎの とうきおりんぴっくは  ねん ごです|The next Winter Olympics will be in two years.
屋根|やね|Roof
人の記憶は不確かよ。|ひとの きおくは ふたしかよ|Human memories are unreliable.
