団体行動|だんたいこうどう|Group behaviour
寝たきり老人|たきりねたきりろうじん|A bedridden (LIT: forever in bed) old man.
親子の対話は大切だよ。|おやこの たいわは たいせつだよ|Conversation between parents and children is important.
DNA鑑定から言って、彼が犯人であることは確実だ。|かんていから いって かれが はんにんであることは かくじつだ|Judging from the DNA evidence, there is no doubt that he is the culprit.
彼はアメリカに行ったきりだ。|かれはに いったきりだ|he went to america (and didn't come back).
溶ける|とける|To Melt / Dissolve
日本は昔鎖国をしていた|にっぽんは むかし さこくをしていた|In the past, Japan closed its borders to the outside world
生中継|なまちゅうけい|”Live" broadcast on TV
農村地帯|のうそんちたい|Rural / Farmlike area
核戦争は絶対に防ぐべきよ。|かくせんそうは ぜったいに ふせぐべきよ|Nuclear war should be avoided at all costs.
両腕にとどまらず、体全身に火傷した。|りょう うでにとどまらず からだ ぜんしんに かしょうした|Not only both of his arms, but his entire body was burnt
用心に越したことはないんですが．．|ようじんに こしたことはないんですが|You can never be too careful &nbsp;
会議で航空の安全について話し合ったの。|かいぎで こうくうの あんぜんについて しはなしあったの|Airline safety was discussed at the conference.
氷山の一角|のひょうざんのいっかく|The tip of an iceberg
所得水準|しょとくすいじゅん|income level
しゃがむ|しゃがむ|To squat down
この事件は、政治に影響を与えずにはおかなかった|この じけんは せいじに えいきょうを あたえずにはおかなかった|This incident did not leave the political world unaffected (自然と影響を与えた)
午後に打ち合わせをしましょう。|ごごに うち あわせをしましょう|Let's have a meeting in the afternoon.
引力|いんりょく|Gravitation / Attraction
〜に先立って - Proceeding|に さきだって|〜に先立って - Proceeding
賢人|けんじん|Wise man
トムは私に石を投げるふりをした|は わたしに いしを なげるふりをした|Tom made as if to throw a stone at me
プレゼントは高くなくてもいいです|は たかくなくてもいいです|The present doesnt need to be anything expensive
彼女の演技は見る人を感動させずにおかない。|かのじょの えんぎは みる ひとを かんどうさせずにおかない|Her performances move the audience without fail
余る|あまる|To be left over (surplus) / -&gt;&nbsp;&nbsp;残る
お客様に対して、失礼な事言ってはいけません|お きゃくさまに たいして しつれいな こと いってはいけません|In response to customers, it is not good to say rude things ( に対して )
被害|ひがい|Damage
様々|さまざま|Various / Diverse
このプロジェクトにはたっぷり時間をかけましょう。|このにはたっぷり じかんをかけましょう|Let's put in a lot of time on that project.
恐らく|おそらく|Probably
落陽|らくよう|setting sun
近郊|きんこう|suburbs / outskirts (another iknow one, not 郊外)
過剰摂取|かじょうせっしゅ|Overdose / Excessive consumption
胃袋|いぶくろ|Stomach
こうなった上は。。|こうなった うえは|As long as it is like this...
そのような案は論外だ|そのような あんは ろんがいだ|Such a plan is completely out of the question [not even worthy of consideration]
北風が冷たいです。|きたかぜが つめたいです|The north wind is cold.
大学に入りたければ一生懸命勉強することだ|だいがくに はいりたければ いっしょうけんめい べんきょうすることだ|if you want to go to college, its important to study hard
トラブルを引き起こす|を きひきおこす|To cause trouble (not 迷惑をかける)
箱|はこ|Box
決定的|けっていてき|Definite / Decisive / Conclusive
いろいろ考えた末に、会社を辞めることにした。|いろいろ かんがえた すえに かいしゃを やめることにした|After thinking about various things for a long time, I decided to leave the comp
得意分野|とくいぶんや|Ones field of expertise
悪女|あくじょ|Wicked woman / villainess
カンニング||Cheat / Cheating
彼女はクモを怖がります。|かのじょはを こわがります|She is afraid of spiders.
衛生には十分気を付けましょう。|えいせいには じゅうぶん きを つけましょう|Let's take proper care of hygiene.
