電圧計|でんあつけい|Voltmeter
お医者さんごっこをする|お いしゃさんごっこをする|To play doctor
後悔ばかりしてはいられない。|こうかいばかりしてはいられない|I have to get over this feeling of regret. (lit., I cannot just keep regretting.
幾ら呼んでも彼は返事をしなかったわ。|いくら よんでも かれは へんじをしなかったわ|No matter how many times I called, he didn't respond.
企業家|きぎょうか|Entrepreneur
水は水素と酸素でできています。|みずは すいそと さんそでできています|Water is made of hydrogen and oxygen.
ポスターの位置が少しずれているよ。|の いちが すこしずれているよ|The poster is slightly out of position.
対話|たいわ|dialogue, conversation
彼女は法学部の学生です|かのじょは ほうがくぶの がくせいです|She's a student in the Law Department.
夢中|むちゅう|Crush on / be crazy about / be sold on
劣等感|れっとうかん|Inferiority complex
彼にも一応知らせておいたほうがいいだろう。|かれにも いちおう しらせておいたほうがいいだろう|It'd be better to just let him know.
彼女の訴えは認められたわ。|かのじょの うったえは みとめられたわ|Her complaint was admitted.
情報伝達|じょうほうでんたつ|Information transfer / Information transmission
一方通行|いっぽう つうこう|One way traffic
年々|ねんねん|Year by year
最近甘いものを控えています。|さいきん あまいものを ひかえています|I'm refraining from eating sweets these days.
今週は彼が週番だ|こんしゅうは かれが しゅうばんだ|He is on duty this week
船が長い航海に乗り出したの。|ふねが ながい こうかいに りのりだしたの|The ship set out on a long sea voyage.
国境|こっきょう|Country border / frontier
彼はアルバイトをして学費を稼いだんだ。|かれはをして がくひを かせいだんだ|He worked part-time to earn his tuition money.
母が料理をお盆に乗せたの。|ははが りょうりをお ぼんに のせたの|My mother put the dishes on a tray.
反抗期|はんこうき|Rebellious stage
上|うえ|Superiors / People in authority
犠牲|ぎせい|Sacrifice
国際調査|こくさい ちょうさ|National census
君の怠慢には釈明の余地がありませんね。|きみの たいまんには しゃくめいの よちがありませんね|There's no room for excuses when it comes to your negligence, is there?
低音|ていおん|Bass / Low pitched sound
理想主義|りそうしゅぎ|Idealism
物々交換|ぶつぶつこうかん|Bartering
水が沸騰して気体になったんだ。|みずが ふっとうして きたいになったんだ|The water boiled and then turned into gas.
彼は人民のための政治を行った。|かれは じんみんのための せいじを おこなった|He engaged in politics for the people's benefit.
食中毒|しょくちゅうどく|Food poisoning
山頂から見ると、その島はとても美しい。|さんちょうから みるとその しまはとても うつくしい|Seen from the top of the hill, the island is very beautiful.
食費|しょくひ|Food expenses
愛をこめて、セーターを編みました。|あいをこめてを あみました|She knitted that sweater with all her love .
強制|きょうせい|Compulsion / Force
鞭|むち|Whip
退屈といったらない|たいくつといったらない|extremely boring
誰が聞きに来るかによって話の内容を変えるつもりだ。|だれが ききに くるかによって はなしの ないようを かえるつもりだ|I'm planning to change the content of my talk accodring to who's coming to liste
ひどい雨にもかかわらず彼らは出発した。|ひどい あめにもかかわらず かれらは しゅっぱつした|They started in spite of the heavy rain.
黙読|もくどく|reading silently
新婚|しんこん|Newlywed
霊能力|れいのうりょく|Psychic power
繋がる|つながる|Connect / Link / Join up
このプロジェクトで私は彼と組んでいるんだ。|こので わたしは かれと くんでいるんだ|I am pairing up with him for this project.
再三懇願して許可を得た|さいさん こんがんして きょかを えた|I obtained the permission after repeated entreaties
裏門|うらもん|Back gate
横転（する）|おうてんする|Overturn
低空飛行|ていくうひこう|Low altitude flying
日本にいる限り、タンさんは私に連絡してくれるはずだ|にっぽんにいる かぎりさんは わたしに れんらくしてくれるはずだ|As long as I'm in Japan, I'm expecting contact from tan san
言いかねる|いいかねる|find it hard to say
小学校で子供たちの劇を見ました。|しょうがっこうで こどもたちの げきを みました|I saw a children's play at an elementary school.
驚かす|おどろかす|Suprise / Amaze
きゅうりに味噌をつけて食べたの。|きゅうりに みそをつけて たべたの|I ate cucumber with miso on it.
五十音|ごじゅうおん|Japanese Syllabary
アジアの主食は米です。|の しゅしょくは こめです|The staple food of Asia is rice.
涙声|なみだごえ|Tearful voice
