日々|ひび|daily, every day
設定可能|せっていかのう|Configurable
爆発音|ばくはつおん|Sound of an explosion
初日|しょにち|First day / Opening day
電気系統を図面で確かめました。|でんきけいとうを ずめんで たしかめました|I checked the electrical system on the diagram.
女王|じょおう|Queen (easy)
この笛は竹でできている|この ふえは たけでできている|This flute is made of bamboo.
制空権|せいくうけん|air superiority; mastery of the air
分析|ぶんせき|analysis
本名|ほんみょう|Ones real name
氷を細かく砕いてください。|こおりを こまかく くだいてください|Please crush the ice into small pieces.
発表|はっぴょう|Announcement
空ける|あける|Empty / Clear out
病室|びょうしつ|Sickroom / ward
殺し合い|しころしあい|Killing each other (remember this form!)
試験の結果いかんでは、卒業できないこともある|しけんの けっかいかんでは そつぎょうできないこともある|Depending on the exam results its possible also to fail graduation
不平等|ふびょうどう|Unequal / Unfair (not 不平)
治安|ちあん|Public order
3は奇数です。|は きすうです|Three is an odd number.
漏らす|もらす|To give away / let leak
このような無責任な行いに対して怒りを禁じ得ない。|このような むせきにんな おこないに たいして いかりを きんじ えない|I cannot hold back my anger at such an irresponsible deed.
定義|ていぎ|definition
アメリカに着いて初めてのカルチャーショックだった|に ついて はじめてのだった|It was my first culture shock after arriving in america
根本的に|こんぽんてきに|Fundamentally...
ハンカチ / ハンカチーフ||handkerchief
問答|もんどう|Dialogue
医師の話では、母の症状は深刻なようだ|いしの はなしでは ははの しょうじょうは しんこくなようだ|According to the doctor, mothers condition seems grave
チケットの割り当ては一人10枚です。|の りわりあては にん  まいです|Ten tickets are allocated per person.
四字熟語|よじじゅくご|Four character idiomatic compound
彼は今日入ったばかりの新人です。|かれは きょう はいったばかりの しんじんです|He is a newcomer who just started today.
丈夫|じょうぶ|Strong
電池を買っときます|でんちを かっときます|I'll buy batteries (abbv)
太平洋|たいへいよう|Pacific [Ocean]
彼女は和服がよく似合う。|かのじょは わふくがよく にあう|Traditional Japanese clothes suit her well.
変数宣言|へんすうせんげん|Variable declaration
会計士に資金運用について相談したよ。|かいけいしに しきんうんようについて そうだんしたよ|I consulted an accountant about managing my assets
その噂はすぐに広まったよ。|その うわさはすぐに ひろまったよ|The rumor spread quickly.
無知|むち|ignorant
あなたを驚かす話があります。|あなたを おどろかす はなしがあります|I have a story that will surprise you.
ステーキは、おはしでは食べにくい|はおはしでは たべにくい|Steaks are difficult to eat with chopsticks
性犯罪|せいはんざい|Sex crime
目立つ|めだつ|To stand out
この包みは誰のですか。|この つつみは だれのですか|Whose parcel is this?
土下座|どげざ|Kneel down on the ground (for apology)
水族館|すいぞくかん|Aquarium (building)
雨にもかかわらず、私は外出した。|あめにもかかわらず わたしは がいしゅつした|In spite of the rain, I went out.
楽しかった子供のころに、戻れるものなら戻りたい。|たのしかった こどものころに もどれるものなら もどりたい|if it is possible that/if only I could go back to the fun days of my childhood, 
微調整|びちょうせい|minute adjustment; fine tuning
範囲|はんい|Range / Scope
月並みですがお幸せに|つきなみですがお しあわせに|This may sound trite, but I sincerely wish you much happiness
水に浸す|みずに ひたす|To immerse into water
学会|がっかい|Academic Association / Academic Conference
数百人の群集が集まっているの。|すう ひゃく にんの ぐんしゅうが あつまっているの|A crowd of hundreds has assembled.
性格は絶対に変えられないというものではない|せいかくは ぜったいに かえられないというものではない|Cant fully say that ones personality will never change
踊り手|りおどりて|dancer
私は貧しい農民に過ぎない。|わたしは まずしい のうみんに すぎない|I am nothing more than a poor peasant.
志す|こころざす|Have an ambition for / aspire
定価|ていか|regular price
洗い物|いあらいもの|Dishes to be washed
言い逃れ|いいいのがれ|Excuse / Evasion
小鳥|ことり|Small bird
偽名|ぎめい|False name / Fake name
操作 する|そうさする|To operate
一石二鳥|いっせきにちょう|Two birds with one stone
違和感|いわかん|Discomfort (not 不快感)
デジタル化|でじたるか|Digitalization
自家用|じかよう|Home use
美女　・　美人|びじょ びじん|美しい女の人
このデータはまだ不完全ね。|このはまだ ふかんぜんね|This data is still unfinished.
みんなの意見がまとまりました。|みんなの いけんがまとまりました|Everyone's opinions were brought together.
寝不足|ねぶそく|Lack of sleep
殺気|さっき|Thirst for blood
悪徳|あくとく|vice; immorality; corruption
拳銃|けんじゅう|Pistol / Gun / Revolver
新顔|しんがお|Newcomer / New face
田中さんは忙しいとみえて、このごろ電話もしてこない|たなかさんは いそがしいとみえてこのごろ でんわもしてこない|Tanaka-san seems to be very busy, that is maybe why he has not called
ちょっと小便しに行って来る。|ちょっと しょうべんしに いって くる|Sorry, I am going for a pee.
私は数学が不得意です。|わたしは すうがくが ふとくいです|I'm not good at math.
彼は１０時きっかりに帰宅した。|かれは じきっかりに きたくした|He came home exactly at ten.
彼は健康そのものです|かれは けんこうそのものです|He is a picture of health
試合は雨天中止です。|しあいは うてん ちゅうしです|The match is canceled due to rain.
成年|せいねん|Majority / Adult
コンピューターの使い方についての本が欲しい|の いつかいかたについての ほんが ほしい|I want a book about how to use a computer ( について )
処理速度|しょりそくど|Processing speed
彼は学会で論文を発表したよ。|かれは がっかいで ろんぶんを はっぴょうしたよ|He presented a paper in an academic conference.
とっくに帰ったよ|とっくに かえったよ|Already gone home
駐車時間が３０分過ぎたので、超過料金を取られた。|ちゅうしゃ じかんが ふん すぎたので ちょうか りょうきんを とられた|Parked for 30 minutes too much, so excess payment was taken
情けない|なさけない|Miserable / Pitiful / Deplorable
夢想家|むそうか|Dreamer
私は早朝のジョギングを日課にしています。|わたしは そうちょうのを にっかにしています|It's my routine to go jogging every morning.
明日は家族で墓参りに行きます。|あしたは かぞくで はかまいりに いきます|I'm going to visit the grave with my family tomorrow.
発注する|はっちゅうする|To order
酒を飲みやめてからというものもっと元気になった。|さけを のみやめてからというものもっと げんきになった|After having stopped drinking sake, I became more optimistic
標準的|ひょうじゅんてき|Standard / Standardized
その事件は明日時効になる|その じけんは あした じこうになる|The statute of limitations on the case runs out tomorrow
小銭|こぜに|Small change
教わる|おそわる|To be taught / learn
ビザについて外務省に問い合わせた。|について がいむしょうに いといあわせた|I contacted the Ministry of Foreign Affairs to enquire about the visa.
不注意|ふちゅうい|careless
この週刊誌を毎週買っているの。|この しゅうかんしを まいしゅう かっているの|I buy this weekly magazine every week.
春は一遍に花が咲く。|はるは いっぺんに はなが さく|Flowers bloom all together in spring.
手すり|てすり|Handrail / Railing
毎日忙しいので、夜９時以降にしか帰宅できない。|まいにち いそがしいので よる じ いこうにしか きたくできない|Because everyday is busy, cant go home until 9pm or later
湖を眺める|みずうみを ながめる|Gaze [look upon] the lake
神父|しんぷ|Catholic Priest
彼女たちはおしゃべりに夢中です。|かのじょたちはおしゃべりに むちゅうです|Those women are absorbed in their conversation.
