食器|しょっき|Tableware / Dinner set
次回|じかい|Next time
うどんは小麦粉から作られます。|うどんは こむぎこから つくられます|Udon noodles are made from flour.
安全|あんぜん|Safely
ずる賢い|ずる かしこい|Sly / cunning
体制|たいせい|system, structure
書類の枚数を数える|しょるいの まいすうを かぞえる|Count the number of the document (papers)
合意|ごうい|Mutual Agreement
無数|むすう|Countless / Innumerable
靴のかかとで彼の足を踏んでしまったの。|くつのかかとで かれの あしを ふんでしまったの|I ended up stepping on his foot with the heel of my shoe.
アメリカ人は連邦税と州税の両方を払っている。|あめりかじんは れんぽう ぜいと しゅう ぜいの りょうほうを はらっている|Americans pay both federal taxes and state taxes
計算上はこれで正しい。|けいさんじょうはこれで ただしい|In terms of calculation, this is correct
道路|どうろ|Street / Road
かいがあって (Grammar)|かいがあって|There is/was value in doing X, Doing X has its rewards
周囲の反対をものともせずに、二人は結婚した。|しゅういの はんたいをものともせずに にんは けっこんした|in defiance of everyone around them, the two of them got married
扶養家族|ふようかぞく|Ones dependants
このソフトには多少問題がある。|このには たしょう もんだいがある|There are some problems with this software.
通信衛星|つうしんえいせい|Communications satellite
事実に基づいてお話します|じじつに もとづいてお はなしします|I will speak to you on the basis of facts
会費が少し高いね。|かいひが すこし たかいね|The fee is a little high.
社員にとっては、給料は高い方がいい|しゃいんにとっては きゅうりょうは たかい ほうがいい|As far as company employees are concerned, a higher salary is better ( にとって )
彼女がそんなことをするとは、信じがたい|かのじょがそんなことをするとは しんじがたい|That she would do that sort of thing, is so so difficult to believe
今朝の地震は震度3でしたよ。|けさの じしんは しんど でしたよ|The earthquake this morning had a seismic intensity of three.
入社|にゅうしゃ|Entering a company
ゲップ||belch; burp
祖父は戦場に行ったことがあるそうです。|そふは せんじょうに いったことがあるそうです|I've heard that my grandfather has been to the battlefield.
彼女は町外れの工場で働いているよ。|かのじょは まちはずれの こうじょうで はたらいているよ|She's working in a factory on the outskirts of town.
採掘|さいくつ|Mining
ここは児童の通学路です。|ここは じどうの つうがくろです|This is a school route for children.
冷やす|ひやす|To cool / chill / refrigerate
母性本能|ぼせいほんのう|Maternal instinct
水と魚の関係は、空気と人間の関係に等しい。|みずと さかなの かんけいは くうきと にんげんの かんけいに ひとしい|Water is to fish what air is to man.&nbsp;&nbsp;&nbsp;
座席表|ざせきひょう|Seating Chart
乗り捨てできますか。|りのりすてできますか|Can I drop off the car?
技師|ぎし|Engineer / Technician
発売|はつばい|Release (ie a CD)
辞書を使わないで、新聞を読む|じしょを つかわないで しんぶんを よむ|I read a newspaper without using dictionaries
善|ぜん|Good / Goodness / Virtue / Right
すりに財布をとられた。|すりに さいふをとられた|My wallet was taken by a pickpocket.
子供のことが心配 でたまらない。|こどものことが しんぱいでたまらない|I am so worried about my children (that i cant stand it)
お金がないので海外旅行をしたくともできない。|お かねがないので かいがいりょこうをしたくともできない|Even though I want to travel abroad, I can't do it because I have no money.
日本へ行って初めのころは面白いことばかりだった|にっぽんへ いって はじめのころは おもしろいことばかりだった|When I went to Japan, in the beginning I had nothing but interesting experiences
大学に入って初めて日本人に会いました|だいがくに はいって はじめて にっぽんじんに あいました|When I entered college, I met a Japanese person for the first time
仲間と地球の未来について論じたの|なかまと ちきゅうの みらいについて ろんじたの|I discussed the future of the earth with my friends.
退路を断つ|たいろを たつ|to cut off the retreat
増援|ぞうえん|Reinforcement
書き取り|きかきとり|Dictation
1 足す 2|たす|1 plus 2
変換|へんかん|change, conversion　(変化、交換ではない）
確実|かくじつ|Sure / Definite / Certain
移籍市場|いせき しじょう|Transfer market (football)
優勝できたのは、チーム全員の協力あればこそだ。|ゆうしょうできたのは ぜんいんの きょうりょくあればこそだ|The victory was especially due to the team members' cooperation.&nbsp;&nbsp;
お世辞抜きに、君の日本語は本当にうまいよ。|お せじ ぬきに きみの にほんごは ほんとうにうまいよ|I am not flattering you. Your Japanese is really good.
くそ食らえ|くそ くらえ|Fuck off / Eat shit!
かたきを討つ|かたきを うつ|Avenge
学期の初めは、教科書以外にいろいろ買うものがある|がっきの はじめは きょうかしょ いがいにいろいろ かうものがある|At the beginning of the semester, there are so many things to buy besides textbo
回収する|かいしゅうする|Collect / Recover (think money: Liar game)
労働者階級|ろうどうしゃかいきゅう|Working class
絶賛|ぜっさん|high praise; great admiration; rave reviews
いちいち|いちいち|One by one
親を騙すなんて、子供にあるまじき行為だ|おやを だますなんて こどもにあるまじき こういだ|Deceiving your parents is not acceptable
無理解|むりかい|Lack of understanding / incomprehension
外国人にしては日本語が上手だ。|がいこくじんにしては にほんごが じょうずだ|For a foreigner, his Japanese is very good. （にしては）
水路|すいろ|Waterway / Canal
暮れ|くれ|Dusk / Twilight
日程|にってい|Schedule
同期|どうき|Same time / Syncronize
片側|かたがわ|One side
北上する|ほくじょうする|北の方にすすむこと
その反面。。|その はんめん|On the other hand..
遺恨試合|いこんしあい|grudge match
県庁|けんちょう|Prefectural Office
驚いたことに〜|おどろいたことに|To my suprise..
寵臣|ちょうしん|寵愛している臣下favored retainer; favoured retainer
産業|さんぎょう|Industry
不確か|ふたしか|uncertain
彼女はかんかんに怒っています。|かのじょはかんかんに おこっています|She is inflamed with rage.
新幹線は強風のために運休しています|しんかんせんは きょうふうのために うんきゅうしています|The bullet train service has been suspended due to the strong wind
両日|りょうじつ|Both days
水面|すいめん|Surface of the water
開会|かいかい|Opening / Start a meeting
冗談抜きで、ちょっと大切な相談があるんです。|じょうだんぬきでちょっと たいせつな そうだんがあるんです|Seriously, I have something important to discuss with you.
私の曽祖父は、今日死にました|わたしの そうそふは きょう しにました|My great grandfather died today
出かける時、ドアに鍵をかけました|でかける ときに かぎをかけました|I locked the door when I went out
活字|かつじ|Printed type
議会で区の来年の予定が話し合われたんだ。|ぎかいで くの らいねんの よていが しはなしあわれたんだ|The council discussed the district's plan for the incoming year.
急病|きゅうびょう|Sudden illness
光年|こうねん|Light year
彼は一見サラリーマン風ですね。|かれは いっけん ふうですね|He looks like a businessman at a glance.
天候不順|てんこうふじゅん|unseasonable weather; fickle weather; bad weather
休止|きゅうし|少しの間休むこと（Break)
職種|しょくしゅ|Type of occupation / Occupational category
株主|かぶぬし|Stockholder / Shareholder
棒|ぼう|Pole / Rod / Stick
言い表す|いいいあらわす|Express / say
この名前に心当たりはないですか？|この なまえに こころあたりはないですか|Does this name mean anything to you?
動作|どうさ|Movement / Action
