畳|たたみ|Tatami
預かりします|あずかりします|To keep / take something (said by shop people!)
彼は天才であるに相違ない。|かれは てんさいであるに そういない|Without question, he's a genius.
百メートル走|ひゃく はし|Hundred metre run
神の意向に反して、人間は自然を破壊している|かみの いこうに はんして にんげんは しぜんを はかいしている|Contrary to gods intention, humans are destroying nature
３点差で勝つ|てん さで かつ|Win the game by 3 points
いかにもあいつの言いそうなことだ。|いかにもあいつの いいそうなことだ|That indeed&nbsp;&nbsp;sounds like what he would have said.&nbsp;&nbsp;&nbsp;
戦う|たたかう|Fight / Struggle
ことか　ー＞　 Wow!|ことか|ことか　ー＞　 Wow!
ググる|る|To google something
遅刻|ちこく|Lateness / Tardiness
開始|かいし|Beginning / Opening
駅まで駆け足で行ったよ。|えきまで けかけあしで おこなったよ|I ran to the station.
それは主観的な意見だ。|それは しゅかんてきな いけんだ|That is a subjective opinion.
社長は忙しいから、秘書を通じて頼んだ方がいい|しゃちょうは いそがしいから ひしょを つうじて たのんだ ほうがいい|As the shacho is busy, its better to ask via the secretary (through the secretar
消費者|しょうひしゃ|Consumers
幽霊|ゆうれい|Ghost / Phantom
仕事量|しごとりょう|Workload / amount of work
彼女は出版社で働いています。|かのじょは しゅっぱんしゃで はたらいています|She works for a publisher.
雨がやみ次第、出発しましょう|あめがやみ しだい しゅっぱつしましょう|Lets leave as soon as the rain has stopped
彼は紳士どころではない。|かれは しんしどころではない|He is far from being a gentleman.
あの人は日本銀行の総裁です。|あの ひとは にっぽんぎんこうの そうさいです|That person is the president of the Bank of Japan.
彼女は、愛情と優しさを込めてお祈りをした。|かのじょは あいじょうと やさしさを こめてお いのりをした|She said her prayers, her heart full of love and tenderness.
頑張りぬいたが結局できなかった。|がんばりぬいたが けっきょくできなかった|I made an effort to finish, but in the end, I couldn’t finish.
親しい|したしい|Familiar / Friendly / Close
突然何を言い出すのかと思った。|とつぜん なにを いいいだすのかと おもった|I wondered what you would say out of the blue.
経済力|けいざいりょく|Economic strength
今朝コーヒーを飲んだきりで、何も食べてない。|けさを のんだきりで なにも たべてない|in the morning, he just drank coffee, and didnt eat anything.
残る|のこる|To remain / be left
怖がる|こわがる|Be afraid of / fear
日本語能力試験を受験したんだ。|にほんごのうりょくしけんを じゅけんしたんだ|I took the Japanese proficiency test.
彼のあだなは「りき」です。|かれのあだなはりきです|His nickname is "Ricky."
焼く|やく|To bake
十字路|じゅうじろ|Crossroads, but not&nbsp;&nbsp;交差点
飼い主|いかいぬし|Owner / Master (of a dog)
或いは|あるいは|Or / Possibly - including the character =)
断ち切る|ちたちきる|To cut off / Disconnect
犯人が店から出てきたところで警官に捕らえられた。|はんにんが みせから でてきたところで けいかんに とらえられた|As the criminal was coming out of the shop, the police grabbed him.
勧められて欲しくもないものを買っちゃったよ。|すすめられて ほしくもないものを かっちゃったよ|On someone's advice, I ended up buying something I didn't want.
無政府主義者|むせいふしゅぎしゃ|Anarchist
この句はどんな意味でしょうか。|この くはどんな いみでしょうか|What does this phrase mean?
体操選手|たいそう せんしゅ|Gymnast
ぺこぺこ|ぺこぺこ|bow, kowtow (4 doubler)
店員|てんいん|Shop assistant / Employee / Clerk
酢|す|Vinegar
国王|こくおう|King
私用で出かけなければなりません。|しようで でかけなければなりません|I must go out on a personal errand.
部屋の空きはありますか。|へやの あきはありますか|Are there any vacant rooms?
許容範囲|きょようはんい|tolerance level; permissible range; acceptable limits
同居|どうきょ|Living together
絶対にお酒を飲まないことにしています|ぜったいにお さけを のまないことにしています|I have made this firm decision not to drink and have strictly followed it
震度|しんど|Seismic intensity
この駅でたくさんの人が乗り降りしますね。|この えきでたくさんの ひとが りのりおりしますね|A huge number of people get on and off at this station.
少年|しょうねん|Boy&nbsp;&nbsp;/ Lad / Juvenile
会社は従業員の数を増やす予定だ。|かいしゃは じゅうぎょういんの かずを ふやす よていだ|The company plans to increase the number of employees.
持ち込む|ちもちこむ|Bring in / Carry on
このサイトでは音楽を無制限でダウンロードできる。|このでは おんがくを むせいげんでできる|You get unlimited music downloads on this site.
馬力|ばりき|Horsepower
あっさり|あっさり|Easily / readily
賞金|しょうきん|Prize Money
私が小学生だと思って説明できますか？|わたしが しょうがくせいだと おもって せつめいできますか|Can you explain as if I was a 小学生？
中旬|ちゅうじゅん|Middle ten days of a month
草木|くさき|Plants and trees (easy)
退場カード|たいじょう|Another word for &quot;Red Card&quot;
他の人のせいにしないでくれない？|たの ひとのせいにしないでくれない|Would you stop blaming other people?&nbsp;&nbsp;
痛いのなんのって涙が出る|いたいのなんのって なみだが でる|It hurt so badly I cried
上流|じょうりゅう|Upstream
あの老人はとても物知りだね。|あの ろうじんはとても ものしりだね|That old person is very knowledgeable.
昨夜、寝ている間に地震がありました|さくや ねている まに じしんがありました|Last night there was an earthquake whilst I was asleep
喜ばす|よろこばす|to please, delight
話し声|しはなしごえ|talking voice
出国|しゅっこく|Departure / Emigration
落選する|らくせんする|Failure to be elected
最近、教育レベルが低下しています。|さいきん きょういくが ていかしています|Recently, education levels are decreasing.
雪が降ると、電車は遅れがちだ|ゆきが ふると でんしゃは おくれがちだ|When it snows, the train tends to be delayed
その地名は聞いたことがないなあ。|その ちめいは きいたことがないなあ|I have never heard of that place.
死角|しかく|Blind corner / Blind spot
行くかいがある|いくかいがある|Worth going
戦闘|せんとう|Battle / Fight / Combat
ふと新しい考えが浮かんだ。|ふと あたらしい かんがえが うかんだ|Suddenly, I hit upon this new idea
汎用レジスタ|はんようれじすた|General purpose register (asm programming)
指定された席にお座りください。|していされた せきにお すわりください|Please sit on the designated seat.
金額|きんがく|Amount of money
彼は頭数に入ってない|かれは とうすうに はいってない|He doesnt count
権力|けんりょく|Power / Authority
家事|かじ|Housework / domestic duties
超人|ちょうじん|superman; superwoman
怒りを込めて〜|いかりを こめて|With all your anger...
緊急|きんきゅう|Urgent / Pressing
黄色|きいろ|卵のきみやレモンの色
うっとり|うっとり|Fascinating / Enchanting
めちゃくちゃ（な）|めちゃくちゃな|Messy / Disorganised
校門|こうもん|School Gate
スカートにしわがよっているよ。|にしわがよっているよ|Your skirt is rumpled.
本能|ほんのう|Instinct
彼はその判決を不服として上級裁判所に上告した|かれはその はんけつを ふふくとして じょうきゅうさいばんしょに じょうこくした|He appealed to a higher court against the decision
おやつ|おやつ|Snack / refreshment
この用紙に名前を書いてください。|この ようしに なまえを かいてください|Please write your name on this form.
無理やり|むりやり|forcibly, against one's will
彼はよく刑事の役を演じるね。|かれはよく けいじの やくを えんじるね|He often performs the role of a detective.
私は話すことはともかく、書くことは苦手だ。|わたしは はなすことはともかく かくことは にがてだ|Setting aside the speaking ability, writing is my weak area.
日本は物価が高いと言っても、安いものもあるよ|にっぽんは ぶっかが たかいと いっても やすいものもあるよ|Even if I say Tokyos expensive, there are still cheap things
友達を通じて、聞きました|ともだちを つうじて ききました|I heard about it through a friend
頭痛|ずつう|Headache
顔付き|かおつき|Face / Expression (not&nbsp;&nbsp;表情)
あの「女」の人は男に相違ない。|あの おんなの ひとは おとこに そういない|That 'woman' must be a guy.
彼は暴力事件を起こしたんだよ。|かれは ぼうりょく じけんを おこしたんだよ|He caused a violent incident
騒音公害|そうおんこうがい|Noise pollution
たどり着く|たどり つく|To arrive somewhere after a struggle / to finally arrive at
彼女はきっちり3時に来たわ。|かのじょはきっちり  じに きたわ|She came at three o'clock precisely.
ワクチン||Vaccine
当初の計画では。。|とうしょの けいかくでは|According to the initial plan...
創立|そうりつ|ANOTHER word for &quot;establishment, foundation&quot;. Like founding a school o
芝生|しばふ|Lawn / Turf
僕はこの女の人のみならず、あの女の人も大好きです。|ぼくはこの のおんなのひとのみならずあの のおんなのひとも だいすきです|I not only like this girl, but also that one.
博物館|はくぶつかん|Museum
社長の辞任が決まりました。|しゃちょうの じにんが きまりました|The president's resignation has been agreed upon
無にする|むにする|To bring to nought
分かち合う|わかち あう|To share
大手|おおて|Major Companies
