女装|じょそう|Female clothing
会場は人で一杯になりました。|かいじょうは ひとで はいになりました|The hall was filled with people.
指揮者|しきしゃ|Conductor (also director, leader etc)
帰国|きこく|自分の国に帰ること
7月上旬に夏祭りがありますよ。|つき じょうじゅんに なつまつりがありますよ|There is a summer festival at the beginning of July.
カメレオンは環境に合わせて皮膚の色を変える。|は かんきょうに あわせて ひふの いろを かえる|Chameleons change the colour of their skin matching the environment
虐待|ぎゃくたい|Abuse / Cruelty / Oppression
学生たちは自主的に勉強会を開いたわよ。|がくせいたちは じしゅてきに べんきょうかいを ひらいたわよ|Students held an independent study meeting.
それはいかにもトムらしい|それはいかにもらしい|Thats Tom down to the ground
冷戦|れいせん|The cold war
沖縄県|おきなわ けん|Okinawa-ken
評論家|ひょうろんか|Critic
学校では音楽部に所属していました。|がっこうでは おんがく ぶに しょぞくしていました|I belonged to the music club at school.
彼は司会が上手ですね。|かれは しかいが じょうずですね|He is a good moderator.
彼は大阪府に住んでいます。|かれは おおさかふに すんでいます|He lives in Osaka Prefecture. (other character for prefecture...)
化粧道具|けしょうどうぐ|Makeup set
運営|うんえい|Operation / Management (iknow...)
電波|でんぱ|Electric Wave / Signal (phone)
入国手続きが終わりました。|にゅうこく てつづきが おわりました|The immigration procedures are finished.
覆面|ふくめん|Mask / Veil / Disguise
この先にキリスト教の教会があります。|この さきに きりすときょうの きょうかいがあります|There is a Christian church ahead.
どころか　ー＞　Far from!|どころか|どころか　ー＞　Far from!
なんということか！|なんということか|What the hell (is this) !
長期|ちょうき|long period
そのモダンな外観の建物が大使館です。|そのな がいかんの たてものが たいしかんです|That building with the modern exterior is the embassy.
姿|すがた|Figure / Appearance
天皇は日本国の象徴です。|てんのうは にほんこくの しょうちょうです|The emperor is a symbol of Japan.
不可欠|ふかけつ|Indispensable
私は病気の友達に元気になってほしいです|わたしは びょうきの ともだちに げんきになってほしいです|I want my sick friend to get better
彼の職場は都内にあります。|かれの しょくばは とないにあります|His office is in the Tokyo metropolitan area.
