真摯|しんし|Sincerity / Earnestness
凭れる|もたれる|Lean on / Rely on
流民|りゅうみん|Refugees
羽織る|はおる|To put on (eg clothing)
病巣|びょうそう|病原のある箇所
賽銭|さいせん|monetary offering
お色直し|お いろなおし|changing one's dress (e.g. at the wedding reception)
禁じ手|きんじ て|forbidden move (sumo, shogi, go, etc.), prohibited move, foul
文飾|ぶんしょく|literary embellishments
両者の間に摩擦が生じています。|りょうしゃの まに まさつが しょうじています|There is some friction between the two of them
反乱軍|はんらんぐん|Rebellious / Insurgent troops
母鳥が雛に虫を持ってきた。|ははどりが ひなに むしを もってきた|The mother bird brought worms for her young ones
起爆装置|きばくそうち|Fuse
信奉者|しんぽうしゃ|Adherent / Devotee / Believer
胡散臭い|うさんくさい|Suspicious looking / Shady
恩を売る|おんを うる|To demand gratitude / to do something for someone in order to create an obligati
鉄帽|てつぼう|helmet
咎人|とがにん|offender; criminal
スルー||Ignoring
野盗|やとう|brigand; bandit
自動詞|じどうし|intransitive verb
成り行き|なり ゆき|1. course (of events) / development / progress2. abbr for "market order" on an e
小粋|こ いき|1. stylish, smart, chic, tasteful, snappy, dapper2. conceited, cheeky
魅する|みする|to charm, to bewitch, to enchant, to captivate, to fascinate
算数|さんすう|Arithmetic
托する|たくする|To entrust / leave
潜在意識|せんざいいしき|Subconscious (awareness)
寄せ付けない|せよせつけない|To keep away / keep off
透ける|すける|To be transparent / To show through
大の字に|のだいのじに|Sprawled (on floor) / Spread eagled / In the shape of the "dai" kanji
策定|さくてい|政策や計画をいろいろ考えて決めることDecision / Settling on
狭量|きょうりょう|Narrow-mindedness
復元|ふくげん|restoration (to original state or location); reconstruction; reversion
別段|べつだん|particular; special
文言|もんごん|wording (esp. of written text)
機関紙|きかんし|bulletin
変種|へんしゅ|variant, variation, variety, mutation, freak, novelty, exception
雨雲|あまぐも|雨を降らせる黒っぽい雲
罷免|ひめん|Dismissal / Discharge / Throw out
経験談|けいけんだん|Story of ones experience
安らぎ|やすらぎ|Ease / Contentment (Kimi wa petto)
流砂|りゅうしゃ|Quicksand
算盤|そろばん|Abacus
横線|おうせん|Horizontal line
けしからん|けしからん|Outrageous / Rude / Inexcuseable
字画|じかく|Stroke count
供える|そなえる|To offer (flowers at a grave most likely)
五里霧中|ごりむちゅう|Totally at a loss / lose ones bearings / all at sea
隠者|いんじゃ|Hermit / Recluse
ルーペ||magnifying glass
死に絶える|にしにたえる|to die out; to become extinct
ギスギス||stiff (atmosphere, manner, etc.); cold; unfriendly; unsociable; edgy
切り株|きり かぶ|Stump (of a tree say) / Stubble
腐臭|ふしゅう|smell of something rotten, rotten smell
遜色|そんしょく|inferiority
起筆|きひつ|beginning to write, beginning of a brush-stroke
歌声|うたごえ|Ones Singing Voice
陶芸|とうげい|Ceramic / Pottery
最大限|さいだいげん|Maximum
賠償|ばいしょう|Reparations / Compensation&nbsp;
暗黒物質|あんこくぶっしつ|Dark matter
呼び出す|びよびだす|To summon / To invoke or call a function or subroutine (programming)
尚更|なおさら|All the more ... (reason to go, etc)
つま先|つま さき|Tiptoe
福利厚生|ふくりこうせい|Welfare program
足蹴|あしげ|Kick
いがみ合う|いがみ あう|To snipe at each other; to bicker; to be at loggerheads.Nuance:"いがみ合う"
 describe
透視投影|とうしとうえい|{comp} perspective projection
政論|せいろん|political argument
指数的|しすうてき|exponential
写生（する）|しゃせいする|Sketch
止まる|とまる|To keep / remain / stay (webpage for example)
娼婦|しょうふ|A whore
非番|ひばん|Day off; off duty.Nuance:"非番"
 specifically refers to a scheduled day off from w
検証|けんしょう|Verification / Inspection
孤立|こりつ|Isolated
連邦|れんぽう|Federation of states / commonwealth
月経周期|げっけいしゅうき|Menstrual cycle
結露|けつろ|Dew / Condensation (in their brand new house)
腫れ上がる|れはれあがる|To swell up
船舶|せんぱく|Craft / Ship
尼|あま|A nun
光合成|こうごうせい|photosynthesis
可視化|かしか|1. visualization (data, results, etc.), visualisation2. making something visible
古株|ふるかぶ|1. old-timer, veteran, senior2. old stump, old roots
角材|かくざい|squared timber, rectangular lumber
摘み|つまみ|Knob / control / volume
飛び切り|びとびきり|Exceptionally, extremely, the very bestNuance飛び切り
 is an adverb and noun modifie
突っ立つ|つっ たつ|To stand up
開き直る|きひらきなおる|To become defiant / To turn upon / To become serious
～こそ　。。　が　Grammar|こそが|Basically just けれど, "though" but with more 強調
談話|だんわ|Conversation / Talking
虚妄|きょもう|事実でないこと。うそいつわりFalsehood / Untruth / Delusion
探究|たんきゅう|research; investigation; enquiry; inquiry; study
英傑|えいけつ|great man; hero; master mind
忸怩|じくじ|Ashamed; bashful; feeling deep embarrassmentNuances:This
 rare four-character id
歴代|れきだい|successive generations; successive emperors
下賤|げせん|(1) low birth; humble origin; (adj-na) (2) lowly; base; vulgar; coarse
近衛兵|このえへい|Imperial Guard (Meiji); personal guard / english guards okay too!
不義理|ふ ぎり|neglect of one's social obligations; failure to perform one's social duties; dis
霊園|れいえん|(garden) cemetery, park-style cemetery, memorial park
蛸足|たこあし|many-legged, octopus-like
息を吹き返す|いきを ふき かえす|to resume breathing, to come around, to come back to life
臓器売買|ぞうきばいばい|organ trade
吸着|きゅうちゃく|1. adsorption2. adhesion (by suction), attachment, sticking to
手段を選ばない|しゅだんを えらばない|to do whatever it takes, to use every trick in the book, to use any means, to st
彼女は青白い顔をしているね。|かのじょは あおじろい かおをしているね|Her face is pale.
夕暮れ|ゆうぐれ|Evening / Twilight
起訴|きそ|Prosecution / Indictment
捏造|ねつぞう|Fabrication / Forgery / Fake
鉄拳|てっけん|Fist
隆盛|りゅうせい|Prosperity
聞き届ける|きき とどける|要求や願いなどを聞いて承知する。聞き入れる注意して聞き確かめるto grant
霜焼け|しもやけ|frostbite; chilblains
名馬|めいば|fine horse; famous horse
ややあって|ややあって|a little while later; for a little while; some time later; for some time; presen
ホイル||foil (esp. aluminium foil)
好事家|こうずか|person of fantastic taste
珍宝|ちんぽう|rare treasure
校閲|こうえつ|revision, proofreading
ウザイ||1. annoying, noisy2. strict
打撲|だぼく|Bruise
彼女は性格がきついよね。|かのじょは せいかくがきついよね|She has a strong personality.
虐殺|ぎゃくさつ|Atrocity / Massive killing
躍進|やくしん|Rush / Dash / Onslaught / Dancing ahead (Chinese economy)
概略|がいりゃく|Outline / Summary / Gist / In brief
内気|うちき|Shy / Bashful / Introverted
我に返る|わがに かえる|To come to oneself; to return to one’s senses; to snap out of it.
Nuance:


Desc
一変|いっぺん|Complete change / about face
機材|きざい|Machine parts / Equipment
二の腕|のにのうで|Upper arm
待ち構える|ちまちかまえる|Wait eagerly for
認印|みとめいん|Informal seal
鱒|ます|Trout / Sea trout
灰白色|かいはくしょく|grayish white; greyish white
恥部|ちぶ|1. private parts; privates; genitalia; secret place2. disgraceful thing; shame; 
筋肉弛緩剤|きんにくしかんざい|muscle relaxant
曼荼羅|まんだら|Mandala&nbsp;is&nbsp;a&nbsp;Sanskrit word that loosely translates to mean "circl
凍傷|とうしょう|frostbite, chilblains
洒落|しゃれ|Joke / Pun / Play on words
水槽|すいそう|Water tank / Aquarium
ゆとり|ゆとり|Room / Leeway
もみじの葉っぱが赤くなりましたね。|もみじの はっぱが あかくなりましたね|The maple leaves turned red.
温度差|おんどさ|Difference in temperature / Difference in degrees of enthusiasm, interest, commi
ヒヤヒヤ||afraid of whats going to happen, on edge, on pins and needles (2 doubler)
和集合|わしゅうごう|Union (as in a | b)
間に合わせのレポートを提出した|にまにあわせのを ていしゅつした|I submitted the hashed together report
付き従う|き したがう|to follow; to accompany; to cleave to; to join up with; to obey implicitly; to f
木立|こだち|grove of trees
逆手|さかて|1. underhand grip; backhand grip (e.g. in tennis)2. unexpected twist; turning th
河馬|かば|hippopotamus
古色蒼然|こしょくそうぜん|antique-looking
紐解く|ひもとく|1. to unravel (e.g. a mystery), to discover (the truth)2. to read (a book), to o
露出狂|ろしゅつきょう|exhibitionist, flasher
仲違い|なかたがい|discord, breaking up (e.g. friendship)
尊重|そんちょう|Respect / Esteem / Regard
水平線|すいへいせん|The horizon
批判能力|ひはん のうりょく|Judgement ability
崇める|あがめる|To revere / respect (The English language from Japanese POV)
焚き火|きたきび|Open air file / bonfire / open fire
向きになる|むきになる|To become serious / To take something seriously
砲弾|ほうだん|Shell
夥しい|おびただしい|Innumerable / profuse / a large number of
動揺|どうよう|Disturbance / Unrest
抑止|よくし|To check / Control (compiler checking)
定型|ていけい|Fixed form / Regular shape / Steretyped
生来|せいらい|Naturally / By nature
可憐|かれん|Poor / Pitiful / cute / sweet / lovely
虐げる|しいたげる|To oppress (people)
鴎|かもめ|seagull
朦朧|もうろう|dim; hazy; vague; indistinct; ambiguous; faint; obscure
共倒れ|ともだおれ|falling together; mutual destruction; joint bankruptcy
思案顔|しあんがお|pensive (or worried) look on one's face
輪っか|わっか|1. ring, loop (of rope)2. halo (of an angel)3. 圓光, 圆光五輪旗の右端の輪っかって何色だったっけか？What c
輪|わ|Ring
もたもた（する）|もたもたする|2 doubler for &quot;to be inefficient, slow&quot;
突き放す|きつきはなす|To abandon / desert, but also "push away"
遂行|すいこう|Accomplish / Carry out / Perform
発作|ほっさ|Fit / Spasm
傍受|ぼうじゅ|Interception / Monitoring / Tapping (The US Snowden ordeal)
準える|なぞらえる|To compare / Liken
僭越|せんえつ|Presumptious / arrogant / audacious / forward / insolent
ぬめり|ぬめり|Slime / Mucus
天誅|てんちゅう|Heavens Punishment / Well deserved punishment / Just punishment
寝だめ|ねだめ|catching up on one's sleep; storing up sleep; getting extra sleep while one has 
梨|なし|A pear
粉々|こなごな|in very small pieces
上場|じょうじょう|listing (on the stock exchange, etc.), taking a company public
さじを投げる|さじを なげる|To give up on, to throw in the towelNuanceさじを投げる
 is an idiomatic expression tha
縮れる|ちぢれる|Curl up / crisp / pucker / to be curled
もげる|もげる|To be torn off / To come off
仰る|おっしゃる|Kanji learning!
司令長官|しれいちょうかん|Commander in chief
培う|つちかう|To cultivate / To foster (Vivis fighting experience)
随時|ずいじ|At any time / As occasion calls
彼は最近平穏な毎日を過ごしています|かれは さいきん へいおんな まいにちを すごしています|He is living a quiet life these days
彼は淋しい気持ちをジョークで紛らした|かれは さびしい きもちをで まぎらした|He his his loneliness behind humour
吐息|といき|Sigh / Long breath
徒競走|ときょうそう|foot race
等分|とうぶん|division into equal parts; equal parts
日照時間|にっしょうじかん|daylight hours; hours of sunshine
顧問|こもん|adviser, advisor, consultant
急き立てる|せき たてる|to hurry (up), to press, to urge on
刑律|けいりつ|criminal law
持ち越す|もち こす|To carry over (an issue, decision, work, etc.), to carry forward, to put off, to
彼の当てこすりはかんにさわる。|かれの あてこすりはかんにさわる|His sarcasm galls me.
何を隠そう|なにを かくそう|Translation:何を隠そう（なにをかくそう）means
 "to tell the truth" or "frankly speaking," ofte
能天気|のうてんき|Reckless / Rash
補欠選挙|ほけつせんきょ|By(e) election / special election
およす|およす|Just about (..5km)
阻む|はばむ|To obstruct; to hinder; to blockNuances:This
 verb describes actively preventing
外専|がいせん|Slang - person attracted only to foreigners
生後|せいご|Since birth (followed by some number of months say)
新参者|しんざんもの|Newcomer / Novice / Newbie
待ちぼうけ|まちぼうけ|Waiting in vain
尖兵|せんぺい|Vanguard / Advance guard point
この手の品は出払いました|この ての しなは ではらいました|&nbsp;We are right out of [We have completely sold out] this line
漆喰|しっくい|Mortar / Plaster / Stucco
織り成す|りおりなす|To interweave
敷き藁|きしきわら|Straw matting; bedding straw; spread straw.Nuance敷き藁 (shikiwara)
 refers to stra
くねくね|くねくね|winding, meandering, wriggling, wiggling, waving, swaying, twisting and turning
遜色ない|そんしょくない|standing comparison with, comparing favorably with, by no means inferior to, equ
段落|だんらく|Paragraph
毟る|むしる|To pluck / pick
慎む|つつしむ|To refrain oneself from doing / to be chaste
乗り移る|りのりうつる|To possess (someone), to transfer
警護|けいご|"guard," "protection," or "security detail"—referring to the act of safeguarding
耳障り|みみざわり|Hurting ones ears
がらんと|がらんと|Empty / Deserted
心筋梗塞|しんきんこうそく|Heart attack
鮭には回帰本能がある|さけには かいき ほんのうがある|Salmon instinctively return to their breeding ground
ぱちぱちと|ぱちぱちと|Crackle (flames)
甘美|かんび|Sweet (eg fruit, melody, dream) / luscious
砥石|といし|Whetstone / Grindstone
卑下してはいけない|ひげしてはいけない|Don't belittle yourself
肩当て|かたあて|shoulder pad; shoulder reinforcement; epaulet
あらまし|あらまし|(1) outline; summary; gist; abstract; (adv) (2) roughly; about; nearly; almost
ちまちま|ちまちま|small; compact
突き動かす|つき うごかす|to stimulate; to stir up; to arouse
喚き散らす|わめき ちらす|to rant and rave; to raise hell
つらつら|つらつら|carefully; attentively; profoundly; deeply; at length
躱す|かわす|To dodge / To evade / To avoid / To sidestep
世話人|せわにん|sponsor, manager, go-between, mediator, agent, caretaker
鋳型|いがた|mold, mould, template
末永く|すえながく|forever, everlastingly, for many years to come, ever
紙幣|しへい|Note / Bill (money)
歯車|はぐるま|Gear / Cog-wheel
見受ける|みうける|To catch sight of / To suppose
