詐称|さしょう|Misrepresentation / False statement
聖典|せいてん|Scriptures (according to the...)
眉唾|まゆつば|fake; counterfeit
火力発電所|かりょくはつでんしょ|Thermal Power Station
古風|こふう|old-fashioned; archaic; antique; antiquated
不穏文書|ふおんぶんしょ|inflammatory pamphlets
心情|しんじょう|sentiment, emotions, one's feelings, one's heart
切断厨|せつだんちゅう|ragequitter, person who disconnects from an online game (when losing)
この論議はやめようではないか。|この ろんぎはやめようではないか|Shall we put a stop to this discussion?
曰く|いわく|Pretext / History / Story (think slashdot)
精神科|せいしんか|Psychiatry
塒|ねぐら|Roost / Nesting place
賄う|まかなう|To give board to / To provide meals / To pay / To cover (the cost)
規模の経済|のきぼのけいざい|Economies of scale
豪快|ごうかい|Hearty / Exciting / Stirring / Lively / Largehearted / Splendid
推力|すいりょく|Thrust / Propulsion / Driving force
序列|じょれつ|Rating / Ranking / Pecking order
祀る|まつる|To worship / To enshrine / To pray / To deify
喉元|のどもと|Throat
誓願|せいがん|vow (e.g. religious); oath; pledge
執政官|しっせいかん|consul (adviser in sf3 (palsis))
乱獲|らんかく|excessive fishing; overfishing; overhunting; excessive taking
かそこら|かそこら|around ..., or so１時間かそこらで帰ってきます。I'll be back in an hour or so.
求人|きゅうじん|Recruiting / Job offer / Job vacancy
祖末|そ まつ|Crude / Rough / Plain / Humble
教養|きょうよう|Culture / Education
漂着物|ひょうちゃく ぶつ|Wreck / Wreckage
割り込み|わり こみ|Interruption (asm int) / Muscling in on / To interrupt
協調性|きょうちょうせい|Cooperative personality
育む|はぐくむ|To raise / to rear / to bring up
半導体市場は95年以来の二桁成長が予測されている。|はんどうたい しじょうは  ねん いらいの けた せいちょうが よそくされている|Two-digit growth is predicted in the semiconductor market for the first time sin
有頂天|うちょうてん|Ecstacy / On top of the world
横領|おうりょう|embezzlement; misappropriation; usurpation
羊飼い|ひつじかい|shepherd; shepherdess
頭頂|とうちょう|top of the head, vertex, parietal
会社の礎石|かいしゃの そせき|Cornerstone of the company
擬態する|ぎたいする|To mimic
討ち果たす|ちうちはたす|To slay / To kill
結界|けっかい|Barrier (often spiritual or magical)
債権|さいけん|credit; claim (opposite of 債務)
甲殻|こうかく|carapace; shell; crust
現状維持|げんじょういじ|maintaining the status quo
物心|ものごころ|awareness of things around one; ability to understand what is going on around on
悪阻|つわり|morning sickness
ねんね|ねんね|1. going bye-byes, going beddy-byes, sleeping2. baby3. childish person (esp. a y
迷路|めいろ|Maze / Labyrinth
棄権する|きけんする|To abstain / default
仁術|じんじゅつ|Benevolent act
