悲恋|ひれん|blighted love; disappointed love
バックレ / しらばくれる|しらばくれる|to feign ignorance; (v1,vi) (2) (col) to evade one's responsibilities
再生|さいせい|Regeneration / Reclamation / Reproduction / Reclaim
串刺し|くしざし|Skewer
だらり（と）|だらりと|Loosely / languidly (hang down)
蔓延|まんえん|Spread disease (or computer virus)
二股をかける|ふたまたをかける|to play it both ways; to sit on the fence; to two-time
参道|さんどう|road approaching a shrine
祝福|しゅくふく|Blessing
古来|こらい|Time honoured / Ancient / From time immemorial
半泣き|はんなき|Being about to cry / verge of tears
推進|すいしん|Propulsion / Driving force / Promotion
忌々しい|いまいましい|Annoying / Provoking
霧散|むさん|Dispersion / Vanishing
それは売名行為だ。|それは ばいめいこういだ|That's just a cheap publicity stunt
舌なめずり|したなめずり|To lick ones lips
残虐|ざんぎゃく|cruelty; brutality
自己顕示欲|じこけんじよく|person who craves the limelight
芋づる接続|づるいもづるせつぞく|daisy chain connection
広角|こうかく|wide-angle
はなはだしい|はなはだしい|Excessively
交ざる|まざる|mix, mingle with (err, yes, AGAIN. At least iknow is so nearly finished, 15 to g
一対一|いちたいいち|One-to-one
塩基性|えんきせい|Alcaline ( opposite of acidic )
没落|ぼつらく|Ruin / Fall / Collapse
本末転倒|ほんまつてんとう|Misplace ones priorities / Attent to less important matters / Putting the cart b
一興|いっきょう|Amusement / Brief entertainment / fun
打ち上げる again|ちうちあげる|Can also mean "to wash up ashore" (Cloud!)
打ち噛ます|うち かます|To punch hard / to strike the face (from sumo)
上程|じょうてい|Introducing a bill (politics) / presentation / departure on a journey
博打|ばくち|Gambling
纏う|まとう|To put on / To wear / To be clad in
青息吐息|あおいきといき|deep distress
買いだめ|かいだめ|Hoarding
貧乏ゆすり|びんぼうゆすり|shaking one's legs (usu. unconsciously), tapping one's foot, fidgeting (of the l
熱唱|ねっしょう|singing enthusiastically
殺人鬼|さつじんき|bloodthirsty killer, cold-blooded murderer, homicidal maniac
屋外|おくがい|Outdoors
やたらと|やたらと|At random / Indiscrimately / Recklessly / Excessively
天邪鬼|あまのじゃく|It means someone who just does the opposite of what someone says, kind of in a m
神妙|しんみょう|Meek / Faithful / Quiet
はめ込む|はめ こむ|To insert / To set / To plug in (to a formula)
帰化|きか|Naturalization
枯渇|こかつ|Drying up / Running dry / Becoming exhausted
標準偏差|ひょうじゅんへんさ|Standard Deviation
感銘を受けました|かんめいを うけました|I was impressed
女将|おかみ|proprietress of a traditional Japanese inn or restaurant; landlady; hostess; mis
劈く|つんざく|to break; to tear; to pierce; to split; to burst
粉飾|ふんしょく|embellishment (e.g. of a story, accounts! )
壮年|そうねん|prime of life
張子 / 張り抜き / 張りぼて|はりこ  はり ぬき  はりぼて|papier mâché
階下から微かな音が聞こえた。|かいかから かすかな おとが きこえた|I heard a faint sound from downstairs.
似せる|にせる|imitate, model after
争点|そうてん|Issue
彼女の抱負は室内装飾家になることです。|かのじょの ほうふは しつないそうしょく かになることです|She has aspirations to become an interior decorator
手に乗る|てに のる|To be fooled by something / To be taken in
具現|ぐげん|Incarnation / Embodiment / Avatar
車線|しゃせん|Traffic lane
このブラウスは化繊です|このは かせんです|This blouse is made of synthetic fibers
旅団|りょだん|Brigade (umio brigade in FF14)
二足の草鞋|そくの わらじ|Many irons in the fire / Engaged in two trades at the same time / Wearing two ha
彼女は会計主任です。|かのじょは かいけい しゅにんです|She is an account manager.
