羨望|せんぼう|envy
賛辞|さんじ|eulogy; compliment
厭う|いとう|to be loath to; to balk at (doing); to grudge (doing); to spare (oneself); to be
がたがた|がたがた|Rattle
待ち遠しい|ちまちどおしい|just can't wait for, long for
や否や|や いなや|Verb Inf. non-past ＋　やいなや 　&quot;the moment;as soon as,&quot;Just right after --
音信不通|いんしんふつう|Break in contact, having no communication with
奪い合う|いうばいあう|To scramble for / To struggle for
事前に調べる|じぜんに しらべる|Examine beforehand
業務上|ぎょうむ じょう|Job related / In the course of ones work
公布　（する）|こうふする|To proclame / announce officially
最前列|さいぜんれつ|Front row
獣道|けものみち|Animal trail
総員|そういん|All the members / All hands / The entire strength
憂い|うい|Unhappy / Sad / Gloomy
途方に暮れる|とほうに くれる|To be at a loss / not know what to do / at wits end / perplexed / lost
大臣の答弁は簡潔で分かりやすかった|だいじんの とうべんは かんけつで わかりやすかった|The ministers answer was concise and comprehensible
以下の一節は有名な寓話からの引用です。|いかの いっせつは ゆうめいな ぐうわからの いんようです|The following passage is a quotation from a well-known fable
縁がなく|えんがなく|have no relation to; have no luck with; not be fated to (get the job at the bank
捻出|ねんしゅつ|1. managing (to raise funds, find time, etc.), contriving, scraping together (mo
肥満|ひまん|Obese / Overweight
漢和|かんわ|Chinese and Japanese
味醂|みりん|mirin; type of sweet rice wine used in cooking
手間取る|てまどる|To meet unexpected difficulties / to take time / to be delayed
流言|りゅうげん|groundless rumor
又もや|またもや|1. once again, yet again2. 再次, 一遍, 再度
門戸開放政策|もんこかいほうせいさく|Open door policy
頻繁に|ひんぱんに|Frequently / Incessantly (tell Japanese girls that they love them!)
源|みなもと|Source / Origin
定評|ていひょう|Established Reputation / Acknowledged authority (on some software etc)
山積み|やまづみ|Huge mound / Heap / Pile
白を切る|しろを きる|To feign ignorance / to pretend to be ignorant of
苦渋|くじゅう|Bitterness / Difficulty in understanding / distress
落とし前|としおとしまえ|money paid to settle a fight
被害妄想|ひがいもうそう|persecution complex; paranoia
紙片|しへん|piece (scrap, bit, strip) of paper
衝動|しょうどう|impulse, impetus, urge
泳がせる|およがせる|to let someone swim, to let someone go free
昼夜|ちゅうや|昼と夜
己|おのれ|One-self, thyself
仕事の見通しがたたない。|しごとの みとおしがたたない|There's no end in sight to my work.
本の|ほんの|Mere / Only / Just
屋根が雨漏りしている|やねが あまもりしている|The roof is leaking
通ずる|つうずる|Lead to
家捜し|やさがし|&nbsp;(1) (esp. やさがし) searching an entire house; (2) (esp. いえさがし) house-hunting
香しい|かぐわしい|sweet-smelling; scentful; fragrant
人知|じんち|human intellect; knowledge
冶金|やきん|metallurgy
ピカイチ||outstanding; standing out above the rest
内政|ないせい|domestic affairs (in politics); internal administration
とげ抜き|とげ ぬき|tweezers, forceps
くさび形|くさび がた|wedge shape
食べ物でむせる|べたべものでむせる|Swallow food the wrong way
暢達|ちょうたつ|Fluency / Facileness
肉をたらふく食う|にくをたらふく くう|to eat heartily of the meat
利権|りけん|interest, rights, concession
ぐにゃり|ぐにゃり|flabbily, softly, limply, easily (bend), effortlessly, flexibly, mushily
雲隠れ|くもがくれ|vanishing behind the clouds (e.g. of the moon), suddenly disappearing, going int
人種主義|じんしゅしゅぎ|Racism
応じる (iknow)|おうじる|Answer / Comply with
突然の質問にどきっとしたよ。|とつぜんの しつもんにどきっとしたよ|I was taken aback by the sudden question.
笑止千万|しょうしせんばん|Highly ridiculous / Quite absurd
題する|だいする|To be titled / To be named
既出|きしゅつ|Something previously covered (eg topic, question)
同業者|どうぎょうしゃ|Person in the same business / the profession / the trade
これは破天荒の快挙である|これは はてんこうの かいきょである|This is an unparallelled undertaking
酔眼朦朧|すいがんもうろう|one's eyes blurred from drinking; with drunken eyes; dazed by wine
