使い走り|いつかいはしり|running errands
角笛|つのぶえ|horn (instrument; made of animal horn), bugle, hunting horn
小刀|こがたな|ナイフ
付く|つく|To stick / adhere
宛名|あてな|Name of recipient / addressee
聡明（な）|そうめいな|Wise / Sensible / Intelligent
高尚|こうしょう|High / Noble / Refined / Advanced
隔離する|かくりする|To isolate / quarantine
時価総額|じかそうがく|market capitalization; market capitalisation; market cap
戦勝を祝う祝賀会が開かれた。|せんしょうを いわう しゅくがかいが ひらかれた|Ceremonies were held to celebrate victories
声高|こわだか|With a loud voice
彼は陳腐な言い訳ばかりしている|かれは ちんぷな いいいわけばかりしている|He is always giving worn-out excuses
さぞかし|さぞかし|certainly; surely
酒代|さかだい|alcohol expenses
優れる|すぐれる|To surpass / outstrip / excel
荒らす|あらす|To damage / ransack
出題する|しゅつだいする|To make an examination question
カップルがべたべたしているね。|がべたべたしているね|That couple are inseparable.
焼き餅|きやきもち|Another word for "jealous" - not 嫉妬 (zettai kareshi)
着服|ちゃくふく|Embezzlement / Pocket / Appropriate
釣り上げる|りつりあげる|To raise / to artificially raise prices / to suspend&nbsp;
彼女はえくぼが可愛い|かのじょはえくぼが かわいい|Her dimples are cute
振りほどく|ふりほどく|to shake and untangle, to shake free from
適温|てきおん|Suitable Temperature
蒸発する|じょうはつする|Evaporate / Vaporization / Disappearance
それとなく飯田に聞いてみたらどう。|それとなく いいだに きいてみたらどう|Why don't you ask Iida about it indirectly (lit., without making the intention o
恨めしい|うらめしい|Reproachful / Hateful / Bitter
全権|ぜんけん|Full authority
名義|めいぎ|Name / Title
換気扇|かんきせん|Ventilation fan
私は昼下がりの散歩が好きです|わたしは ひるさがりの さんぽが すきです|I like to take a stroll in the mid afternoon
受け止める　２|けうけとめる|also "to accept / to come to grips with, to react to, take take (advice)" in add
達者|たっしゃ|in good health; healthy; well; robust; strongskilled; clever; proficient
思いもよらない|おもいもよらない|unexpected, unforeseen, inconceivable
吸収|きゅうしゅう|Absorption / Suction / Attraction
荒野|あらの|Wild / Wilderness / Wasteland
会長|かいちょう|President / Chairman
破談|はだん|To break off / cancel (an engagement to be married say)
手厳しい|てきびしい|Severe / Harsh (demanding?)
住居跡|じゅうきょあと|Site of a (prehistoric) settlement
猛威|もうい|Fury / Power / Menace
一挙手一投足|いっきょしゅいっとうそく|Slight effort / Least trouble / Small amount of work
一枚岩|いちまいいわ|monolith; large slab of rock (in this context, was "not all united", "not all to
系統|けいとう|System / Lineage
日本は列島です。|にっぽんは れっとうです|Japan is an archipelago.
彼は真夜中に帰ってきたの。|かれは まよなかに かえってきたの|He came back at midnight.
婚約破棄|こんやくはき|Breaking off an engagement
和む|なごむ|To calm down / To be softened
いささか|いささか|Somewhat / Slightly / Rather
彼は特異な才能を持ち主です|かれは とくいな さいのうを ちもちぬしです|He has an unusual talent
予知|よち|Foreknowledge / Prediction / Foresee
凋落|ちょうらく|Decline / Fall / Decay / Withering
尼が着る法衣|あまが きる ほうえ|a clerical robe worn by a nun
能無し|のうなし|incompetent, no-talent, worthless person, dimwit, incompetence
変装|へんそう|Disguise / Camouflage
ゴツい|い|Rough / Sturdy / Strong
