短刀|たんとう|Short sword / Dagger
家族構成|かぞくこうせい|Family structure
縁組|えんぐみ|Wedding / Marriage / Alliance
私服警官が終始大統領の身辺を固めていた|しふくけいかんが しゅうし だいとうりょうの しんぺんを かためていた|The private detectives accompanied the President everywhere
血塊|けっかい|Blood clot
応援する|おうえんする|Aid / assistance / reinforcement / rooting for
戸数|こすう|Number of households
窺う|うかがう|To peep (through) / To examine (covertly)
失脚|しっきゃく|losing one's position; losing one's standing; falling (from power); being overth
ストレスが溜まった時は酒を飲まないではいられない。|が たまった ときは さけを のまないではいられない|When I get stressed I can't help but drink sake .
ウツボ||Eel (moray)
開口一番|かいこういちばん|The first thing one says after opening their mouth
力試し|ちからだめし|Quiz / Test of strength (at back of CCNA book..)
汚水|おすい|Drainage / Sewage / Slop
武勇伝|ぶゆうでん|Martial story (Cloud has many of them)
流布|るふ|Circulation / Dissemination
一重|じゅう|one layer; single; onefold
巧言を用いる|こうげんを もちいる|To flatter
次善|じぜん|second best
汗ばむ|あせばむ|to be sweaty
塞がる|ふさがる|be closed up, be blocked
論破|ろんぱ|Refute
緯度|いど|Latitude
ずっしり|ずっしり|heavily; profoundly
特ダネ|とく|exclusive news, scoop
高祖父|こうそふ|great-great-grandfather
凌ぐ|しのぐ|1. to endure, to keep out (e.g. rain), to stave off (e.g. starvation)2. to pull 
吊し上げる|つるし あげる|1. to hang up, to hoist2. to denounce, to subject someone to a kangaroo court
解散する|かいさんする|To dissolve / disband / break up
背伸びする|せのびする|Reach up / Standing on tiptoe / stretch oneself
断面|だんめん|Cross section
急場しのぎ|きゅうばしのぎ|tiding over a difficult situation, stopgap, quick fix
母がよそ行き用の服を買ってくれた|ははがよそ いき ようの ふくを かってくれた|My mother brought some nice dress clothes for me
大枚|たいまい|Large sum (of money)
もごもご|もごもご|mumbling; chewing one's words
半ば|なかば|Middle - ４０代半ばに　ー　In One's middle forties
協定 NOT 仮定|きょうてい|紛争・競争などを避けるため、協議して取り決めをすること国家間の文書による合意。条約の一種であるが、条約ほど厳格な形式をとらないarrangement; pact
駆けつける|かけつける|To come running / To rush someplace
闘争|とうそう|Conflict / Strife
白髪は普通増えこそすれ、減ることはない|はくはつは ふつう ふえこそすれ へることはない|Normally gray hair never decreases, it only increases (増えることはあるが、絶対に)
訴求力|そきゅう りょく|appeal (e.g. of an advertisement)
野原|のはら|Field
拘禁　（する）|こうきんする|Restrain / Detain / Inprison
特集|とくしゅう|To feature (eg newspaper) / Special edition / Report
地層|ちそう|Stratum / Geological formation / Layer / Bed
抜刀|ばっとう|Drawing a sword / Drawn sword
功労者|こうろうしゃ|person who has rendered distinguished service
招聘|しょうへい|(1) (courteous) invitation; call; (vs) (2) to invite (with the utmost courtesy, 
屈する|くっする|To yield / give in / be daunted
劣化|れっか|Degregation
薄のろ|うすのろ|Simpleton / Half wit / Fool
明察|めいさつ|Insight / Intellectual Acumen
先達|せんだつ|Guide / Leader / Pioneer
帯電|たいでん|electrification
ガタ落ち|がたおち|sharp drop; plunge; nosedive; slump; (value or amount) plummeting
横倒し|よこだおし|falling over, toppling sideways
物騒|ぶっそう|dangerous, unsettled, troubled, disturbed, insecure
関係がこじれる|かんけいがこじれる|A relationship gets complicated
一式|いっしき|Complete set / All / Everything
ずらす|ずらす|To shift / To slide (something away from something else, in this case a trap doo
怒鳴り出す|どなり だす|To start shouting
染料|せんりょう|Dyes
駄弁を翻弄する|だべんを ほんろうする|talk rubbish
右に出る者はない|みぎに でる ものはない|being second to none, being in a league of one's own
読解|どっかい|Reading comprehension
設備投資|せつびとうし|Capital investment / Investment in plant and equipment
無情|むじょう|Heartlessness / hardness / cruelty / ruthless
所長|しょちょう|chief; head (of an office, of a laboratory)
浅ましい|あさましい|Shameful / Sordid
模範|もはん|role model
枷|かせ|Shackles / Handcuffs (metaphorical?)
貼り付く|はり つく|To cling to
能動|のうどう|Active / Opposite of passive
激高|げっこう|excitement; exasperation; indignation; rage
汚辱|おじょく|disgrace, humiliation, insult
声変わり|こえがわり|change of voice (during puberty), break of voice
固まる|かたまる|To harden
もちろん利潤は生産費を上回るべきです。|もちろん りじゅんは せいさんひを うわまわるべきです|Benefits of course should exceed the costs
ミセス||Married women
電子書籍|でんししょせき|ebook, e-book, electronic book, digital book
組合|くみあい|Association / Union
懸命|けんめい|Eargerness / Risking ones life (?)
助産師|じょさんし|Midwife / Maternity Nurse
気に食わない|きに くわない|Unable to stomach / Sticking in ones throat
彼は兵役を免除されている。|かれは へいえきを めんじょされている|He is exempt from the military service
鎖国|さこく|National isolation
タンポポが風にふわりと漂っている|が かぜにふわりと ただよっている|The dandelion seeds float on the wind
締切時間が刻一刻と追ってくる|しめきり じかんが こくいっこくと おってくる|The deadline time approaches minute by minute
修行|しゅぎょう|Training / Discipline / Study
唆す|そそのかす|To instigate / To tempt
過疎|かそ|Depopulation
彼は何も知らないと惚けた|かれは なにも しらないと とぼけた|He pretended not to know anything
先延ばしにする|さきのばしにする|to delay, to put off, to procrastinate
入れ墨|れいれずみ|Tattoo
