一礼|いちれい|Bow (salute, greeting)
退役|たいえき|Retiring from military service
攻め落とす|めせめおとす|to take by storm (e.g. a castle); to assault; to capture; to reduce
メンヘル||mental health
包装|ほうそう|Packing / Wrapping
無理もない|むりもない|natural; understandable
集団犯罪|しゅうだんはんざい|collective guilt
独房監禁|どくぼうかんきん|Solitary Confinement
酸性雨|さんせいう|Acid rain
語族|ごぞく|Family of languages
都合が悪い|つごうが わるい|Inconvenient
破れないように袋を二重にしておきました|やぶれないように ふくろを じゅうにしておきました|I have put it into two bags to make sure it doesnt break
かき乱す|かき みだす|to disturb; to upset; to ruffle; to stir up; to mess up
報いる|むくいる|To repay / recompense / reward
うちわ|うちわ|Round paper fan
念頭に置く|ねんとうに おく|Keep X in mind / Allow for X
灌漑工事|かんがい こうじ|irrigation works
精彩|せいさい|1. brilliance, luster, lustre, colorfulness, colourfulness2. vividness, life
アクセス制御一覧|せいぎょいちらん|access control list
微塵|みじん|Particle / Atom
その犬は小さな男の子に向かって唸った。|その いぬは ちいさな のおとこのこに むかって うなった|The dog growled at a little boy
池で蛙がすいすい泳いでいた|いけで かえるがすいすい およいでいた|The frog was swimming smoothly in the pond
無心の手紙|むしんの てがみ|a begging letter
遷移|せんい|transition
助っ人|すけっ と|1. helper; supporter; second; backer2. foreign player (hired to strengthen a tea
文字盤|もじばん|dial (on timepiece, meter, etc.)
兆候|ちょうこう|Symptom / Sign / Indication
楽観的（な）|らっかんてきな|Optimistic
巨根|きょこん|Large penis (lit: giant root)
排出抑制|はいしゅつよくせい|Emissions control
流動食|りゅうどうしょく|liquid food (diet)
農家|のうか|Farmers House
晩餐|ばんさん|Dinner
言い習わし|いいいならわし|idiom; set phrase; habit of speech; saying
無機物|むきぶつ|inorganic substance
助役|じょやく|Deputy mayor / Assistant stationmaster
自腹を切る|じばらを きる|To pay for with your own money
網羅|もうら|Comprising / Including / Covering / Encompassing (1140 industries, that stupid J
髪をとかす|かみをとかす|To comb (ones hair)
嘆かわしい|なげかわしい|sad / wretched / deplorable
難読化|なんどくか|obfuscation (of source code)
特技|とくぎ|Special Talent / Skill
順々に|じゅんじゅんに|By turns / in order (there are lots of these...)
凄まじい|すさまじい|Awful / Fierce / Tremendous / おそろしい
音程|おんてい|Musical Interval / Step
寄生虫|きせいちゅう|Parasite
優先順位|ゆうせんじゅんい|Priority / Order of precendence
拡大縮小|かくだいしゅくしょう|Scaling / Zooming
突っ伏す|っつっぷす|To fall on ones face&nbsp;
手応え|てごたえ|Response / Reaction / Feedback / Resistance
駈ける|かける|(1) to run (race, esp. horse); to dash; (2) to gallop (one's horse); to canter (
守旧|しゅきゅう|conservatism
教科|きょうか|Subject / Curriculum
適応|てきおう|Adaptation / Adjustment
道路標識|どうろひょうしき|Road sign / Signpost
クーデター||A coup / coup d'etat
仔細に|しさいに|In detail / Closely / Minutely
娶る|めとる|to marry (a woman); to take to wife; to take in marriage
黙秘権|もくひけん|Right to silence
蚕食|さんしょく|Enroach / Make inroads (silk character)
尻取り|しりとり|Kanji for shiritori game
言い伝え|いいいつたえ|Legend / Tradition
やり取り|やり とり|Giving and taking / Arguing back and forth / Conversational exchange
不可思議|ふかしぎ|Mystery / Wonder / Miracle / Unfathomable
体内時計|たいないどけい|Biological Clock
些事|さじ|Something small or petty / Trifle
内装|ないそう|Interior design / Interior / Upholstery
経済界の大御所にご助力を願った。|けいざいかいの おおごしょにご じょりょくを ねがった|We asked for assistance from a powerful figure in the financial world.
藪から棒に|からやぶからぼうに|Unexpectedly / out of the blue
その足で|その あしで|straight (from one place to another), going right onto, on the way, simultaneous
遣る瀬無い|やる せ ない|Disconsolate / Sad / Miserable
嗜む|たしなむ|To have a taste for / To be fond of / To have an interest in
風が凪いだ。|かぜが ないだ|The wind has fallen
大見得を切る|おおみえを きる|to declare impressively
盛り上げる|りもりあげる|To build up excitement
梅雨明けは来週だそうです。|つゆあけは らいしゅうだそうです|I heard that the rainy season will be over next week.
身を投じる|みを とうじる|To throw oneself (into an activity)
古臭い|ふるくさい|Old fashioned / Out of date / Obsolete
軍縮|ぐんしゅく|Disarmament / Limitation of arms
彼は明治維新からとき起こした|かれは めいじいしんからとき おこした|He began his lecture with the Meiji Restoration
長い間待たされるのは誰でもいやだ|いながいあいだ またされるのは だれでもいやだ|Nobody likes to be kept waiting a long time
集中豪雪|しゅうちゅう ごうせつ|Local snow (weather)
議案|ぎあん|Legislative bill
蹌踉ける|よろける|To stagger / To stumble
獲物|えもの|Spoils / Trophy / Game
網|あみ|Net
質疑応答を行う|しつぎおうとうを おこなう|To hold a question and answer [session]
彼の食べ方は本当においしそうだ。|かれの べたべかたは ほんとうにおいしそうだ|The way he eats makes it look as though the food tastes really good.
彼はいつも穏健な意見を述べる|かれはいつも おんけんな いけんを のべる|He always expresses moderate opinions
斬首|ざんしゅ|Another for "decapitated head" / decapitation / beheading
試算|しさん|trial calculation; preliminary calculation
釣られる|つられる|To get hooked on / to be attracted / to be lured
火急|かきゅう|Emergency / Urgency
眼差し|まなざし|A look (that the mage is evil!)
はぐらかす|はぐらかす|To dodge / To evade / To give the slip (to not answer the question)
彼は遠距離通勤をしています|かれは えんきょり つうきんをしています|He is commuting a long distance
かりそめの恋|かりそめの こい|transient love
施錠|せじょう|locking
負のZ軸|まけの  じく|Negative Z axis
一件|けん|Matter / Item / Case
握力|あくりょく|Grasping power
能弁|のうべん|Eloquence / oratory
懇切|こんせつ|Kindness / Cordiality
その事実を心の銘記せよ|その じじつを こころの めいきせよ|Fix the fact in your mind
欠如|けつじょ|A shortage
書籍|しょせき|Another word for &quot;Book / Publication&quot;
著述家|ちょじゅつか|Writer (of publications and stuff, about hackers apparently)
登校拒否|とうこうきょひ|Truancy
固定長|こていちょう|fixed length (e.g. array, block)
すんわち|すんわち|That is to say / In other words / Namely
日払い|ひ ばらい|daily wages; payment by the day
山水画|さんすいが|landscape picture
手を入れる|てを いれる|1. to correct, to touch up, to smarten up2. to put one's hand in (e.g. pocket)
技|わざ|Skill
運転資金|うんてんしきん|Working capital
処女膜|しょじょまく|Hymen
足を摩る|あしを さする|Rub ones legs
建造物|けんぞうぶつ|(building) Structure
画像認証|がぞうにんしょう|Verification by image (eg CAPTCHA)
値札|ねふだ|price tag, price label
手柄話|てがらばなし|boastful story, big talk
敵対する|てきたいする|To antagonize
地の果て|ちの はて|End of the earth (expression, follow to end of earth etc)
暴動|ぼうどう|Riot / Disturbance
障壁|しょうへき|Enclosing Wall / Barrier
根掘り葉掘り|りねほりはほり|Thoroughly / Persistently / Through and through
僥倖|ぎょうこう|Fortuitous / Luck / Windfall / Good fortune
獰猛|どうもう|ferocious; fierce; truculent; savage
未定（の）|みていの|Uncertain / Pending / Undecided
私は趣味と実益を兼ねてイラストを描いています。|わたしは しゅみと じつえきを かねてを えがいています|I draw illustrations professionally and as a hobby.
然るに|しかるに|However / Still / But
焦心苦慮|しょうしんくりょ|Worrying about / Being anxious about
彼女はピアノでバイオリン独奏の伴奏をした。|かのじょはで どくそうの ばんそうをした|She played the piano accompaniment for a violin solo
給油船|きゅうゆせん|(oil) tanker
紺|こん|Navy Blue
目を伏せる|めを ふせる|To cast down ones eyes
後輩|こうはい|junior fellow
どこからともなく|どこからともなく|Out of thin air...
鶴嘴|つるはし|Pickaxe
救援|きゅうえん|Relief / Rescue / Reinforcements
素粒子|そりゅうし|Elemntary particle / Particle (physics)
今彼は人生の過渡期にいる|いまかれは じんせいの かときにいる|Hes undergoing one of lifes transitions now
三つ子|つみつご|Triplets
若い娘には慎みが似つかわしい|わかい むすめには つつしみが につかわしい|Modesty is befitting to a young girl
形而上|けいじじょう|Metaphysical
硬貨|こうか|Coin
流行　（二番目の読み方）|りゅうこう にばんめの みよみかた|fashion, trend (2nd reading)
映し出す|しうつしだす|To project / To reflect
びくともしない|びくともしない|Unperturbed / Not giving an inch
挙手 （する）|きょしゅする|Show of hands&nbsp;&nbsp;/ raise hand
公益|こうえき|Public Welfare / Common Good
法則|ほうそく|Law / Principle / Theorem / Rule
肩越し|かたごし|Over ones shoulder
交通費は銘々払ってください|こうつうひは めいめい はらってください|Please pay the fare individually
急降下|きゅうこうか|swoop; nose dive
談話室|だんわしつ|lounge
故意に|こいに|Deliberately / Intentionally
略す|りゃくす|Verb for abbreviate, omit
一期一会|いちごいちえ|Once in a lifetime encounter (should be cherished as such)
彼は厳しく質問されて口ごもった|かれは きびしく しつもんされて くちごもった|He hemmed and hawed when he was questioned harshly
進退問題|しんたいもんだい|A question of whether or not someone should resign
北天|ほくてん|northern sky
活気|かっき|Vigour / Life
表としたら|ひょうとしたら|Perhaps (not あるいは、 quite common phrase)
清貧|せいひん|Honourable poverty
取り寄せる|りとりよせる|To send for / To order X
仰け反る|けのけぞる|To bend (backward) / To throw (the head) back / To be taken aback (after hit by 
彼は先生に歯向かった|かれは せんせいに はむかった|He defied the teacher
戦渦|せんか|Chaos of war / War turmoil
女王の訪問を見越して展示会が開催された。|じょおうの ほうもんを みこして てんじかいが かいさいされた|An exhibition was given in anticipation of the Queen's visit
とんずら|とんずら|fleeing; escape
火災報知機|かさいほうちき|fire alarm
不承不承|ふしょうぶしょう|Unwillingly / Reluctantly
近視|きんし|Nearsightedness / shortsightedness
その選手はハードルに足を引っ掛けたんだ。|その せんしゅはに あしを っひっかけたんだ|The athlete caught his foot on the hurdle.
爆裂|ばくれつ|exploding
麻雀|まーじゃん|mahjong
カチカチ||Hard / Solid (4 doubler)
風邪をこじらせる|かぜをこじらせる|To aggravate a cold
コップを濯ぐ|を すすぐ|To rinse a glass
機動|きどう|movement / Maneuvre
外出する前に髪を櫛でときなさい。|がいしゅつする まえに かみを くしでときなさい|Comb your hair before you go out
着衣|ちゃくい|1. clothes (that one is wearing)2. wearing clothes
黎明期|れいめいき|Dawning (new era? ARPAnet etc)
受信|じゅしん|Reception (eg of a radio)
粋がる|いきがる|To be stylish / To try to appear smart
日向ぼっこ|ひなたぼっこ|Basking in the sun
束の間|つかの ま|Moment / Brief time
燃費から言ってこの車は非常に経済的だ。|ねんぴから いってこの くるまは ひじょうに けいざいてきだ|In terms of gas mileage, this car is extremely economical.
襖を閉めてください|ふすまを しめてください|Please close the sliding door
ころころ|ころころ|Changes frequently / Rolls around
接合|せつごう|union; joining
退行テスト|たいこう|regression test
貧富の差|ひんぷの さ|Gap between the rich and the poor
脅迫罪|きょうはくざい|Intimidation (the crime of?)
まんまとこちらの計略に引っかかった|まんまとこちらの けいりゃくに ひっかかった|They were completely taken in by our scheme
胃潰瘍|いかいよう|stomach ulcer, gastric ulcer
録音 （する）|ろくおんする|Recording / To record
絹|きぬ|Silk
無造作|む ぞうさく|Casual / Careless / Off-hand
立ち塞がる|ちたちふさがる|To stand in ones way (...again)
加わる|くわわる|To join in
祈願する|きがんする|Hoping and Praying
この木の根はとても太いな。|この のきのねはとても ふといな|The roots of this tree are very thick.
教本|きょうほん|Textbook / Manual
告示|こくじ|Bulletin / Notice
ニヤリと|と|Broadly grinning
後を絶たない|ごを たたない|Never ceasing / Never ending / endless
小川|おがわ|Brook / Stream
審判|しんぱん|Judge / Referee / Umpire
米国連邦準備銀行は金利を引き下げました。|べいこく れんぽうじゅんびぎんこうは きんりを きひきさげました|The Federal Reserve slashed interest rates
政|まつりごと|Government / Rule
主教|しゅきょう|Bishop
自ずと|おのずと|naturally, in due course, by itself, of its own accord
許嫁|いいなずけ|Fiance (from 花より男子)
優越感|ゆうえつかん|Superiority complex / Sense of superiority
免れる|まぬかれる|To escape from / To be rescued from / to evade
飛び石|びとびいし|Stepping-stones
拙宅|せったく|Ones home / Ones humble abode
橋頭堡|きょうとうほ|bridgehead; beachhead (place to fight? ff14)
怖気付く|おじけづく|To lose ones nerve / to be seized with fear (when speaking Japanese?)
快諾する|かいだくする|To willingly consent to X
乗り切る|りのりきる|To weather / To get over / To get through
どでかい|どでかい|Huge / Gargantuan
交響曲|こうきょうきょく|Symphony
面|めん|Face
大雨で川の水かさが増しているな。|おおあめで かわの みずかさが ましているな|The river swells because of the downpour.
腕をぎゅっと掴む|うでをぎゅっと つかむ|To grip arm tightly
頼み込む|みたのみこむ|To request earnestly
肉薄|にくはく|Come close to / Closing in upon / Pressing hard (on the enemy)
分娩室|ぶんべんしつ|maternity room, delivery room
跳ねる|はねる|leap, bounce
導入|どうにゅう|Introduce
眠剤|みんざい|Sleeping pills
のなんのって　Grammar|のなんのって|Very X, Extremely X, It was so X that ...
彼女は結婚式で花嫁の付き添い役をつとめた。|かのじょは けっこんしきで はなよめの きいつきそいやくをつとめた|She was a bridesmaid at the wedding
寝ずの番|ねずの ばん|night watch, night watchman
降参する|こうさんする|Surrender
霧|きり|Fog / Mist
廃れる|すたれる|To become obsolete / go out of use
正真正銘の|しょうしんしょうめいの|The one and only / Real / Genuine (the drama fairy)
壮大|そうだい|Grand / Magnificent / Majestic
華々しい|はなばなしい|Brilliant / Magnificent
身体言語|しんたい げんご|Body Language
真夜中|まよなか|Middle of the night
お構いなしに|お かまいなしに|Regardless of X
青姦|あおかん|Sleeping under the stars / having sex outdoors
自然治癒|しぜんちゆ|Self healing
見晴らす|みはらす|Overlook / Look out over
革命|かくめい|Revolution
不意を突く|ふいを つく|To take by suprise
口止め|くちどめ|Hush up
警備|けいび|Policing / Security / Guarding
