驚異|きょうい|Wonder / Miracle
鳳凰|ほうおう|Chinese firebird, Chinese phoenix
急場|きゅうば|Emergency / Crisis
頑丈|がんじょう|Another word for solid, strong
割り箸|りわりばし|disposable chopsticks
掻き分ける|きかきわける|To push ones way through
撃沈する|げきちんする|To be rejected by a woman
秘密保持契約を結んでいるから詳細は書けない|ひみつほじけいやくを むすんでいるから しょうさいは かけない|because signed NDA cannot write more details
此度|こたび|&nbsp;this occasion; at this time; now
エコー検査|えこーけんさ|ultrasound scan
国防のため大きな額が計上された。|こくぼうのため おおきな がくが けいじょうされた|A considerable amount of money was appropriated for the national defense.
放射線学|ほうしゃせんがく|radiology
押し合い圧し合い|おし あい へし あい|pushing and shoving, jostling, hustling
明日はどうやら雨らしいよ。|あしたはどうやら あめらしいよ|It looks like it's going to rain tomorrow.
吹き替えする|きふきかえする|Dubbing / To dub (Lagunas lines)
ちょくちょく|ちょくちょく|Now and then
瞳孔|どうこう|Pupil (of eye)
コンサートの前売り券を手に入れたんだ。|の りまえうりけんを てに いれたんだ|I got an advance ticket for the concert.
非営利|ひえいり|Non profit / Non commercial
デマ||False rumour / Groundless rumour
彼は子供を脇に抱えている|かれは こどもを わきに かかえている|He is carrying the child under his arm
逆説|ぎゃくせつ|paradox
早出|そうしゅつ  はやで|1. early arrival (at work), reporting early for work, taking an early shift2. le
怠る|おこたる|To fail or neglect something
栃木県|とちぎ けん|Tochigi-ken
流通|りゅうつう|circulation, distribution
手強い|てづよい|Difficult / Tough / Stubborn
首筋|くびすじ|Nape of neck / Back of the neck / Scruff of neck
岸壁|がんぺき|Rock cliff / Rock face&nbsp;
木の葉がそよ風にゆれている|のこのはがそよ かぜにゆれている|The leaves flutter in the breeze
押っ死ぬ|おっ しぬ|Drop dead
完全母乳|かんぜんぼにゅう|feeding an infant solely with breast milk (i.e. no formula)
複数形|ふくすうけい|The plural form
海峡|かいきょう|Channel / Straits
創設者|そうせつしゃ|The founder (of, say, wikipedia)
事切れる|こときれる|To expire / To die
総合テスト|そうごう|Integrated testing
照りつける|てりつける|To blaze down on / To beat down on / To shine down upon (the sun!)
趨勢|すうせい|Tendency / Trend
野放しにする|のばなしにする|leaving something to take care of itself / to leave unregulated / to leave at la
投光器|とうこうき|floodlight; floodlight projector
職務経歴書|しょくむけいれきしょ|Resume showing career and job history
臍繰り|へそくり|Secret savings / Stash
伏す|ふす|To bend down / To bow down
一肌脱ぐ|ひとはだぬぐ|To pitch in and help
豊穣|ほうじょう|Good harvest / Abundant crop
斬新|ざんしん|Novel / Original / Newness
金メッキ|きん|gilding; gold plating
見舞金|みまい きん|present to a person in distress; condolence money; gift of money in token of one
ノコノコ||恥ずかしげもなく - (Shamelessly) doubler
彼女の態度は冷ややかでした|かのじょの たいどは ひややかでした|Her attitude was cold
攻め入る|せめ はいる|To invade
先導する|せんどうする|To lead the way / lead
王妃|おうひ|Queen
党首|とうしゅ|Head of (political) party
精鋭|せいえい|Elite / Picked / Powerful
高官|こうかん|High official
委任|いにん|To entrust
仇敵|きゅうてき|Bitter enemy
曲がりくねる|まがりくねる|To bend many times / to turn and twist / to zigzag
提灯記事|ちょうちんきじ|puff piece (in a newspaper, etc.), flatteringly exaggerated article, sycophantic
自首する|じしゅする|Surrender / Turn oneself into the police
禿げる|はげる|To lose hair
栄転|えいてん|Promotion (at work?)
三乗根|さんじょうこん|{math} cube root
事件性|じけん せい|criminal nature; criminality
引き摺り込む|きりひきずりこむ|to drag in, to pull in
彼の日々の振る舞いは彼の主義主張と合致していない。|かれの ひびの るふるまいは かれの しゅぎしゅちょうと がっちしていない|His daily behavior is not consistent with his principles
捕鯨|ほげい|Whaling / Whale fishing
求心力|きゅうしんりょく|Centripetal force / cohesive power / unifying force
いかがわしい|いかがわしい|Suspicious / Dubious
包み|つつみ|package, parcel
足跡を辿る|あしあとを たどる|To track footprints
究極|きゅうきょく|Ultimate / Extreme / Final / Eventual
再三|さいさん|Repeatedly / Over and over
不死身|ふじみ|Invulnerability / Immortality
末期的|まっきてき|Terminal / Decadent
聴取|ちょうしゅ|Listening / Hearing
着物をビリビリ破る|きものを やぶる|to rip up one's clothes
独り身|りひとりみ|Unmarried man or woman
季節|きせつ|Season
急落|きゅうらく|A sudden drop / slump / nose dive / plummet (stocks etc)
石器時代|せっきじだい|Stone age
捨て売り|すて うり|sacrifice sale; selling for a song; dumping
模造する|もぞうする|To imitate
彼は先生に反発していたよ。|かれは せんせいに はんぱつしていたよ|He was rebelling against the teacher.
不規則|ふきそく|Irregular
老化する|ろう かする|To age (not 老ける)
基礎控除|きそこうじょ|Basic or standard deduction
よりによって|よりによって|Of all things
折り鶴|りおりづる|Folded paper crane
チラシをこの地域の家という家に配って歩いた。|をこの ちいきの いえという いえに くばって あるいた|I delivered flyers to every single house in this area (すべての家に)
剣道の奥義を極める|けんどうの おうぎを きわめる|to be initiated into the mysteries of swordsmanship
処方箋|しょほうせん|prescription
声楽|せいがく|Singing / Vocal Music
催し|もよおし|Event / Function (not 行事 or 組み込み)
行き届く|きいきとどく|To be attentive / To be prudent / To be thorough
超小型|ちょうこがた|Ultra small
眠りこける|ねむりこける|To sleep deeply
さすがの彼もその問題には匙を投げた|さすがの かれもその もんだいには さじを なげた|As usual, hes thrown in the towel
誅殺|ちゅうさつ|Execution of a criminal
古本|ふるほん|Second hand book
人柱|ひとばしら|Human Sacrifice / Human Pillar
うんと|うんと|Hard / With effort
鉛直|えんちょく|perpendicular; upright; vertical
線条|せんじょう|line; a streak
ワクチンソフト||antivirus software
はためく|はためく|To fly, flutter (a flag)
長ける|たける|To excel at / To be proficient at&nbsp;
健康のため、適度な運動が必要です。|けんこうのため てきどな うんどうが ひつようです|Moderate exercise is necessary for your health.
かじりつく|かじりつく|To bite into / to stick to
雑務|ざつむ|Small jobs / odd jobs
