業界動向|ぎょうかいどうこう|Industry trend
正義|まさよし|Justice / Righteousness
着実|ちゃくじつ|Steady / Sure footedly
栄光|えいこう|Glory
時系列|じけいれつ|Chronological order (time sequential)
ぶゆ|ぶゆ|black fly / gnat
額（ひたいじゃなくて）|がくひたいじゃなくて|Picture Frame
直感的|ちょっかんてき|Intuitive
止す|よす|quit, stop
給水等|きゅうすい とう|Water tower
逆立ち|さかだち|A handstand / headstand
涼風|すずかぜ|Cool breeze / Refreshing breeze
一人前の医者|いちにんまえの いしゃ|a full‐fledged physician
義肢|ぎし|artificial limb
攪拌|かくはん|agitation, stirring, whipping, beating
雪礫|ゆきつぶて|snowball
復縁|ふくえん|Reconcilation with ones spouse
有段者|ゆうだんしゃ|Rank holding person / Black belt
幼稚|ようち|Childish / Infancy / Naive
見開く|みひらく|To open ones eyes
美麗|びれい|beautiful; gorgeous
河口|かこう|Estuary
機関室|きかんしつ|Engine room
長城|ちょうじょう|Great wall (Of China) / long wall
力任せに|ちからまかせに|with all one's strength; with all one's might
外政|がいせい|foreign policy; diplomatic affairs
最高裁判所は皇居の近くにある。|さいこう さいばんしょは こうきょの ちかくにある|The Supreme Court is located near the Imperial Palace
弐|に|number Two in legal documents
この町の人たちには人情があるね。|この まちの ひとたちには にんじょうがあるね|The people in this town have humanity.
収容|しゅうよう|Accommodation / Seating (how many seats in man city ground)
蒼|あおい|Blue!
配置|はいち|Deployment / Stationing / Arrangement (of resources)
オルゴール||Music box
手織り|ており|handwoven; handspun; weaving by hand
砂漠|さばく|Desert (place)
仕組み|しくみ|Construction / Arrangement (mechanism?)
漏れる|もれる|Leak / Be disclosed
過食症|かしょくしょう|Bulimia
微笑する|びしょうする|To smile
達筆|たっぴつ|Good handwriting
夜食|やしょく|supper; night meal; late-night snack; "fourth meal"; midnight snack
入門　Again|にゅうもん|Can also mean "Primer, Manual"
有事|ゆうじ|emergency
～といえども　Grammar|といえども|Means something like "even though", "even if"
そわそわ|そわそわ|Fidgety / Restless / Nervous / Uneasy
兎も角|もともかく|Kanji for tomokaku "anyway, anyhow"
玉の輿に乗る|のたまのこしに のる|To marry a wealthy man, marry into money
苦労こそあれ、介護の仕事はやりがいがある。|くろうこそあれ かいごの しごとはやりがいがある|Nursing care is worth doing even though it is very hard (苦労はあるけれど)
