神殿|しんでん|Temple / Sacred place
取り返しのつかない|りとりかえしのつかない|Cannot be undone / Can't be recovered from
毒々しい|どくどくしい|poisonous; venomous; poisonous-looking; (adj-i) (2) hateful; detestable; loathso
書類送検|しょるいそうけん|Sending documents to prosecutor / filing charges
朽ちる|くちる|To decay
時代に即した教育|じだいに そくした きょういく|education adapted to meet the needs of the times
３月３日は桃の節句だ|さんがつ にちは のもものせっくだ|March 3rd is the Peach Festival
彼は場違いな服装で現れた|かれは ばちがいな ふくそうで あらわれた|He showed up wearing inappropriate clothes
甲羅|こうら|Shell / Armor (think a turtle, 亀仙人！！)
連邦予算はかろうじて議会の承認を得た。|れんぽうよさんはかろうじて ぎかいの しょうにんを えた|The federal budget was narrowly approved by Congress
修練|しゅうれん|training; drill; practice; practising; discipline
衛生|えいせい|Hygiene / Sanitation / Public Health
発揮|はっき|Display / Exhibition / Demonstration
汎用（の）|はんようの|Multipurpose / versatile
実社会|じっしゃかい|The real world / The school of hard knocks
予算は均衡がとれていなければならない。|よさんは きんこうがとれていなければならない|The budget must be balanced
聖火|せいか|The olympic torch
でこぼこ|でこぼこ|unevenness, bumpiness
愚直は美徳です|ぐちょくは びとくです|Simple honesty is a virtue
道端に帽子が落ちていた|みちばたに ぼうしが おちていた|A hat had fallen by the roadside
彼とはちょくちょく会っています|かれとはちょくちょく あっています|I meet him now and then
気怠い|き おこたい|Languid / Listless
預言者|よげんしゃ|prophet; predictor; prognosticator;&nbsp;
なおかつ|なおかつ|besides; furthermore; on top of that; (2) (uk) and yet; nevertheless; even so
堪忍袋|かんにんぶくろ|one's store of patience
案外|あんがい|Contrary to expectation
馬鹿げた|ばかげた|Foolish / Absurd
暗闇を手探りで進みました|くらやみを てさぐりで すすみました|I went forward groping in the dark
愚民|ぐみん|ignorant people
妖怪|ようかい|Hobgoblin / Ghost / Monster
冗談も相手によりけりだ|じょうだんも あいてによりけりだ|Some people don't like jokes, you know
尚且つ|なおかつ|furthermore; on top of that
複合語|ふくごうご|Compound (sentence)
正気になる|しょうきになる|To regain consciousness
遡及的な自己正当化|そきゅうてきな じこ せいとうか|retrospective self-justification
読み返す|よみ かえす|To reread / To read again
導く|みちびく|案内する。連れて行く。
