乗馬|じょうば|horse riding
この物質は植物の成長を促進するとされる|この ぶっしつは しょくぶつの せいちょうを そくしんするとされる|This substance is believed to promote plant growth (促進すると言われる)
欲張る|よくばる|to covet; to lust for
真っ平|っまっぴら|No way / Not on your sweet life!
かくかくしかじか|かくかくしかじか|blah-blah / yadda-yadda / expression used to replace part of conversation
盲目|もうもく|Blindness
寝間着|ねまき|Nightwear / pyjamas
拍車|はくしゃ|&nbsp;(riding) spur
小走り|こばしり|Trot / Half run / Jog
思い起こす|いおもいおこす|Means 思い出す, to recall / remember
病苦|びょうく|The pain of sickness
三次元の|さんじげんの|Three dimensional (3-D)
台風で交通機関がストップしている。|たいふうで こうつうきかんがしている|Transportation has stopped because of the typhoon.
間違えることは恥ではありません。|まちがえることは はじではありません|There's no shame in making a mistake.
奇声|きせい|Give a strange voice
読書するには趣旨をくみ取ることが必要だ。|どくしょするには しゅしをくみ とることが ひつようだ|When you read a book you should read between the lines
宛先|あてさき|Address to send mail to
互換性|ごかんせい|Compatibility (software?)
非母語話者|ひ ぼごわしゃ|Non native speaker
喝采|かっさい|Acclamation / Applause / Ovation / Cheers
自習|じしゅう|Self-study
噴火　する|ふんかする|Eruption, to erupt
車は持っていると重宝なものだ。|くるまは もっていると ちょうほうなものだ|A car is a handy thing to own
失明する|しつめいする|To lose ones sight / go blind
核|かく|Core / Atomic Nucleus
乗っ取り|っのっとり|Hijack / Takeover
いち早く|いち はやく|Promptly / quickly / without delay
出し入れ|しだしいれ|deposit and withdraw; taking in and out
静止|せいし|Rest
風情|ふぜい|Appearance / Taste / Look
フード||Hood (of a coat)
彼はぶっきらぼうな性格です|かれはぶっきらぼうな せいかくです|He has a grumpy personality
言い負かす|いい まかす|to talk (a person) down; to confute
叩き潰す|はたき つぶす|to smash up; to defeat crushingly
正々堂々|せいせいどうどう|Sporting  / Clean / Play fair
思慮深い|しりょ ふかい|prudent; thoughtful; discreet
~てはならない grammar|てはならない|must not; cannot; should not
偽り|いつわり|Fabrication / Falsehood / Lie
山岳救助隊は２４時間待機している。|さんがく きゅうじょたいは にじゅうよじかん たいきしている|The mountain rescue team is on call 24 hours a day
実態は非常に混迷しています|じったいは ひじょうに こんめいしています|The situation is very confusing
含羞む|はにかむ|to be shy, to be bashful, to look shy
その運動は急速に進みつつある。|その うんどうは きゅうそくに すすみつつある|The movement is rapidly gaining ground. （つつある）
瞬時|しゅんじ|Moment / Instant
頬骨|ほおぼね|cheekbones
日除け|ひよけ|sunshade; blind
口づけ|くちづけ|Kiss
改版|かいはん|Revision / Revised edition (of Linux kernel)
その石の窪みは何年もの雨垂れのためにできた|その いしの くぼみは なん ねんもの あまだれのためにできた|The dripping rain over many years made that hole in the stone
未熟|み じゅく|Immature / Inexperienced / Unripeness
互恵条約|ごけいじょうやく|Reciprocal Treaty
何のこれしき|なにのこれしき|This is nothing
庭のバラが萎んでしまった|にわのが しぼんでしまった|The roses in the garden have withered
分捕る|ぶんどる|to capture; to seize; to plunder
印象|いんしょう|Feeling / Impression
父は、いったん寝たら最後、朝まで起きない|ちちはいったん ねたら さいご あさまで おきない|Once in bed, my father never wakes up until morning (寝たらそのあとずっと)
攻勢|こうせい|offensive (movement); aggression
自発的|じはつてき|spontaneous
酒好き|さけずき|Drinker
跡取り|あととり|Heir (to the company?)
疼く|うずく|To throb / To ache
余談|よだん|Digression (but i digress.... )
友邦|ゆうほう|friendly nation
鈍器|どんき|blunt weapon
遅刻者|ちこくしゃ|Latecomer
そんな箆棒な話があるものか|そんな べらぼうな はなしがあるものか|That's quite absurd
隣の工事がうるさくてかなわない|となりの こうじがうるさくてかなわない|I can’t stand the noise from the construction going on next door
試行|しこう|Trial run / Making an attempt
編み出す|みあみだす|To work out / To think out
飛翔|ひしょう|Flight / flying / soaring
神経|しんけい|Nerve (system/gas/cell)
兵隊|へいたい|Another word for &quot;troops / soldier&quot;
謄本|とうほん|certified copy; transcript
回路|かいろ|Circuit
あらかじめ|あらかじめ|In Advance
達成感|たっせいかん|Sense of accomplishment
戦闘員|せんとういん|Combatant
突きつける|つきつける|To thrust at / to thrust before
彼らは四方八方に逃げた。|かれらは しほうはっぽうに にげた|They fled in all directions
減量|げんりょう|Loss in quantity (used a lot talking about losing weight)
場違い|ばちがい|Out of place / Wrong place
挽肉|ひきにく|Mince / Ground meat
激怒|げきど|Exasperation / Rage / Indignation
建前|たてまえ|Official Stance / Public Position
双方|そうほう|Both parties / Two way / Mutual
気色|けしき|Disgusting / Repulsive
石灰|せっかい|Lime (stone / water)
最後通牒|さいごつうちょう|Final notice (of war from NK!)
ぼったくる|ぼったくる|To rip someone off / To overcharge / ask a high price
黙約|もくやく|tacit agreement
束縛される|そくばくされる|To be controlled (ie, in a relationship)
明示的|めいじてき|Explicit (as opposed to implicit! type conversions etc)
既刊|きかん|Already published (books etc)
防水|ぼうすい|Waterproof
その筒の中にポスターが入っています|その つつの なかにが はいっています|There is a poster inside the tube
彼女は野菜と玄米を常食としている。|かのじょは やさいと げんまいを じょうしょくとしている|She lives on vegetables and brown rice.
改まった|あらたまった|To have become formal
代数学|だいすうがく|algebra
非力な|ひりきな|Powerless / Helpless
私の家は赤い屋根が目印です。|わたしの いえは あかい やねが めじるしです|My house has a red roof that's easy to spot.
今日を限りに、この学校ともお別れです。|きょうを かぎりにこの がっこうともお わかれです|After today I'll say goodbye to this school, too.
仕様書|しようしょ|specification document
前途|ぜんと|Another word for &quot;future, outlook&quot;
彼が死んだことは言伝てに知りました。|かれが しんだことは ことづてに しりました|I heard that he'd died
話を振る|はなしを ふる|To bring up a subject / To touch on a matter
