水増し|みずまし|Dilution / Watering
逸品|いっぴん|excellent article; fine item; rare beauty; masterpiece; gem
砂岩|しゃがん|sandstone
駐輪場|ちゅうりんじょう|parking area for bicycles
散弾銃|さんだんじゅう|shotgun
受け取り|けうけとり|Receipt (another word from iknow, not 領収書 )
老いぼれる|おいぼれる|To become senile / To become decripit
居眠り運転|りいねむりうんてん|Falling asleep at the wheel
捨て台詞|てすてぜりふ|Parting shot / last words
押し売り|しおしうり|High pressure sales
観点|かんてん|Viewpoint / Standpoint / Perspective
人に会ったら、挨拶ぐらいしてほしい|ひとに あったら あいさつぐらいしてほしい|If you meet someone, I want you to at least greet them
ムラムラ||To be horny / To be turned on (4 doubler)
芳しい|かんばしい|Sweet-smelling / scentful / fragrant
考えるだに恐ろしいことだ。|かんがえるだに おそろしいことだ|Even thinking about it is scary
彼は教師になることを嘱望している。|かれは きょうしになることを しょくぼうしている|He aspires to become a teacher
超新星|ちょうしんせい|supernova
差益|さえき|Marginal profits
この空模様からすると、雨になりそうだ。|この そらもようからすると あめになりそうだ|Judging from the look of the sky, it is likely to rain.
僕はデザートを食いっぱぐれちゃった|ぼくはを くいっぱぐれちゃった|I ended up missing out on desert
心が広い|こころが ひろい|generous; broad-minded; big-hearted
父は農業のかたわら、小さい店を経営している|ちちは のうぎょうのかたわら ちいさい みせを けいえいしている|My father is a farmer and at the same time runs a small shop (farmer would be ma
楽天主義者|らくてんしゅぎしゃ|optimist
うちの猫は雄です。|うちの ねこは ゆうです|Our cat is a male.
赤らむ|あからむ|to become red; to redden; to blush
職業|しょくぎょう|Occupation
暗中模索する|あんちゅうもさくする|Groping in the dark / Exploring new avenues without having any clues
常設|じょうせつ|standing (committee), permanent (exhibit)
ドアに指を挟む|に ゆびを はさむ|To nip ones finger in the door
彼は非暴力を説きました。|かれは ひぼうりょくを ときました|He preached nonviolence.
市街|しがい|The streets / downtime
不妊症|ふにんしょう|Sterility / Infertility
自腹|じばら|Paying ones own way
この匂い、なんとかならないものか！|この においなんとかならないものか|Cant we do anything about this smell?
お世辞|お せじ|Compliment / Flattery
牧畜|ぼくちく|Livestock farming
しぶとい|しぶとい|Unyielding / Tenacious (personality)
妻子|さいし|Ones wife and child [children]
博識|はくしき|Extensive knowledge
妙技|みょうぎ|exquisite skill; wonderful performance
測量|そくりょう|measurement, surveying
ひょろける|ひょろける|to stagger; to stumble; to be unsteady on one's feet
手を振る|てを ふる|to wave one's hand
手順|てじゅん|procedure / process
