孤児院|こじいん|Orphanage
射的屋|しゃてき や|shooting gallery
感染性の|かんせんせいの|Infectious / Contagious
水銀|すいぎん|Mercury
着潰す|き つぶす|to wear out (clothing)
危機一髪|ききいっぱつ|By a hairs breath / in the nick of time / touch and go / close call
救援隊は子供をしらみつぶしに捜した。|きゅうえんたいは こどもをしらみつぶしに さがした|The rescue worker beat the area, looking for the child
邦訳|ほうやく|Translation into Japanese
腫瘍が悪性である恐れがある。|しゅようが あくしょうである おそれがある|The tumor may be malignant.
甚だ不本意ながらこの処置を取らざるを得ません.|はなはだ ふほんいながらこの しょちを とらざるを えません|We have been obliged to take this step (though it is) very much against our will
謙譲語|けんじょうご|Humble language (eg itadaku)
彼は腕力が強い|かれは わんりょくが つよい|He has a lot of physical strength
合縁奇縁|あいえんきえん|&nbsp;a couple strangely but happily united; uncanny relationship formed by a qu
受験資格|じゅけんしかく|Qualifications of candidacy for an examination
共和党|きょうわとう|A Republican
左遷|させん|Demotion / Relegation
孫|まご|Grandchild
特徴|とくちょう|Characteristic / Feature
熱中症|ねっちゅうしょう|Heatstroke
石頭|いしあたま|Obstinate / Stubborn
この猫は雌です。|この ねこは めすです|This cat is a female.
毒矢|どくや|Poisoned arrow
移植|いしょく|Transplant / Implant
脈|みゃく|Pulse
ピーと鳴いたらご用件をどうぞ|と ないたらご ようけんをどうぞ|At the tone, please leave your message / business
新聞の見出しが彼の目を引いたんだ。|しんぶんの みだしが かれの めを ひいたんだ|The newspaper article drew his attention.
通過儀礼|つうかぎれい|Right of passage (something you have to go through)
豪州|ごうしゅう|Australia
声量|せいりょう|(speaking) volume
半端|はんぱ|Can also mean "odd"
意中の人|いちゅうの ひと|sweetheart, person in one's thoughts (heart)
産声|うぶごえ|baby's first cry
彼女は猫を可愛がっています。|かのじょは ねこを かわいがっています|She cherishes her cat.
字がぼやけてよく見えない|じがぼやけてよく みえない|The letters are not clear
宅地開発が私の仕事だ|たくち かいはつが わたしの しごとだ|My job is the development of housing land
蝶々が空中を舞っています。|ちょうちょうが くうちゅうを まっています|The butterflies are flying in the air.
むく|むく|peel (something)
じゃぶじゃぶ|じゃぶじゃぶ|Vigorously
展覧会は連日賑わいました。|てんらんかいは れんじつ にぎわいました|The exhibition was crowded every day.
搭乗|とうじょう|Embarkation / Boarding (airplane / ship)
初期化|しょきか|Initialization
彼が全快する見込みは十分ある|かれが ぜんかいする みこみは じゅうぶんある|There is a good prospect of his getting well (from sickness)
闘技場|とうぎじょう|Arena
罪滅ぼし|つみほろぼし|Atonement
長持ち|ながもち|Endurance / Lasting long
被弾する|ひだんする|To be shot (not 撃たれる)
決め付ける|きめ つける|To fix upon (one sidedly) / To arbitrarily decide something is the case (ignorin
あなたの事情を考慮して予定をたてました。|あなたの じじょうを こうりょして よていをたてました|We made the plan while taking your circumstances into consideration.
活性酵素|かっせい こうそ|active enzyme
預金|よきん|Money deposit, savings
天候険悪|てんこう けんあく|The weather is stormy
付加価値税|ふかかちぜい|value-added tax; VAT
漫才|まんざい|comic duo on TV
精霊|せいれい|Spirit / Soul / Ghost
さりとてほかに思案も無い|さりとてほかに しあんも ない|And yet there is no other way
余罪|よざい|Other crimes
話し合いの時間を割いてくれてありがとう|しはなしあいの じかんを さいてくれてありがとう|Thank you for taking the time to discuss this with me
悲哀|ひあい|sorrow; grief; sadness
昏倒|こんとう|swoon; faint
奇策|きさく|bizarre plan, perplexing strategy, outlandish scheme
消失　（する）|しょうしつする|Disappearance (to disappear)
語音|ごおん|The sound of a word or language
三角帽子|さんかくぼうし|Three cornered hat
弓術|きゅうじゅつ|Japanese archery
見え透く|みえ すく|To be transparent / to be easily seen through / to be obvious
咎める|とがめる|To blame / To find fault / To challenge / To threaten
省エネ|しょうえね|Energy saving
形容|けいよう|Description
患部|かんぶ|The diseased part
