細目|ほそめ|Detail / Particular
外套|がいとう|overcoat; greatcoat; cloak; wrap; mantle
平等に|びょうどうに|Equally
気密|きみつ|Airtight
鍛冶屋|かじや|Blacksmith / Smithy
彼は今月の売上目標を達成した。|かれは こんげつの うりあげ もくひょうを たっせいした|He achieved the sales target this month.
ほうれん草|ほうれん そう|spinach
溶解性|ようかいせい|Solubility
債権者|さいけんしゃ|Creditor
害虫|がいちゅう|Vermin / Insect Pest / Harmful Insect
地下道|ちかどう|Underground passage
品評会|ひんぴょうかい|competitive show; fair
販売|はんばい|sales, selling, marketing
御尤も|ごもっとも|you are quite right
こよなく愛する|こよなく あいする|to love greatly, to love beyond all else
射精|しゃせい|Ejaculation
根本|こんぽん|Fundamental / foundation / root
脱獄|だつごく|Escape from prison
奪い取る|いうばいとる|To plunder
急所　を突く|きゅうしょを つく|Strike home / sore point / weak point / super effective！
雪の重みで枝が折れそうだ。|ゆきの おもみで えだが おれそうだ|The branch looks like it might snap due to the weight of the snow.
差額|さがく|Difference / Margin / Balance
直視|ちょくし|Looking someone in the eyes / Taking a straight look at something
彼の家には洋間があります。|かれの いえには ようまがあります|There's a Western-style room in his house.
貨物列車|かもつれっしゃ|Freight train
真横|まよこ|(right at the) side, just beside
実践的|じっせんてき|practical, pragmatic, hands-on, nuts and bolts
彼らは農耕に適した土地を見つけた|かれらは のうこうに てきした とちを みつけた|They found the land suitable for farming
暗記する|あんきする|To memorize
人文科学|じんぶんかがく|Humanities
研究グループ単位に特別端末が1台設置された。|けんきゅうぐるーぷ たんいに とくべつ たんまつが  だい せっちされた|A special terminal was installed for every research group.
彼は政治家を風刺するので有名だ|かれは せいじかを ふうしするので ゆうめいだ|He is famous because he lampoons politicians (satirically)
分離|ぶんり|Separation / Split (not 分裂)
腰掛ける|こしかける|Polite way to say sit down
脱皮する|だっぴする|To shed skin / moult
准教授|じゅんきょうじゅ|Associate professor
書き写す|きかきうつす|to transcribe; to copy
拝金|はいきん|Money worship
豆|まめ|Bean / Pea
彼女は何とか健康を維持しているわね。|かのじょは なんとか けんこうを いじしているわね|Somehow, she manages to keep healthy
害|がい|Harm / Damage
サービス不能攻撃|ふのうこうげき|denial of service attack
不利な|ふりな|Unfair / Disadvantageous / Unfavourable
防寒服|ぼうかんふく|Winter Clothing
芋|いも|Potato / Yam
発送|はっそう|Ship / Dispatch
日本は稲の品種が多いよ。|にっぽんは いねの ひんしゅが おおいよ|Japan has lots of varieties of rice.
角|かく|Horn / Antler
関わる|かかわる|To Involve / Concern
傍から|そばから|As soon as / right after
認知的不協和|にんちてきふきょうわ|Cognitive Dissonance
昼寝|ひるね|nap (afternoon), siesta
外れ|はずれ|blank, miss
あくまで理論上では、その計画は可能である。|あくまで りろん じょうではその けいかくは かのうである|Only in theory, the project is possible.
頭脳労働|ずのう ろうどう|brain work, mental work
炭水化物|たんすいかぶつ|Carbohydrate
国の財政はとても苦しい状態だな。|くにの ざいせいはとても くるしい じょうたいだな|The country's finances are in a very tight condition.
関連性|かんれんせい|relatedness; associativity; relation; relationship; relevance
彼は抽象的な絵が好きだね。|かれは ちゅうしょうてきな えが すきだね|He likes abstract pictures.
反米|はんべい|Anti American
一戸建て|いっこだて|Detached house / Stand alone house
熱は大気に霧散する|ねつは たいきに むさんする|Heat is dissipated to the atmosphere
自分の落ち度を認める|じぶんの ちおちどを みとめる|acknowledge one's fault
通知|つうち|Notification
座長|ざちょう|chairman; (2) leader of a troupe; proprietor of a theatrical company
弁舌は銀、沈黙は金。|べんぜつは ぎん ちんもくは きん|Speech is silver, silence is golden
通う|かよう|行ったり来たりする
攻める|せめる|Attack / Take the offensive
彼は陰謀に加担した|かれは いんぼうに かたんした|He took part in the plot
授業料を学校に払い込みました。|じゅぎょうりょうを がっこうに いはらいこみました|I paid tuition to the school.
空き部屋|きあきべや|available room (hotel); vacancy; room to let
忙しくても電話をかけるくらいはできたでしょう|いそがしくても でんわをかけるくらいはできたでしょう|Even if you were busy you could have at least called
男からして|おとこからして|Even for men ~
ネチネチ||sticky
世間|せけん|The world / the public
彼女は秘書と事務の担当を兼ねています。|かのじょは ひしょと じむの たんとうを かねています|She's in charge of both secreterial and clerical work.
金は人生を狂わすことがある|きんは じんせいを くるわすことがある|Money can make people crazy
事故の原因はまだわからないということです|じこの げんいんはまだわからないということです|It seems that the cause of the accident is still not known
訳注|やくちゅう|Translators note
給料が減ったけれど、首にならないだけましだ|きゅうりょうが へったけれど くびにならないだけましだ|Although my salary has gone down, I’m grateful they didn’t fire me
波が打ち寄せる|なみが ちうちよせる|Waves wash up [to the shore]
銀行の利率はあまりよくないです|ぎんこうの りりつはあまりよくないです|The banks interest rate isnt very good
暦の上では今日から冬ですね。|こよみの うえでは きょうから ふゆですね|Winter starts today according to the almanac (calendar).
お芋の料理はお好きですか。|お いもの りょうりはお すきですか|Do you like potato dishes?
勝利を手中にする|しょうりを しゅちゅうにする|Have victory in ones grasp
悪態|あくたい|Curse / Bad language / Throw mud at
愛妻弁当|あいさいべんとう|A lunch box prepared by ones loving wife
守り抜く|りまもりぬく|To defend to the end / To hold fast
繁殖|はんしょく|Breed / Multiply / Increase (think cells)
不審|ふしん|incomplete understanding; doubt; question; distrust; suspicion; strangeness; inf
人間というものは、悪をなす存在である。|にんげんというものは あくをなす そんざいである|Human beings exist in order to do evil.
全滅|ぜんめつ|Annihilation / Total destruction
労働者階級には敬意を払うべきである。|ろうどうしゃかいきゅうには けいいを はらうべきである|Respect is due to the proletariat
引越しの目処がついた|ひっこしの めどがついた|The prospect of moving house arose
彼らはその会社の株を買い占めようとしている|かれらはその かいしゃの かぶを いかいしめようとしている|They are trying to buy up the company's shares
彼はやっと報告書を仕上げたよ。|かれはやっと ほうこくしょを しあげたよ|He finally finished up the report.
朝食に食パンを2枚食べました。|ちょうしょくに しょくぱんを  まい たべました|I ate two slices of bread for breakfast.
警察は川を浚って遺体を捜している|けいさつは かわを さらって いたいを さがしている|The police are dredging the river looking for remains
一挙に|いっきょに|At a stroke / All at once
製品戦略|せいひんせんりゃく|Product strategy
期日までに債務を弁済した|きじつまでに さいむを べんさいした|I repaid the debt by the end of the term
どっきりカメラ|どっきり|candid-camera, candid-camera footage
常に|つねに|always, at all times
住み込み（の）|みすみこみの|Live-in / Sleep-in
～ようにも　。。　ない|ようにもない|Want to do X but no 方法
保険金は被害状況に応じて、払われる|ほけんきんは ひがい じょうきょうに おうじて はらわれる|Depending on how much damage there is, the insurance money will pay it ( 応じて )
この国は文化的な事業に力を入れています。|この くには ぶんかてきな じぎょうに ちからを いれています|This country is putting efforts into cultural projects.
変ちくりん|へんちくりん|Strange / Weird / Queer (machines sucking up Mako)
選ばれし者|ばれしえらばれしもの|The chosen one (Sephiroth)
若手|わかて|young person
骨折|こっせつ|Bone Fracture
知的財産権|ちてきざいさんけん|Intellectual property rights
弛まぬ努力|たるまぬ どりょく|Unceasing efforts / Diligence
敵地|てきち|Enemy territory (can use for football too)
晴らす|はらす|To dispel / To clear away / To refresh (oneself)
息子の部屋は壁という壁に車のポスターが貼ってある。|むすこの へやは かべという かべに くるまのが はってある|The walls of my sons room are covered with car posters (すべての壁に)
接点|せってん|Point of contact (touch)
解毒薬|げどくやく|Antidote (to poison)
異国|いこく|Foreign country
要するに時機を待つべきだ|ようするに じきを まつべきだ|In short, we should wait for the right opportunity.
私はドイツ語が丸っきり分からない|わたしは どいつごが まるっきり わからない|I don't understand German at all
避難(する)|ひなんする|To shelter / flee / evacuate
口にするな|くちにするな|Dont talk about it
戦火|せんか|Wartime fire / wartime destruction / horrors of war
器|うつわ|Container
拍手喝采|はくしゅかっさい|clapping and cheering; applause
建設工事|けんせつこうじ|Construction work
彼はあの作家の文体が好きです|かれはあの さっかの ぶんたいが すきです|He likes that writers style
明確|めいかく|Clear / Precise
旅客列車|りょかくれっしゃ|Passenger Train
座|ざ|Seat / Ones place / Position (Mancini's management position)
下落する|げらくする|To depreciate / decline / fall / slump
良性の腫瘍だから、何もそんなに心配する必要はない。|りょうせいの しゅようだから なにもそんなに しんぱいする ひつようはない|It's a benign tumor, so you don't need to worry about it too much.
～もしないで　Grammar|もしないで|Means ～ないのに　/ "Despite not X'ing"
凛々しい|りりしい|Manly / Handsome / いさましい
投入する|とうにゅうする|To throw in (some hunters into the game)
富を生み出す|とみを みうみだす|To produce wealth (in economics say)
それはさまざまな問題を内包している.|それはさまざまな もんだいを ないほうしている|It involves various problems
無視|むし|Disregard / Ignore
有力|ゆうりょく|powerful, influential
彼は来年定年を迎える。|かれは らいねん ていねんを むかえる|He will retire next year.
程|ほど|Limit / Extent
全景|ぜんけい|Panoramic View / Birds eye view
取材|しゅざい|collection of data, gathering of news
凶作|きょうさく|Bad harvest / Poor crop
美形|びけい|beautiful form; beautiful shape; beauty
試合は雨天決行です。|しあいは うてん けっこうです|The game will be held even if it rains
一等|いっとう|First class (first mate, first secretary of state etc)
生年月日|せいねんがっぴ|Date of birth
秋風が気持ちいいね。|あきかぜが きもちいいね|The autumn wind feels good.
胎動|たいどう|fetal movement; movements of the fetus
飛行船|ひこうせん|Airship / Blimp
負い目|いおいめ|Debt
道が込んでいると時間がかかる|みちが こんでいると じかんがかかる|Whenever the streets are crowded it takes longer to get there
預かり物|かりあずかりもの|Something (we) are left in charge of
忙しいからといって連絡してくれないのは怠慢だ|いそがしいからといって れんらくしてくれないのは たいまんだ|Just because hes busy, not contacting me is still lazy
くだらない|くだらない|Trifling / Third rate
為になる|ためになる|Useful
ブラウザ拡張機能|かくちょうきのう|(web) browser extension - remember 拡張 for "extention" or "plugin" for UE too
二足歩行|にそくほこう|bipedal walking, walking on two legs
改良|かいりょう|改善　。　Improvement / Refinement
私は友達に車を使われました|わたしは ともだちに くるまを つかわれました|I had my car used by a friend of mine (dissatisfied)
苦心して絵を描き上げました。|くしんして えを えがき あげました|I took pains over finishing the picture.
子猫|こねこ|Kitten
反吐が出る|へどが でる|(1) (id) to be nauseating; to be disgusting; to be revolting; (2) to throw up; t
あの道路は通行止めだそうです。|あの どうろは つうこうどめだそうです|I hear that that road is closed to traffic.
無断で|むだんで|Without permission / Without notice
べらぼうに寒い|べらぼうに さむい|be terribly [《英俗》 bloody] cold
あの村は伝統を保守している。|あの むらは でんとうを ほしゅしている|That village keeps up traditions.
硬い|かたい|Stiff / Hard
拙い文章|いつたないぶんしょう|Poor writing
既に|すでに|Already (though not as long ago as とっくに implies）
彼は遠い昔を回顧した|かれは いとおいむかしを かいこした|He recollected times gone by
肉をとろとろと煮込んだその料理はとても美味しい|にくをとろとろと にこんだその りょうりはとても おいしい|If you simmer the meat slowly, that dish is absolutely delicious
親戚|しんせき|Relatives
前科者|ぜんかしゃ|Ex-convict
万人|まん にん|All people / everybody
彼女は人前に出ると緊張します。|かのじょは ひとまえに でると きんちょうします|She feels nervous in front of other people.
列島|れっとう|Archipelago (not 諸島)
別れ際|わかれ ぎわ|at parting, on parting
検索条件|けんさくじょうけん|Search criteria
耳を塞ぐ|みみを ふさぐ|Block ones ears so you can't hear
金無垢|きんむく|Pure gold
鋼鉄 ／　鋼鉄製品|こうてつ こうてつせい ひん|Steel / Steel work
手書きで|てがきで|By hand / Handwritten
