鈍痛|どんつう|dull pain
磁石|じしゃく|Magnet
大真面目|おおまじめ|Deadly serious
差額はありますか。|さがくはありますか|Is there a difference?
正気|しょうき|Being of the correct mind, sanity (from bleach)
破産者|はさんしゃ|bankrupt person; insolvent person
引き出す|きひきだす|To draw out / bring out
なぜこの事業に出資を渋っているのか|なぜこの じぎょうに しゅっしを しぶっているのか|What has caused them to hold back from investing in this project?｜Why do they gr
地名|ちめい|Place name
存じ上げる|じぞんじあげる|To know / To think
しっかりとつかまっていてください。|しっかりとつかまっていてください|Now hold on tight.
原付|げんつき|Moped / Motorbike
組織的|そしきてき|Systematic
この本は間違いだらけだ|この ほんは まちがいだらけだ|This book is littered with mistakes
昨夜から今朝にかけて雨が降りました|さくやから けさにかけて あめが おりました|Since last night until this morning, its rained (perhaps intermitently)
貨幣|かへい|Money / Currency
軍師|ぐんし|Strategist / Tactician (for war, for an army)
脂|あぶら|Fat
出過ぎる|ですぎる|to project or protrude too much; to be too forward; to obtrude
部外者|ぶがいしゃ|Outsider / Someone from outside the group
机上の空論|のきじょうのくうろん|armchair theory; impracticable theory
重機|じゅうき|Heavy machinery / Heavy equipment
重量挙げ|じゅうりょうあげ|Weight Lifting
十分読むにたえる作品だ。|じゅうぶん よむにたえる さくひんだ|That book is worth reading
夕刻にはおそらく雨になるだろう。|ゆうこくにはおそらく あめになるだろう|We may well have rain this evening
彼女は泣き顔になったの。|かのじょは きなきがおになったの|She looked like she was about to cry.
微量|びりょう|minuscule amount, extremely small quantity
反対派|はんたいは|Opposition Faction
彼は怒りで逆上していた。|かれは いかりで ぎゃくじょうしていた|He was beside himself with rage
お酢を入れすぎて酸っぱい。|お すを いれすぎて すっぱい|It's sour because I put in too much vinegar.
補強する|ほきょうする|To reinforce / fortify / strengthen
ここは昔、軍事基地でした。|ここは むかし ぐんじきちでした|This used to be a military base.
この街はロンドンに倣って作られました。|この まちはに ならって つくられました|This town was built to look like London.
ドシドシやれ|やれ|Fire away!
この島は観光で成り立っています。|この しまは かんこうで りなりたっています|This island is built on sightseeing.
一括で払う|いっかつで はらう|Pay in one shot (the word you hear often at bik kamera!)
休みを返上して働く|やすみを へんじょうして はたらく|Give up ones holiday to work
損壊|そんかい|Damage / Destruction
店の看板を塗り替えました。|みせの かんばんを りぬりかえました|I repainted the shop's sign.
知らず知らずのうちに疲れがたまっていたよ。|らずしらずしらずのうちに つかれがたまっていたよ|I got tired little by little without being aware of it.
和らげる|やわらげる|To soften / relieve
秘密を公にする|ひみつを おおやけにする|To make a secret public / go public
ボーナスの使い道を考えているところです。|の いつかいみちを かんがえているところです|I'm just thinking about how to use my bonus.
波|なみ|Wave (sea)
この建物は彼の名前にちなんで名付けられました。|この たてものは かれの なまえにちなんで なづけられました|This building was named after him.
新しい代表チームが結成されました。|あたらしい だいひょうが けっせいされました|The new representative team was formed.
霊魂|れいこん|Soul / Spirit (from Bleach)
追試（験）|ついし しるし|Makeup exam / resit
これは先生の本だから、あなたに貸すわけにはいかない|これは せんせいの ほんだからあなたに かすわけにはいかない|Since this is my teachers book, I can't very well lend it to you
夢見|ゆめみ|Having a dream
輸出する|ゆしゅつする|To export
平日であれ、週末であれ、健太は仕事に追われている。|へいじつであれ しゅうまつであれ けんたは しごとに おわれている|Whether weekday or weekend, Kenta is always pressed by work.
すり替える|すり かえる|to switch (secretly); to substitute; to sidestep (an issue)
長いこと御無沙汰いたしました。|ながいこと ごぶさたいたしました|I have been out of touch with you for a long time.
見積もり|みつもり|Quotation / Estimation (fridge fits?)
～の至り|の いたり|Explains feelings, can be used in 慣用句, means これ以上ないほど
魚は新鮮ではない限り、さしみにはできない|さかなは しんせんではない かぎりさしみにはできない|Unless fish is fresh, can't do sashimi
避難民|ひなんみん|Fugitive / Refugee
全員に作業が割り当てられました。|ぜんいんに さぎょうが りわりあてられました|Work was assigned to all members.
彼は総理大臣になりたいという野心を抱いた。|かれは そうりだいじんになりたいという やしんを だいた|He aspired to the position of Prime Minister
整える|ととのえる|用意する
彼は鋭利な頭脳をもっている|かれは えいりな ずのうをもっている|He has a sharp mind
連絡手段|れんらく しゅだん|Means of contact
武士を丸腰にする|ぶしを まるごしにする|to deprive a samurai of his swords
認知度|にんちど|Degree of recognition / Level of familiarity / Visibility (product)
みそ汁にねぎを入れました。|みそ じるにねぎを いれました|I put green onions in the miso soup.
細部|さいぶ|Details
お金がないばかりに大学に進学できなかった|お かねがないばかりに だいがくに しんがくできなかった|Due to not having any money couldn't go on to university
不器用|ぶきよう|clumsy, unskillful
告白|こくはく|To confess
カミソリ||Razor
私は彼女の言葉に傷付きました。|わたしは かのじょの ことばに きず つきました|I was hurt by her words.
司会|しかい|Master of ceremonies / host
尽くす|つくす|To run out / to do until exhaustion
町外れ|まちはずれ|Outskirts of a town
彼はちょっと立ち止まって小石を蹴飛ばした。|かれはちょっと ちたちどまって こいしを けとばした|He stopped a moment to kick a rock
流血|りゅうけつ|Bloodshed
彼の命は判決いかんにかかっている。|かれの いのちは はんけついかんにかかっている|His life hangs on the judge's decision
切断患者|せつだんかんじゃ|Amputee
炊事|すいじ|Cooking
部屋着|へやぎ|Dressing down / Loungewear
いい度胸|いい どきょう|Some nerve (As in, you must have some nerve to do... )
弧を描く|こを えがく|&nbsp;to draw an arc (e.g. with a compass); to describe an arc (e.g. through the
税関申告書に記入してください。|ぜいかんしんこくしょに きにゅうしてください|Please fill out the Customs Declaration Form
今日はぽかぽか暖かい日です。|きょうはぽかぽか あたたかい ひです|It's a lovely warm day today.
取り去る|りとりさる|To remove / To take away / Strip
汚名を返上する|おめいを へんじょうする|Clear ones name
清める|きよめる|To purify / To cleanse / To exorcise
リハビリを受ける|を うける|To undergo rehabilitation
宇宙の果て|うちゅうの はて|The end of the universe, the limit / the extremity
一種|いっしゅ|A kind of, a sort of
筋トレ|きんとれ|Weight training
列車の窓から雄大な山脈が見えたんだよ。|れっしゃの まどから ゆうだいな さんみゃくが みえたんだよ|I was able to see a magnificent mountain range from the window of the train.
節水|せっすい|To save water
保存期間|ほぞんきかん|Shelf life
終身雇用|しゅうしんこよう|Lifetime employment / permanent employment
案の定、彼は遅刻したな。|のあんのじょう かれは ちこくしたな|Just as I thought, he was late.
長話|ながばなし|long conversation, talk for a long time
助成金|じょせいきん|Subsidy
