賢人|けんじん|Wise man
トムは私に石を投げるふりをした|は わたしに いしを なげるふりをした|Tom made as if to throw a stone at me
プレゼントは高くなくてもいいです|は たかくなくてもいいです|The present doesnt need to be anything expensive
彼女の演技は見る人を感動させずにおかない。|かのじょの えんぎは みる ひとを かんどうさせずにおかない|Her performances move the audience without fail
余る|あまる|To be left over (surplus) / -&gt;&nbsp;&nbsp;残る
お客様に対して、失礼な事言ってはいけません|お きゃくさまに たいして しつれいな こと いってはいけません|In response to customers, it is not good to say rude things ( に対して )
被害|ひがい|Damage
様々|さまざま|Various / Diverse
このプロジェクトにはたっぷり時間をかけましょう。|このにはたっぷり じかんをかけましょう|Let's put in a lot of time on that project.
恐らく|おそらく|Probably
落陽|らくよう|setting sun
近郊|きんこう|suburbs / outskirts (another iknow one, not 郊外)
過剰摂取|かじょうせっしゅ|Overdose / Excessive consumption
胃袋|いぶくろ|Stomach
こうなった上は。。|こうなった うえは|As long as it is like this...
そのような案は論外だ|そのような あんは ろんがいだ|Such a plan is completely out of the question [not even worthy of consideration]
北風が冷たいです。|きたかぜが つめたいです|The north wind is cold.
大学に入りたければ一生懸命勉強することだ|だいがくに はいりたければ いっしょうけんめい べんきょうすることだ|if you want to go to college, its important to study hard
トラブルを引き起こす|を きひきおこす|To cause trouble (not 迷惑をかける)
箱|はこ|Box
決定的|けっていてき|Definite / Decisive / Conclusive
いろいろ考えた末に、会社を辞めることにした。|いろいろ かんがえた すえに かいしゃを やめることにした|After thinking about various things for a long time, I decided to leave the comp
得意分野|とくいぶんや|Ones field of expertise
悪女|あくじょ|Wicked woman / villainess
カンニング||Cheat / Cheating
彼女はクモを怖がります。|かのじょはを こわがります|She is afraid of spiders.
衛生には十分気を付けましょう。|えいせいには じゅうぶん きを つけましょう|Let's take proper care of hygiene.
でなくてなんだろう　Grammar|でなくてなんだろう|If thats not ..... I don't know what is
日本語を勉強してよかったです|にほんごを べんきょうしてよかったです|I'm glad that I have studied Japanese
先生にそんな言葉遣いをしてはいけません。|せんせいにそんな ことばづかいをしてはいけません|Do not speak to the teacher like that.
