外来語|がいらいご|Loanword / Foreign word
社会科学|しゃかいかがく|Social sciences
彼女は物覚えがいい。|かのじょは ものおぼえがいい|She learns things quickly.
彼らは互いに再会を喜んだの。|かれらは たがいに さいかいを よろこんだの|They were both very pleased to meet each other again.
まぐろの刺身を食べました。|まぐろの さしみを たべました|I ate tuna sashimi.
秘密を漏らしたのは彼です。|ひみつを もらしたのは かれです|He's the one who leaked the secret.
ぐずぐずするな！|ぐずぐずするな|Hurry Up!
質|しつ|Quality / Nature (single easy kanji)
学費|がくひ|School expenses / tuition
無理をしないで体力に応じた運動をしてください|むりをしないで たいりょくに おうじた うんどうをしてください|Dont over exert yourself, exercise accordingly to your strength ( 二応じて )
試着室|しちゃくしつ|Changing Room
家に着いたとたん嵐になった|いえに ついたとたん あらしになった|I had barely got home when the storm broke
彼は英語のみならずフランス語も話すことができる。|かれは えいごのみならず ふらんすごも はなすことができる|He can speak not only English but also French.
オフレコ||Off the record
彼は彼女に心から詫びたんだ。|かれは かのじょに こころから わびたんだ|He apologized sincerely to her.
ベッドから起きなさい。さもないと遅刻するよ。|から おきなさいさもないと ちこくするよ|Get out of bed or you will be late
手術する|しゅじゅつする|To have surgery
兄との身長の差が縮まった。|あにとの しんちょうの さが ちぢまった|The difference in height between me and my big brother has decreased.
直接に|ちょくせつに|Directly / Immediately
飽きる|あきる|be fed up
食券ですか？|しょっけんですか|Meal ticket (is it here?)
力の限り頑張ろう|ちからの かぎり がんばろう|Lets do to the limit of our strength
卓球|たっきゅう|Table tennis
彼は事業に失敗したの。|かれは じぎょうに しっぱいしたの|He failed in that business.
生命は海から始まったと言われている。|せいめいは うみから はじまったと いわれている|It is said that life started in the sea.
弾む|はずむ|To bounce, rebound
年下|としした|Younger (opposite of 年上)
お仕舞い|お しまい|Yet another word from iknow meaning "finished / over", contains that annoying ka
お寺からお坊さんが出て来ましたよ。|お てらからお ぼうさんが でて きましたよ|The priest came out of the temple.
祖父は古い仮名遣いで書くことがあるの。|そふは ふるい かなづかいで かくことがあるの|My grandfather sometimes writes in the old kana orthography.
恋愛対象|れんあいたいしょう|Object of romantic interest
無能な|むのうな|Incapable / Incompetent / Ineffective
時間は十分あるから、急ぐことはない|じかんは じゅうぶんあるから いそぐことはない|Because we have 10 minutes, there is no need to hurry
言い辛い|いい つらい|Difficult to speak about
皆の意見が一致しました。|みなの がいけんがいっちしました|We all agreed in opinion.
彼は恐い顔付きで話したの。|かれは こわい かおつきで はなしたの|He spoke with a scary look on his face.
生きているかぎり彼女は彼の親切を忘れなかった。|いきているかぎり かのじょは かれの しんせつを わすれなかった|She did not forget his kindness as long as she lived.
資格を有する人のみ応募できます|しかくを ゆうする ひとのみ おうぼできます|Only qualified individuals may apply.
壁|かべ|Wall
この借りは必ず返します。|この かりは かならず かえします|I will definitely pay it back.
三流|さんりゅう|Third rate
翌（日、朝、年）|よく にち あさ とし|The following...
自由|じゆう|Freedom
宇宙には無数の星があります。|うちゅうには むすうの ほしがあります|There are an infinite number of stars in space.
高級品|こうきゅうひん|High quality good
お手数ですがよろしくお願いします。|お てかずですがよろしくお ねがいします|Sorry to trouble you, but please take care of it.
今度の日曜日には、友達と会うことになっている|こんどの にちようびには ともだちと あうことになっている|This coming sunday I'm supposed to be meeting my friends
受話器を取ってもらえますか。|じゅわきを とってもらえますか|Could you pick up the receiver?
不景気|ふけいき|Business depression / slump (not 不況)
時計が12時を指してる。|とけいが  じを さしてる|The clock points to 12 o'clock.
大急ぎ|おおいそぎ|In a great hurry
母は庭の手入れをしています。|ははは にわの ていれをしています|My mother's tending the garden.
生える|はえる|To grow / spring up
機長|きちょう|Airplane Captain
書面で．．．|しょめんで|In writing...
黒帯|くろ たい|Black-belt
彼が金持ちだからって、別に嫌な奴って訳じゃない|かれが かねもちだからって べつに いやな やつって わけじゃない|Just because hes rich, doesn't mean hes a jerk
武力|ぶりょく|Force / Arms
このサッカーチームは男女を問わず参加出来ます|このは だんじょを とわず さんか できます|For this soccer team, anyone can participate regardless of sex
全ての道はローマに通ずる|すべての みちはに つうずる|All roads lead to Rome
彼がそれほど悩んでいたとは知らなかった。|かれがそれほど なやんでいたとは しらなかった|I didn't know he was so worried.
待ち伏せる|ちまちぶせる|To ambush
不慣れ|ふなれ|Inexperienced / Unfamiliar
お店は一時休業になったんだ。|お たなは いちじきゅうぎょうになったんだ|The store was temporarily closed.
追っ手|っおって|Pursuer / Pursuing party
面会時間|めんかいじかん|Visiting hours (hospital..)
オゾン層の破壊|おぞんそうの はかい|Depletion of the ozone layer
こちらにお名前をご記入ください。|こちらにお なまえをご きにゅうください|Please fill in your name here.
物覚え|ものおぼえ|Memory
交番|こうばん|Police Box
老人|ろうじん|Elderly Person
まい　ー＞　 NOT|まい|まい　ー＞　 NOT
核実験|かくじっけん|Nuclear bomb test
漫画しか読まない子供が多いのは困る|まんがしか よまない こどもが おおいのは こまる|Its too bad that there are so many children who only read comic books
やろうかやるまいかは自分で決めてくれ。|やろうかやるまいかは じぶんで きめてくれ|Decide for yourself if you want to do it or not
一時、一時的|いちじ いちじてき|Temporarily
彼がそのプロジェクトの指揮を取ったの。|かれがそのの しきを とったの|He took the initiative on that project.
～が早いか|が はやいか|As soon as
彼は顔色がよくありませんね。|かれは かおいろがよくありませんね|His face looks pale.
お父さんは子供に野菜を食べさせた|お とうさんは こどもに やさいを たべさせた|The father made his child eat vegetables
北海|ほっかい|North Sea
そういうことか？|そういうことか|Is that how it is?
彼は車にはねられたけど無事だったの。|かれは くるまにはねられたけど ぶじだったの|He was hit by a car but he was fine.
雑用|ざつよう|Chore / odd jobs
お金さえあれば、何でも出来るよ|お かねさえあれば なんでも できるよ|The least you need is money and you can do anything
彼は仕事に命を懸けているの。|かれは しごとに いのちを かけているの|He risks his life in his job.
日付|ひづけ|Date
大急ぎでその仕事を仕上げたよ。|おおいそぎでその しごとを しあげたよ|I finished up the work in a rush.
順調|じゅんちょう|Going well
丸腰でけんかへ飛び込んだ|まるごしでけんかへ びとびこんだ|He dashed unarmed into the row
流動的に|りゅうどうてきに|Fluidly
考え深い|かんがえ ふかい|Thoughtful / Deep thinking
片手|かたて|One hand
開店|かいてん|Opening of a store / setting up
圧倒的勝利|あっとうてき しょうり|Landslide victory
第一に|だいに|Firstly / To begin with
起き上がる|きおきあがる|Get up / Rise
政界に入る|せいかいに はいる|To go into politics
お金さえあれば幸せに暮らせるというものではない|お かねさえあれば しあわせに くらせるというものではない|Cant fully say that just having money means one can live happily
彼は英語をうまく使いこなす|かれは えいごをうまく つかいこなす|He has a great command of English
お名前は上の欄にお書きください。|お なまえは うえの らんにお かきください|Please write your name in the top box.
悪化|あっか|Worsening / Aggravation
彼女の夫は交通事故で脳死状態になった|かのじょの おっとは こうつうじこで のうし じょうたいになった|Her husband became brain dead due to the traffic accident
田中さんはもう来ないものとして、始めましょう。|たなかさんはもう こないものとして はじめましょう|Lets presume Tanaka-san is not coming and start without him.
目論む|もくろむ|to plan; to form a plan; to scheme; to envision; to intend to do
私の住まいは東京にあります。|わたしの すまいは とうきょうにあります|My residence is in Tokyo.
入隊|にゅうたい|Enlistment / go into the army
表層|ひょうそう|surface; outer layer
日本に長く住んでいるわりに日本のことを知らない|にっぽんに ながく すんでいるわりに にっぽんのことを しらない|For someone who has lived in Japan for such a long time, he sure doesn't know mu
知っている側からすると ..|しっている そばからすると|From the point of view of those who know ...
足が線から食み出しています|あしが せんから みはみだしています|Your foot is over the line
教師|きょうし|Teacher
鳴らす|ならす|Ring / Sound
いかに暫定的処置とは言え、これはずさんすぎる|いかに ざんていてき しょちとは いえこれはずさんすぎる|However much they call it "temporary measures", this is just too slipshod
視点を変えて見てみましょう。|してんを かえて みてみましょう|Let's try to change our point of view.
私は自分の名誉がかかっていると感じた。|わたしは じぶんの めいよがかかっていると かんじた|I felt that my honor was at stake
私はその人と話すと元気になる|わたしはその ひとと はなすと げんきになる|Whenever I talk with that person I feel uplifted
食卓|しょくたく|Dining Table
福岡県|ふくおかけん|Fukuoka-ken
救助|きゅうじょ|rescue
おじいちゃんにお小遣いをもらったよ。|おじいちゃんにお こづかいをもらったよ|I got pocket money from grandpa.
覆い隠す|おおい かくす|to mask; to cover; to cloak; to hide; to conceal
使用|しよう|Usage
未知|みち|Unknown
こんなすばらしい賞をいただいて、光栄の至りです|こんなすばらしい しょうをいただいて こうえいの いたりです|I am sincerely honoured to receive such a prestigious award (これ以上ないほど光栄)
この会社は急成長を遂げました|この かいしゃは きゅうせいちょうを とげました|This company has achieved rapid growth.
～にもまして　Grammar|にもまして|More than ever (like, already a lot, but this time even more so) / 増して
量より質の方が大事です。|よりりょうよりしつの ほうが だいじです|Quality is more important than quantity.
小差で負ける|しょうさで まける|To only just lose
心臓|しんぞう|Heart
いつか、太平洋を舟で横断してみたい。|いつか たいへいようを ふねで おうだんしてみたい|Someday, would like to cross the pacific ocean by boat
明日は天気が良さそうです|あしたは てんきが よさそうです|It looks like the weather will be fine tomorrow
この店のラーメンは味はともかくとして、値段は安い|この みせのは あじはともかくとして ねだんは やすい|Leaving the taste of the shops ramen aside, the price is cheap
法案提出|ほうあんていしゅつ|Presentation of a draft bill (to parliament etc)
優良|ゆうりょう|Superior / Excellent / Fine
猫は私の足元をくるくると回ったの。|ねこは わたしの あしもとをくるくると まわったの|The cat rubbed itself around my legs.
会計|かいけい|Accounting (THE BILL!)
何を根拠にそんな事を言うのですか。|なにを こんきょにそんな ことを いうのですか|On what grounds do you say such a thing?
人類学|じんるいがく|Anthropology
多機能|たきのう|Multi function / Multi purpose
食肉|しょくにく|食べるための肉
磁気の|じきの|Magnetic ~
監視される|かんしされる|Under surveillance / being watched / observed
彼らは責任をはぐらかす傾向がある|かれらは せきにんをはぐらかす けいこうがある|They tend to evade their responsibilities
彼はイギリスに派遣されました。|かれはに はけんされました|He was sent to England.
助言|じょげん|Advice / Council
彼は水をがぶがぶ飲んだんだ。|かれは みずをがぶがぶ のんだんだ|He gulped down the water.
オタク世代|せだい|The Otaku generation
あちらこちら|あちらこちら|All over / here and there
時間を潰す|じかんを つぶす|to kill time
そのことは承知しております。|そのことは しょうちしております|I know that. (polite)
このあたりは高層ビルが増えましたね。|このあたりは こうそうびるが ふえましたね|The number of high-rise buildings has increased around here.
下流に小さな滝があるよ。|かりゅうに ちいさな たきがあるよ|There is a small waterfall downstream.
筋肉を成長|きんにくを せいちょう|To grow muscle
人をじろじろ見るものではありません。|ひとをじろじろ みるものではありません|Do not stare at people.
彼は試合の途中で棄権したぞ。|かれは しあいの とちゅうで きけんしたぞ|He sat out during the game.
きりがないから、この辺で終わりましょう。|きりがないからこの へんで おわりましょう|Lets stop here as there is no end to it.
ことわざ|ことわざ|Proverb / common saying
高気圧|こうきあつ|High atmospheric pressure
休講|きゅうこう|Cancellation of lecture
あと、戸締りよろしくな。|あと とじまりよろしくな|I'll leave you to lock up.
調理|ちょうり|Cooking / Preparation
肉食|にくしょく|人間が動物の肉を食べること
早速|さっそく|すぐ・直ちに
努力のかいがあって。。|どりょくのかいがあって|Worth the effort
低い|ひくい|Low / short
もうすぐ夜が明けるね。|もうすぐ よるが あけるね|It will be dawn soon.
それは最新の学説ね。|それは さいしんの がくせつね|It is the latest theory.
直後|ちょくご|Right after / immediately after
和室|わしつ|Japanese style room
彼女は恐怖で失神した|かのじょは きょうふで しっしんした|She fainted with fear
不審人物|ふしんじんぶつ|Suspicious character
育児|いくじ|Yet another bloody word for childcare, child-raising
極秘情報|ごくひじょうほう|Top secret classified information
官庁|かんちょう|Government Office
このご恩は一生忘れません。|このご おんは いっしょう わすれません|I will never forget this kindness.
逆さ|さかさ|Reverse / Inversion
都心|としん|Downtown (the center?)
