可能性|かのうせい|Likelihood / Possibility
発明 （する）|はつめいする|Invention
返答|へんとう|Reply
この日の最低気温は零下１０度だった。|この ひの さいてい きおんは れいか どだった|Todays coldest point was 10 degrees below zero
教え|おしえ|Lesson / Teachings
大統領もまた人間だ。過ちを犯すこともあるだろう。|だいとうりょうもまた にんげんだ あやまちを おかすこともあるだろう|The president is also human. He may sometimes make mistakes.
ここでは、人間にかわってロボットが作業をしている|ここでは にんげんにかわってが さぎょうをしている|Here, in place of humans robots are doing the work ( にかわって )
西洋人|せいようじん|Westerner
テーブルの上に飲みかけのコーヒーが置いてある|の うえに のみかけのが おいてある|The drink Im still drinking is on the table
全部食べないとデザート抜きですよ。|ぜんぶ たべないと ぬきですよ|You can't have dessert until you finish your meal.
影も形もない|かげも かたちもない|No shadow or shape
今はタイプライターにかわり、ワープロが使われている|いまはにかわりが つかわれている|Now, in place of typewriters word processors are used (&nbsp;&nbsp;にかわって )
大戦で多くの人が亡くなりました。|たいせんで おおくの ひとが なくなりました|A lot of people died in the world wars.
クラスに出てノートをとってさえいれば、大丈夫だ|に でてをとってさえいれば だいじょうぶだ|If you only attend classes and take notes, you will do fine
出版社|しゅっぱんしゃ|Publishing Company
現住所|げんじゅうしょ|Present address
週刊|しゅうかん|Published weekly
私は彼の成功を確信しています。|わたしは かれの せいこうを かくしんしています|I am convinced of his success.
呪う|のろう|To curse (someone)
重たい|おもたい|Heavy (another, not&nbsp;&nbsp;重み or&nbsp;&nbsp;重い)
石油はいろいろな製品の原料になります。|せきゆはいろいろな せいひんの げんりょうになります|Petroleum is the raw material for various products.
名医|めいい|Good / Skilled Doctor
都内|とない|in the metropolitan area of Tokyo
お勘定をして下さい。|お かんじょうをして ください|Can I have the check, please?
脅かさないでよ。|おびやかさないでよ|Don't threaten me.
人々は独立と自由の名の下に戦った|ひとびとは どくりつと じゆうの なの したに たたかった|People fought under the name of independance and freedom
くたばる|くたばる|To kick the bucket (to die, slangish)
役所|やくしょ|Public [governmental] office / hall
うちの庭は雑草だらけだった|うちの にわは ざっそうだらけだった|Our garden was full of weeds
本紙|ほんし|This newspaper
