この漢字の筆順は分かりますか？|わ|漢字を書くときの画の順序を指します。日本語教育や書道の場面で重要な概念です。
この漢字を字引で引いてみて。|ひ|言葉の意味や使い方を調べるための本のことを指す、やや古風な言い方です。現代では「辞書」の方が一般的です。
この漬物は村の特産です|とくさん|「特産」は、その地域で特に有名な産物や製品を指します。特産品や特産物の形で使われ、その土地の気候や風土を活かした農産物や工芸品などが該当します。
この物語は 1890 年代のモスクワをまざまざと描いている|えが|「年代」は、歴史的な区分としての特定の期間や、ある人の年齢層を指す名詞です。「一九六〇年代」「十代」のように使われ、時間的な範囲を区切って表現する際に便利です。歴史や社会の文脈だけでなく、人の年齢を話題にするときにも使われます。
この物質は植物の成長を促進するとされる|そくしん|「促進」は、物事の進行や発展を早めることを指します。ビジネスや政策、経済などの分野でよく使われるフォーマルな言葉です。「販売促進」「成長促進」のように、目的を達成するための積極的な働きかけを表します。
この犬は穏やかな性質だよ。|せいしつ|人や物事が本来持っている特徴や傾向を指します。性格と似ていますが、性質はより広い範囲で使われます。
この状況にあって、利益を伸ばすのは困難だ。|こんなん|「利益」は、事業や投資などによって得られる金銭的なもうけを指します。ビジネスや経済の文脈で最もよく使われる基本的な用語です。また、比喩的に「利益を得る」のように、金銭以外のメリットを表すこともあります。
この猫は雌です。|めす|「雌」は動物のメスを指す一般的な言葉です。生物学的な文脈で使われることが多く、人間に対してはあまり使いません。
この生地は滑らかな手触りが特長です。|とくちょう|「滑らか」は表面に凹凸がなくてツルツルしている状態、または動作や進行が滞りなくスムーズなことを指します。物理的な手触り（滑らかな肌）から、抽象的な流れ（滑らかな話し方、滑らかな動き）まで、幅広く使われる形容動詞です。
この用紙に名前を書いてください。|か|「用紙」は特定の目的のために用意された紙、特に書類のフォーマットを指します。申請書や試験問題、アンケートなど様々な場面で使われる日常的な単語です。単なる「紙」よりは特定の書式が決まっている紙を指します。
この町には紡績工場があります|ぼうせきこうじょう|綿や羊毛などの繊維を紡いで糸にする工程や、その産業のことです。
この町の人たちには人情があるね。|にんじょう|人間が自然に持つ思いやりや情け深い心を指します。人の温かさや優しさ、喜怒哀楽などの感情面を表す時に使われます。
この町は災害に対して何らの備えもない。|そな|否定や疑問の文脈で「少しも」「まったく」という意味を強める副詞です。「何ら問題ない」「何らの影響もない」のように使われ、硬い文章や改まった会話で用いられます。
この病人はとても助からない。|たす|「病」は病気や疾患を指す文語的・簡潔な表現です。「病気」より短く、力強い響きがあります。複合語として「持病」「悪病」「難病」などの形でよく使われ、書き言葉や堅い表現で好まれます。
この病気の原因については、いくつかの説がある|せつ|「かの」は、遠くの存在や過去の出来事を、やや文学的に指示する連体詞です。「かの有名な」「かの地」「かの人」のように使い、話し手と聞き手の両方が知っている特定の対象を、改まった響きで指します。日常会話ではあまり使われず、スピーチや文章、やや古風な表現として登場します。英語の "that famous..." や "the aforementioned..." に近いニュアンスです。ローマ字表記だと "kano" です。
この病気は伝染の恐れはない|おそ|「病」は病気や疾患を指す文語的・簡潔な表現です。「病気」より短く、力強い響きがあります。複合語として「持病」「悪病」「難病」などの形でよく使われ、書き言葉や堅い表現で好まれます。
この病院は24時間看護です。|かんご|「病」は病気や疾患を指す文語的・簡潔な表現です。「病気」より短く、力強い響きがあります。複合語として「持病」「悪病」「難病」などの形でよく使われ、書き言葉や堅い表現で好まれます。
この真珠は本物そっくりだ|ほんもの|貝殻の中から採れる宝石の一種。養殖ものと天然ものがある。上品で高級な宝石として知られる。
この矛盾を打破するために～|だは|「矛盾」は、物事の筋が通らず、つじつまが合わない状態を指します。話の内容が前後で食い違う場合や、行動と言葉が一致しない場合に使われます。「矛盾する」「矛盾している」のように使われます。
この研究所には最新の設備が揃っています。|そろ|建物や工場などに備え付けられた機械や器具。機材や施設の充実度を表すビジネス・日常用語です。
この神社は有名な将軍を祭っている|まつ|「社」は「やしろ」と読み、神社の建物そのものを指す。「じんじゃ」が神社全体を指すのに対し、「社」は特に社殿を意味する。
この空模様からすると、雨になりそうだ。|あめ|表面に描かれた図柄や柄を指します。また、比喩的に「状況」や「様子」を意味することもあります。
この笛は竹でできている|たけ|口に当てて息を吹き込み、音を出す管楽器の総称です。フルートやリコーダー、ホイッスルなど様々な種類があります。
この紙飛行機は左右の釣り合いがとれていないな。|つりあ|左右は、物理的な「左と右」の意味だけでなく、「影響を及ぼす」「コントロールする」という比喩的な意味でも使われます。何かの結果や決定に強く影響を与えることを表す重要な用法です。
この素材は持ちがよい|も|何かを作るための材料・原料。料理の食材、服の生地、建築の建材、小説や記事の題材など、幅広い分野で使われる超汎用語。「素材の味を活かす」「良い素材に出会う」のように、そのものの持つ本来の価値を重視する文脈でよく使われる。
この絵はスペインの画家が描きました。|えが|「画家」は、絵画を制作することを職業とする人。油絵、水彩、日本画など技法を問わず絵を描く人全般を指す。
この絵は赤と黒の対比が美しいですね。|うつく|「対」は、二つのものが向かい合ったり、比較されたりする関係を表す助詞的な名詞です。特に「A対B」の形で、勝負の対戦カードや比較、比率を示すのに使われます。また、漢語の接頭辞として「対称」「対立」「対比」などの複合語の一部としても使われます。単独では「三対一」のような形で使われます。
この線を軸にして図形を回転してください。|かいてん|「軸」は、物が回転するときの中心となる棒や線、または物事の中心となる重要な要素を指します。
この自画像の私があなたを見つめているように思えても、そうではありません。|おも|「自画像」は、自分自身を描いた絵や肖像のことです。主に画家が自分自身をモデルにして描いた作品を指します。美術の授業や趣味で描くこともあります。ゴッホやレンブラントなどの有名な自画像が世界中で知られています。
この自転車の持ち主は誰ですか。|だれ|「主」は、家や店、組織などの主人、経営者、または責任者を指すやや古風な言葉です。現代では「主人」の方が一般的ですが、文学や時代劇などで「あるじ」はよく使われます。また、宿泊先の主人や、雇い主、夫を指すこともあります。客人に対しての「主人」という立場を強調するニュアンスがあります。
この芝居の後援はテレビ局です|てれびきょく|「芝居」は演劇全般を指す言葉で、舞台で俳優が演じる作品を意味します。また、比喩的に「わざとらしい演技」や「ごまかし」という意味でも使われます。
この茸は色と形こそきれいだが、毒があって食べることはできない|た|きのこのことです。食用のものも毒のあるものも含みます。秋の味覚として親しまれています。
