横付け　する|よこづ|車や船などを目的の場所のすぐ横に寄せて止めることを意味します。
横倒し|よこだお|立っているものが横の方向に倒れること。物や人の転倒を表す具体的な表現。
横倒し|横倒[よこだお]し|立っている物が横に倒れること、またはその状態です。意識的に倒す場合も、事故で倒れる場合も使えます。地震や台風などで物が倒れたときの描写に便利です。また、比喩的に「横倒しになる」という表現もあります。
横切る|よこぎ|ある物の前や上を通って向こう側へ移動することを意味します。道路や視界などを横切る場面で使われます。
横取り|よこど|他人が得ようとしているものを横から奪い取ることを意味する口語表現です。食べ物や席、恋人やビジネスチャンスなど、さまざまなものを奪う場面で使われます。
横文字|よこもじ|「横文字」は、日本語とは異なり横書きで表記される言語、特にアルファベットで書かれた欧米の言語（主に英語）を指すややくだけた表現です。日本語の縦書き文化に対して、横書きの文字という視覚的な特徴に着目した言葉で、カタカナ語や外来語への懐疑的な態度を含むこともあります。「横文字がやたら多い」のように、やや批判的なニュアンスで使われることが多いです。
横断|おうだん|「横断」は、道路や線路などを一方の側から反対側に渡ることを意味します。また、広い範囲を横切るという意味もあります。
横断歩道|おうだんほどう|道路を歩行者が横断するために設けられた、白いしま模様の場所を指します。交通安全の基本的な設備です。
横暴|おうぼう|権力や立場を笠に着て、自分勝手で乱暴な振る舞いをすることを指します。他人の意見を無視して、自分の思い通りに行動する横柄な態度を批判的に表します。
横書き|よこが|「横書き」は、文字を横方向に書く方式で、左から右へ書くのが一般的です。現代の日本語は、縦書きと横書きの両方が使われ、横書きは主に科学技術文書やビジネス文書、ウェブサイトなどで用いられます。
横木|よこぎ|「よこぎ」と読み、柵やドア、家具などに水平に渡された棒状の部材を指します。建築や大工仕事で使われる具体的な用語で、日常会話ではあまり頻繁には登場しません。
横柄|おうへい|「横柄（おうへい）」は、態度が大きく、人を見下したような傲慢な様子を表します。相手に対して敬意を欠き、自分の方が偉いと思っているような振る舞いを批判する際に使われる否定的な言葉です。
横槍|よこやり|他人の進行中の物事に横から口を出したり干渉したりすることを指します。特に会話や交渉、計画に第三者が不意に介入する否定的な意味合いがあります。
横流し|よこなが|正規の流通ルートを通さずに、こっそりと商品を売ることです。特に、手に入れにくい人気商品やチケットなどを、裏ルートで高額で販売する不正な行為を指します。ネガティブな意味合いが強いです。
横滑り|よこすべ|車などが路面で横に滑ること、または地位や役職が同じ程度の別のポジションに移ることを意味します。物理的な滑りと人事異動の両方で使われる言葉です。
横着|おうちゃく|横着は、面倒くさがって楽な方へ逃げようとする怠惰でずるい態度を指します。単なる怠け心よりも、手抜きや身勝手さに対する批判のニュアンスが強い言葉です。
横穴|よこあな|「横穴」は地面や岩盤に水平方向に掘られた穴や空洞を指します。自然にできた洞窟や、人工的に掘られた防空壕や遺跡、貯蔵庫などにも使われます。
横線|おうせん|水平に引かれた線のこと。文字や図面の中で横方向に引かれる線を指します。デザインや書類作成などの場面で使われます。
横腹|よこばら|「横腹」は、人体の脇腹の部分、特に肋骨の下から腰の上のあたりを指します。医学的には側腹部と呼ばれる場所です。また、比喩的に物の側面を指すこともあります。「横っ腹」という言い方もあり、そちらのほうが口語的です。
横行|おうこう|横行は、悪いことがはびこって好き勝手に行われる様子を表すネガティブな言葉です。犯罪や不正、誤った情報などが抑制されずに広がっている状況を批判的に述べる時に使います。
横転する|おうてん|車や物体が横方向に回転して倒れること。自動車事故などで車体が横倒しになる状態を指します。
