老醜|ろうしゅう|年を取って容貌や言動が醜くなること。かなり厳しい批判のニュアンスがあります。
老骨|ろうこつ|「老骨」は、年老いた自分の身体を謙遜して指す表現です。「老骨に鞭打って」のような慣用句で使われ、年を取っても無理をして頑張る状況で用います。現代ではやや古風な響きがあり、主に高齢者が自分を卑下して使う表現です。
考えうる|かんが|「考えうる」は、可能性として考えることができる、想像できるという意味の可能動詞です。硬い文章や論理的な議論で使われることが多く、すべての可能性を検討する際に用います。
考えに考えて進学を断念した。|だんねん|目標や計画を途中であきらめることを意味します。自分の意志で努力の末に諦める場合が多く、外的要因で強制された「中止」とはニュアンスが異なります。やや硬い表現です。
考え合わせる|あ|複数の要素や条件を総合的に考慮して、判断や結論を下すことを意味します。一つの観点だけでなく、様々な角度から考えを巡らせるニュアンスがあります。
考え得る方法は全部試してみたが、どれも失敗に終わった。|お|どれもは、複数の選択肢のすべてについて「どれを取っても同じように」という意味を表す言葉です。
考え深い|ふか|考え深いは、物事を深く考えることを好む性質や、思慮に富んでいる様子を指します。
考え込む|かんがえこ|考え込むは、あることに深く集中して考え込んでしまい、周りが見えなくなる状態を表します。単に「考える」より長く深く考え込むニュアンスがあり、悩みや迷い、難しい問題に直面した際に使われることが多いです。ややネガティブな状況で使われることが多いです。
考古学|こうこがく|過去の人類の遺跡や遺物を発掘・研究する学問分野です。歴史を文献ではなく、物証から明らかにする面白さがあり、発掘調査や年代測定などの方法があります。
考察|こうさつ|「こうさつ」と読み、物事を深く考え、筋道を立てて検討・分析することを意味します。研究論文やレポートなど学術的な文脈でよく使われる硬い言葉です。
考慮|こうりょ|物事を決める前に、様々な要素をよく考えることを意味します。ビジネスやフォーマルな場面でよく使われる言葉です。
考案|こうあん|「考案」は、新しいアイデアや仕組み、製品などを考え出して作り上げることを意味します。単なる発想だけでなく、実際に形にするニュアンスが含まれます。ビジネスや技術の文脈でよく使われるやや硬い表現です。
考案者|こうあんしゃ|考案者とは、新しい物事や方法を考え出した人のことを指します。発明家やデザイナーなどに対して使われることが多いです。
耄碌|もうろく|「耄碌」は、加齢によって精神的な機能が衰え、判断力や記憶力が著しく低下した状態を指します。非常にネガティブな語であり、特に高齢者に対して使うと深刻な侮辱になりますので、使用には細心の注意が必要です。医学用語というよりは日常的な侮蔑表現に近く、「耄碌したじいさん」のように愚痴や悪口の文脈で登場します。介護の現場などでは使わないよう注意すべき語です。
耐えられない圧迫から逃れるために自殺に走る子供たちもいる。|こども|上から強く押し付けること。物理的な圧力と、精神的な圧迫感の両方に使う。
耐える|た|「耐える」は、苦しいことや辛いことを我慢して持ちこたえることを意味します。物理的な重さに耐える、精神的な苦痛に耐える、暑さ寒さに耐えるなど、様々な場面で使われます。
耐え抜く|たえぬ|「耐え抜く」は、苦しい状況や困難を最後まで我慢して乗り越えることを意味します。「耐える」よりも強く、長期間の辛さに耐えきるニュアンスがあります。
耐久|たいきゅう|長い時間や厳しい条件に耐え続けること。物の品質や人の体力・精神力の持続性を表す。製品テストや建築、スポーツなど様々な分野で使われる。
耐性|たいせい|薬や環境などに対して抵抗力を持つ性質のこと。医学や心理学の分野でよく使われ、悪い意味でも良い意味でも使われる。
耐用年数|たいようねんすう|「耐用年数」は機械や設備が正常に使える年数のことを指します。会計上の減価償却や製品の寿命に関わる概念で、ビジネスや製造業でよく使われる用語です。実際の使用可能期間はメンテナンス状況により異なります。
耐震構造|たいしんこうぞう|地震の揺れに耐えられるように設計された建物の構造のこと。建築分野で使われる専門用語で、「耐震」「免震」「制震」と種類がある。日本では地震が多いため非常に重要な概念。
耕す|たがや|土を掘り返して柔らかくし、作物を作りやすくすること。田畑を整える。
耕作|こうさく|農作物を育てるために土地を耕し、世話をすること。農業の基本的な作業を指します。
耕地|こうち|「耕地」は、農作物を栽培するために使われる土地のことです。田んぼや畑などを含み、農業や土地利用の文脈で使われます。ややフォーマルで、行政や統計の分野でもよく登場します。
耳そろえて|みみ|お金を一度に全額支払うことを意味する慣用表現です。分割払いではなく、まとめて支払う場合に使われます。やや古風で、現代では「一括で」のほうが一般的です。
耳たぶ|みみ|「耳たぶ」は、耳の下部にある柔らかい肉質の部分を指します。イヤリングやピアスをつける場所としても知られ、日常会話で使われる体の部位の名称です。
耳を塞ぐ|ふさ|両手や指で耳の穴をふさいで音が聞こえないようにする動作です。嫌な音や聞きたくない話を避ける比喩としても使われます。
耳を慣らす|な|耳を慣らすは、ある言語や音楽などに繰り返し触れて、聞き取れるように訓練することを意味します。外国語学習の初期段階で特に重要で、意識して多くの音声を聞くことを指します。
耳を澄ます|す|注意深く耳を傾けて、かすかな音や声を聞こうとする動作を指します。周囲の音に集中して聴こうとする様子を表します。
耳を貸す|か|「耳を貸す（みみをかす）」は、相手の話を聞いてやる、話に耳を傾けるという意味の慣用表現です。「耳を貸す」は相手の話を聞く姿勢を示すやや親しみのある表現で、「ちょっと耳を貸して」のように使います。
耳偏|みみへん|漢字の部首の一つで、「耳」が漢字の左側につく偏を指します。「聞」「職」などの漢字に使われます。
耳元で|みみもと|「耳元で」は、話し手の口が相手の耳の近くにある状態で何かをすることを表す副詞句です。ささやく、囁く、言うなどの動詞と一緒に使われます。親密さや秘密めいた雰囲気を伴うことが多いです。
耳垢|じこう|耳垢は、耳の穴の中にできる分泌物が固まったもので、いわゆる耳あかの正式な医学用語です。日常会話では「耳あか」の方が一般的ですが、医療機関や健康に関する話題では「耳垢」が使われます。湿性と乾性の二種類があることが知られています。
耳垢を取って欲しい。|ほ|耳垢は、耳の穴の中にできる分泌物が固まったもので、いわゆる耳あかの正式な医学用語です。日常会話では「耳あか」の方が一般的ですが、医療機関や健康に関する話題では「耳垢」が使われます。湿性と乾性の二種類があることが知られています。
耳寄り|みみよ|聞いて得する情報や、知っておくと便利な話のこと。良い知らせやお得な情報に対して使う。
耳寄りな情報があります|じょうほう|聞いて得する情報や、知っておくと便利な話のこと。良い知らせやお得な情報に対して使う。
耳打ち|みみう|「耳打ち」は相手の耳元に口を寄せて他の人に聞こえないように伝える動作を指します。
耳掻き|みみか|「耳掻き（みみかき）」は、耳の穴を掃除するための道具です。日本では細い棒の先に小さなスプーン状の部分がついた形状が一般的です。海外では綿棒が主流ですが、日本では昔ながらの耳掻きがよく使われます。
耳栓|じせん|耳の穴に入れて、音を遮断するための小さな道具です。騒音対策や睡眠時に使われます。
