胆嚢|たんのう|肝臓で作られた胆汁を貯める内臓器官。医学用語。「胆嚢炎」などの形で使う。
胆石|たんせき|「胆石」は胆のうや胆管にできる結石（石のような塊）を指す医学用語です。食後の右わき腹の痛みなどの症状があり、手術で摘出されることが多いです。中年以降の女性に多いとされています。
背く|そむ|命令や規則、道徳などに従わずに反することを指します。また、期待を裏切るという意味でも使われます。少し硬い印象のある動詞です。
背ける|そむ|顔や視線をわざと反対の方向に向けることを意味します。嫌なものを見ないようにする時や、恥ずかしさを隠す時などに使います。
背に腹はかえられない|はら|「背に腹はかえられない」は、大事なことのためには多少の犠牲はやむを得ないという意味のことわざです。
背を向ける|む|文字通りには体の背中を相手の方に向けることですが、比喩的に相手を無視したり、拒絶したりする態度を表す慣用表現です。
背丈|せたけ|「背丈」は、人や物の地面から頂点までの高さ、特に人の身長を指す言葉です。植物の成長の高さを表すのにも使われます。やや文語的で、日常会話では「身長」や「高さ」がより一般的です。
背任|はいにん|「背任」は自分の立場や任務に背いて不正を行うことを意味します。「背任行為」は会社の役員や公務員が自分の地位を利用して不正な利益を得るなど、職業倫理に反する行為を指します。法律用語としても使われます。
背伸びする|せの|背伸びするは、背を伸ばして背の高さをかせぐ動作と、実力以上のことをしようと無理をするという比喩的な意味があります。
背信行為|はいしんこうい|信頼や約束を裏切る行為を意味するフォーマルな言葉です。ビジネスや政治、人間関係の深刻なトラブルの文脈で使われ、強い非難のニュアンスがあります。
背反|はいはん|「背反」は、規則や期待に反すること、矛盾することを意味する硬い表現です。
背嚢|はいのう|「背嚢」は背負うタイプの袋、特に軍用や登山用のリュックサックを指すやや古風な言葉です。現代では「リュック」や「バックパック」と言う方が一般的で、「背嚢」は歴史小説や時代がかった文脈で使われます。
背広|せびろ|「背広」は男性用のスーツ（ジャケットとズボンのセット）のこと。ビジネスシーンでの正装。「スーツ」よりやや古風な言い方。
背後|はいご|
背徳|はいとく|道徳に背くこと。倫理的なルールや良心に反する行為を指します。特に背徳感という形で、禁忌を破る際の心理を表します。
背徳感|かん|道徳に反することをしているという意識から生まれる、後ろめたさやスリルの混じった感情です。
背景音楽|はいけいおんがく|「背景音楽」は、映画やドラマ、ゲーム、店舗などで流れる、場面の雰囲気を盛り上げるための音楽を指します。BGM（ビージーエム）と略されることが一般的です。会話の邪魔にならないように音量を調整するのが特徴です。
背格好|せいかっこう|人の身長や体格、全体的な体つきを指す言葉です。顔立ちではなく、後ろ姿や遠目に見た時の体型の印象について言う時に使われます。
背番号|せばんごう|「背番号」はスポーツ選手のユニフォームの背中に付けられた番号を指します。特に野球やサッカーでよく使われ、選手識別のための重要な要素です。比喩的に「背番号を背負う」という表現もあります。
背筋|せすじ|背中の中央を通る筋肉や脊椎のライン。「背筋を伸ばす」は良い姿勢を取ることの比喩として最も有名で、「背筋が凍る」は恐怖の表現として使われます。身体的な意味と慣用句的な意味の両方があります。
背筋が寒くなる|さむ|恐怖や嫌な予感で背中に冷たい感覚が走ることを表す慣用句です。怖い話や衝撃的な事実を聞いた時の反応として使われます。
背表紙|せびょうし|
背負う|せお|「背負う」は、物を背中に載せて支えること、また比喩的に責任や負担を引き受けることを意味します。物理的な「背負う」と精神的な「背負う」の両方で使われ、日常会話でもよく用いられます。
背骨|せぼね|人間や動物の体の中心部にある骨の連なりを指します。文字通りの意味のほか、「背骨の通った人」のように、信念や軸を持っているという比喩表現でもよく使われます。
背鰭|せびれ|「背鰭」は、魚やイルカなどの背中にあるひれを指します。水中での安定性を保つ役割があります。比喩的に、怒ったときに逆立つ感情や態度を表すこともあります。
